effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),0.9659603236537941,0.15603139621898865,-0.21440325170036056,0.8302326061344618,0.7038252725285679,1.3257258346537557
fixed,cond,NA,year2020,1.1803745428409238,0.14242521506594616,1.3743607958549273,0.1693297007658395,0.9317791206811815,1.4952943572811044
fixed,cond,NA,year2021,0.8369546850893282,0.09495880437472654,-1.5687399734696854,0.11670854028298397,0.6700801103807963,1.0453871619841053
fixed,cond,NA,year2022,0.6786965742068768,0.06924570454223204,-3.7987913048958517,1.454034605704804e-4,0.5556863187251864,0.8289371617010312
fixed,cond,NA,year2023,0.6949422908179114,0.074221079016745,-3.4074941951077355,6.556230306791456e-4,0.5636881369643444,0.8567588279719195
fixed,cond,NA,year2024,0.539582361955687,0.08560541968625347,-3.8887800589727846,1.0074936683228932e-4,0.3953789562045842,0.7363799230200465
fixed,cond,NA,hour1,0.5809818547424609,0.08775782143375441,-3.5950518622788135,3.2432696165069294e-4,0.43210354077279906,0.7811551715968676
fixed,cond,NA,hour2,0.49038647746494146,0.07656832191700641,-4.563643294377209,5.027346827373498e-6,0.3611045475778131,0.6659536660325598
fixed,cond,NA,hour3,0.41368215753736354,0.06812239412837309,-5.360052234809266,8.319789243797315e-8,0.2995688465428513,0.571264099854551
fixed,cond,NA,hour4,0.45839662464455644,0.07402485215752477,-4.830252859221277,1.3635977092443214e-6,0.3340287741704524,0.6290699536510465
fixed,cond,NA,hour5,0.5796763835224817,0.08838841013809691,-3.5761363367762677,3.4870984033006557e-4,0.42992761626252574,0.7815843804937558
fixed,cond,NA,hour6,13.91708387972334,1.4942848432757943,24.523645735376125,8.265847350727407e-133,11.275979392202617,17.176798305359565
fixed,cond,NA,hour7,25.356332269756162,2.69117267794599,30.46171855332705,8.380213956589173e-204,20.59419805494035,31.21964664314966
fixed,cond,NA,hour8,36.51848080517268,3.8622916267578624,34.017851814006505,1.2133297377108211e-253,29.681603812350225,44.930167815354636
fixed,cond,NA,hour9,50.6565407109884,5.340869358619876,37.22809372602023,2.3970208749661646e-303,41.19939372102853,62.28453588855301
fixed,cond,NA,hour10,71.49601036609371,7.524653233651373,40.5682938631721,0,58.1696484665776,87.87537200273071
fixed,cond,NA,hour11,95.06428312424008,9.991723848036203,43.33339807920485,0,77.36631428774632,116.81075942578589
fixed,cond,NA,hour12,120.48694238028543,12.656965872501335,45.61268289661309,0,98.0669312346356,148.03260488917005
fixed,cond,NA,hour13,130.33286375260568,13.685806213376742,46.37892601887936,0,106.08944770973643,160.11635219773427
fixed,cond,NA,hour14,132.8152764314335,13.952843639013825,46.53735775175229,0,108.09994436163912,163.181375880688
fixed,cond,NA,hour15,126.75571942843605,13.314608249453292,46.09856799410319,0,103.17063307111891,155.73242045287134
fixed,cond,NA,hour16,104.03885643338963,10.934907199018419,44.19205146166546,0,84.67024642216342,127.83810258445318
fixed,cond,NA,hour17,60.13194971926818,6.3339462656254,38.890922928757455,0,48.915299445272744,73.92066322901836
fixed,cond,NA,hour18,21.891375809766068,2.3320156512401016,28.97013850257035,1.5651000503954096e-184,17.76631588601541,26.9742099554604
fixed,cond,NA,hour19,1.5560629606976148,0.19686202661705218,3.4949709720856683,4.741133160194226e-4,1.2143369097730607,1.9939539992303565
fixed,cond,NA,hour20,1.3928113684378907,0.17932779876430222,2.5733445426930874,0.010072088381117509,1.0821764184388027,1.7926129926656986
fixed,cond,NA,hour21,1.0834423348505196,0.14498215314512003,0.5989058874257029,0.5492356452015249,0.83349160913939,1.4083492623979557
fixed,cond,NA,hour22,0.7732779348494594,0.11067663723302083,-1.7964288387634033,0.0724263407608117,0.5841253308786278,1.0236823039768006
fixed,cond,NA,hour23,0.5587778784997738,0.08545681491729268,-3.805554138447067,1.414870606913503e-4,0.41405736455831166,0.7540808212257657
fixed,cond,NA,day2,0.7295161105127733,0.10655456138911593,-2.1591782143196347,0.03083634353666055,0.5479068267232852,0.9713216363454145
fixed,cond,NA,day3,0.7702159740596759,0.10989817901824965,-1.8297965793736672,0.06728036250129917,0.5823162716306263,1.0187464709435314
fixed,cond,NA,day4,0.7510466913136455,0.10837421979622566,-1.9840073379093315,0.04725502191500669,0.5660315183350646,0.9965366137072074
fixed,cond,NA,day5,0.818673281943393,0.1175162622631271,-1.3937826335845636,0.16338325392458095,0.6179098143831181,1.0846662845727368
fixed,cond,NA,day6,0.8463555682818283,0.11817018006045685,-1.1947634209868079,0.23217947565867936,0.6437334388316585,1.1127552256128481
fixed,cond,NA,day7,0.8889669810646924,0.11968926899326593,-0.874156345861972,0.38203311577384325,0.6827804019021552,1.1574179505177427
fixed,cond,NA,week2,0.7098239375540863,0.04272007391161396,-5.694837063919935,1.2348979483515697e-8,0.6308438758669532,0.7986921037037235
fixed,cond,NA,week3,0.6753579595342702,0.05004560340984127,-5.296896586750166,1.1778735637967962e-7,0.5840607189200745,0.7809262953852388
fixed,cond,NA,week4,0.8760436809828868,0.07948189301753113,-1.4586344781752143,0.14466573873191516,0.7333271286165659,1.0465350333320655
fixed,cond,NA,week5,0.8145539414318427,0.0845375572060241,-1.9763633246982837,0.04811364223305593,0.6646283501747644,0.9982994606349285
fixed,cond,NA,week6,0.8366326389785562,0.10347987997104313,-1.4421193467900368,0.1492687080957493,0.6565275445508814,1.0661459346432283
fixed,cond,NA,week7,0.8637812791061915,0.11088805933749654,-1.1406855669334415,0.2540007948650105,0.6716308765529289,1.1109049988346233
fixed,cond,NA,week8,0.9440676505151604,0.12666086457675652,-0.4290048737578485,0.6679196778662972,0.7257743839612469,1.2280176160044862
fixed,cond,NA,week9,0.9307264435982945,0.1392058340919022,-0.47998516759345644,0.6312379398759937,0.6942414005513114,1.2477672926524128
fixed,cond,NA,week10,0.9958409322491835,0.20784505629496378,-0.0199687540663319,0.9840682982364108,0.6615048815052452,1.4991562270656642
fixed,cond,NA,week11,1.1376877830942136,0.20711307847780122,0.7085954398856281,0.47857556695135794,0.7962768412345986,1.6254817731418745
fixed,cond,NA,week12,1.012811305176862,0.1740068361916946,0.07409491491655922,0.94093486144929706,0.7232479234100494,1.418305821131937
fixed,cond,NA,week13,0.9386902863646032,0.15539202965951335,-0.3821987611360756,0.7023139406828618,0.6785991263722427,1.2984682995773784
fixed,cond,NA,week14,0.9085623013399007,0.14888124865612348,-0.5851891432090094,0.5584205441580681,0.6589809575443186,1.2526696651329867
fixed,cond,NA,week15,1.2422757272900276,0.17810509154314033,1.5131822314609507,0.13023337635545304,0.937953310013787,1.6453366773568745
fixed,cond,NA,week16,1.1361696919916742,0.15431302907378747,0.9399496295585689,0.3472433984335485,0.8706310647605149,1.4826964270514968
fixed,cond,NA,week17,1.2753347295107746,0.1657078891619685,1.8718026884421735,0.06123390620413742,0.9886103099113466,1.6452171861753848
fixed,cond,NA,week18,1.069965288719359,0.1364510867831489,0.5302830218276604,0.5959157164448035,0.8333303862332211,1.3737957213333905
fixed,cond,NA,week19,1.1534965321723336,0.14620653776080003,1.1266032334347627,0.25991027142453027,0.8997583146801942,1.4787907241585487
fixed,cond,NA,week20,1.017571762204107,0.12672898074811306,0.13986736981569567,0.888764782931176,0.7971791110046191,1.298895413767524
