effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),7.808310962036227,1.012707727762056,15.846183272264687,1.493824301326941e-56,6.055633083993609,10.068265239023763
fixed,cond,NA,year2020,1.4144066194230327,0.16558246308730223,2.961600167629348,0.0030604492613200865,1.1244117913040432,1.779193441886221
fixed,cond,NA,year2021,1.0904545802834427,0.11959412487361222,0.789566701080548,0.4297808614788464,0.8795351653559386,1.3519541213339963
fixed,cond,NA,year2022,1.0701007981250517,0.10620888308586844,0.682639478902748,0.4948346811922308,0.8809308882368359,1.2998927991272924
fixed,cond,NA,year2023,0.903425335871823,0.09632803005302834,-0.952511052961649,0.3408378630972913,0.7330483410538582,1.1134017932865772
fixed,cond,NA,year2024,0.8122720134494806,0.120842965317645,-1.3975790731136823,0.16223950619115388,0.6068298257789324,1.087266636880226
fixed,cond,NA,hour1,0.7836520156988664,0.0556377677559283,-3.4337591326380132,5.952729091075824e-4,0.6818511892178971,0.9006517718525927
fixed,cond,NA,hour2,0.6991811667939818,0.050746864483730704,-4.93032939303612,8.209108164058232e-7,0.6064697644033007,0.806065417754787
fixed,cond,NA,hour3,0.7335632494964155,0.054195281954456026,-4.193876231582108,2.7422764598090597e-5,0.634674757927901,0.8478595285065209
fixed,cond,NA,hour4,0.7292484987505299,0.053512456821159606,-4.302800996098831,1.686523216965754e-5,0.6315593058694209,0.8420481940295494
fixed,cond,NA,hour5,0.8127966835222817,0.05629256927397811,-2.9927901950600813,0.0027643971551577057,0.709625992616424,0.9309670948058364
fixed,cond,NA,hour6,3.147771918859751,0.19922319927173684,18.118040172552597,2.2962996443728046e-73,2.7805487762069343,3.5634937023757463
fixed,cond,NA,hour7,4.251817395772968,0.26725609187418775,23.026053561828792,2.556373368127032e-117,3.758985997789342,4.809262704790403
fixed,cond,NA,hour8,4.210479216253099,0.2650602402575988,22.83588756993754,2.0185349049026976e-115,3.721741911642366,4.76339726165377
fixed,cond,NA,hour9,4.235543884329804,0.2667094187514649,22.924039863191954,2.6756638978974933e-116,3.743773650018204,4.791911497105699
fixed,cond,NA,hour10,4.024290630705916,0.2534679081946178,22.106213307122452,2.7543201469469876e-108,3.5569424558964924,4.553043880015666
fixed,cond,NA,hour11,4.417216623295213,0.2779932664003318,23.604235292930095,3.4868550994235244e-123,3.904623376359038,4.9971023621002395
fixed,cond,NA,hour12,4.698988208442948,0.2958324889508908,24.577984397275962,2.1724765381788165e-133,4.153512958196459,5.316099987003212
