effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),0.23197499893819135,0.043527190857768246,-7.7869630576547895,6.863901029500536e-15,0.16059200410640345,0.3350876678562364
fixed,cond,NA,year2020,0.7856687240947834,0.10020073073530687,-1.8913938489980806,0.05857178906553025,0.6119007240181944,1.0087834836462306
fixed,cond,NA,year2021,1.2840301798983371,0.16017744691946054,2.0041042878865727,0.04505889020142631,1.0055215076714672,1.6396799972064295
fixed,cond,NA,year2022,1.364671066114311,0.15332374013137748,2.767311515104289,0.005652071830209642,1.094948398875349,1.7008355102417765
fixed,cond,NA,year2023,1.4156119461601484,0.16471116417832965,2.98712471618584,0.0028161481251009336,1.1269485386352678,1.7782153429455714
fixed,cond,NA,year2024,1.102029121411398,0.23705053494091918,0.4516572194828282,0.6515159419634395,0.7229303784043658,1.679924126468889
fixed,cond,NA,hour1,0.7705312784740097,0.07407959038429973,-2.71138464857919,0.006700284954349969,0.638197308931359,0.9303054757484869
fixed,cond,NA,hour2,0.5976423958832565,0.061141206437462466,-5.031696849234293,4.861575808324665e-7,0.4890576731119278,0.7303360175995728
fixed,cond,NA,hour3,0.5893689240842581,0.060719066400448,-5.131848993646353,2.8690964597668283e-7,0.48160740653006384,0.7212424974501563
fixed,cond,NA,hour4,0.4364998722131798,0.048451215359025974,-7.468214628685914,8.129017911006691e-14,0.3511569570656819,0.5425839773594017
fixed,cond,NA,hour5,0.9763533171464405,0.09005186985698709,-0.25946013024772846,0.7952802403744432,0.8148886027957382,1.1698111823289368
fixed,cond,NA,hour6,8.112826860975655,0.6132095609002215,27.696515259566127,7.690644610965313e-169,6.9957451028843884,9.408284422631546
fixed,cond,NA,hour7,14.516624056794528,1.0773804000521645,36.04691917229414,1.5412513139417303e-284,12.551395029983397,16.789557933831073
fixed,cond,NA,hour8,10.283709604481013,0.7721887067932243,31.037507875053286,1.682000617365742e-211,8.87634811116287,11.914210878716919
fixed,cond,NA,hour9,6.7573039916965945,0.5191854074157751,24.867161033723605,1.6866994029909096e-136,5.812633006915427,7.855503208593174
fixed,cond,NA,hour10,5.898425127920355,0.4526532573514051,23.125535308983014,2.5632072225154503e-118,5.074738800835806,6.8558048709723005
fixed,cond,NA,hour11,5.740808178283931,0.43937292394613137,22.833988655829405,2.108161798270137e-115,4.941130229497469,6.669906885494799
fixed,cond,NA,hour12,6.027689025644214,0.46137346809063623,23.468886825760812,8.480611710443373e-122,5.187974995203937,7.003317291131907
fixed,cond,NA,hour13,5.306793098204112,0.4081911032069368,21.69810273996651,2.1380397162573406e-104,4.564139642068139,6.17028732591227
fixed,cond,NA,hour14,5.476719157029524,0.42016336454766473,22.165652266970486,7.369461099953589e-109,4.712137180346164,6.3653606796673765
fixed,cond,NA,hour15,5.951844903588074,0.45369942884156717,23.399441251039434,4.329920662528729e-121,5.125850086041573,6.910942997110514
fixed,cond,NA,hour16,6.938638970076374,0.5273114447473682,25.489446183851726,2.5809197006461587e-143,5.978414944954303,8.053089522950556
fixed,cond,NA,hour17,6.242735581451786,0.47528176447198417,24.055333423496073,7.341109775795772e-128,5.377370068931864,7.247362007886755
fixed,cond,NA,hour18,5.6015278146534895,0.4303689955103999,22.42645994282909,2.1725056521713385e-111,4.818458613959456,6.5118570838057455
fixed,cond,NA,hour19,1.8602724038806386,0.15559482366184124,7.421286333719621,1.1598825364259594e-13,1.5789969684536518,2.1916529833676046
fixed,cond,NA,hour20,1.6950809470772628,0.14272484167569863,6.267625863822887,3.665942851579385e-10,1.4372084487574521,1.9992224646525558
fixed,cond,NA,hour21,1.1502851877463782,0.10267935038019291,1.5684878666810473,0.11676731939760458,0.9656586959420635,1.370210840236772
fixed,cond,NA,hour22,0.9842291439407787,0.090020684683411345,-0.17380268996065526,0.8620205302882501,0.8227021981638138,1.177469818294459
fixed,cond,NA,hour23,0.8181945075466504,0.07788686011111748,-2.1078648074302286,0.03504268511020672,0.6789341312071181,0.9860194404857271
fixed,cond,NA,day2,1.0090604066468507,0.03488197718241733,0.2609177994462424,0.794155898193281,0.9429576220048521,1.0797970985137957
fixed,cond,NA,day3,1.0109389234101245,0.03482965753644674,0.3157807810214243,0.7521689067822805,0.9449278683725086,1.0815613985709336
fixed,cond,NA,day4,1.1011031428507132,0.03803304097136145,2.7883658953618937,0.005297467478932033,1.0290270127930679,1.1782277006556399
