effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),0.001607963589421501,0.0011794221175140073,-8.770131339687442,1.7845799916815294e-18,3.8188273935282446e-4,0.006770525709768911
fixed,cond,NA,year2020,1.268521201973776,0.3297440592327139,0.9150129037931742,0.36018485599281314,0.7621374027550748,2.1113594924485266
fixed,cond,NA,year2021,1.7407722717018415,0.4268300536441446,2.2607599479730003,0.023774126013273913,1.0765418440845964,2.814835408931736
fixed,cond,NA,year2022,1.117538546828328,0.2867301211416585,0.4331265491372933,0.6649228361483266,0.6758763529131752,1.8478119529765633
fixed,cond,NA,year2023,0.9887820605533665,0.26512778305608475,-0.04207322833190499,0.9664403219634141,0.5846057000396646,1.6723921152425072
fixed,cond,NA,year2024,2.4539102709768663,1.3048475418823833,1.6881918586075069,0.09137440554533373,0.8654439241373426,6.957903857269604
fixed,cond,NA,hour1,0.7222961137902879,0.5410451402904255,-0.43430283783751267,0.664068543363346,0.16638412136483913,3.135585726071589
fixed,cond,NA,hour2,1.420367055230519,0.8927803970333711,0.5582879871155197,0.5766477466514465,0.4143550689068655,4.868873878884963
fixed,cond,NA,hour3,0.9627741280971912,0.6658590822599958,-0.05485278896149645,0.9562557441634606,0.24821581539095489,3.7343874332637896
fixed,cond,NA,hour4,0.9397649084673863,0.6499567879225445,-0.08982657974908895,0.9284250259826019,0.2422781834407923,3.6452233157945066
fixed,cond,NA,hour5,1.5373839188066625,0.9509220969477593,0.6953266599478515,0.4868506103944039,0.4573897382747535,5.167473417135452
fixed,cond,NA,hour6,13.791122784678553,6.840352276948899,5.2904077157113845,1.2204399003366008e-7,5.216826747494827,36.457999636160714
fixed,cond,NA,hour7,11.433758781482323,5.71784501728445,4.872317578725066,1.1029668256895508e-6,4.290583582788066,30.469244416437608
fixed,cond,NA,hour8,9.25538747524621,4.6615322117033395,4.418105692386748,9.9569730344513e-6,3.448909266768306,24.8374748916522
fixed,cond,NA,hour9,12.208731510085537,6.086987930891415,5.018589638288675,5.205220453953535e-7,4.594956092345489,32.438422063195716
fixed,cond,NA,hour10,8.820595693899698,4.480027096455546,4.2864083258382335,1.8158508680178106e-5,3.2596289075660017,23.868639836470866
fixed,cond,NA,hour11,5.846999562384438,3.044278673186401,3.39173415469016,6.945179083285313e-4,2.1074117382996604,16.222460595245376
fixed,cond,NA,hour12,9.704744335083765,4.890561748954366,4.5097368039258825,6.490810439104429e-6,3.614379289931238,26.057603548058232
fixed,cond,NA,hour13,9.73900162896993,4.90600380223532,4.5184061257360115,6.230688672574606e-6,3.628467669416785,26.14000216359216
fixed,cond,NA,hour14,7.634618542468598,3.88942486132548,3.9900077870011486,6.607112606796019e-5,2.812847807176676,20.72184642919228
fixed,cond,NA,hour15,9.790016943247013,4.933432241727317,4.5271898269069455,5.977324252931369e-6,3.646211728395265,26.28603023863501
fixed,cond,NA,hour16,16.01290999795489,7.919459897878823,5.607721921465431,2.050070594686061e-8,6.0742674151765295,42.21303888629537
fixed,cond,NA,hour17,17.56044376154998,8.658603550420224,5.81179925106912,6.180492991397805e-9,6.680821676427993,46.15737405334162
fixed,cond,NA,hour18,5.782786431833105,3.0050813566020746,3.3769897421441146,7.328378303841804e-4,2.0883436758669336,16.01298641724325
fixed,cond,NA,hour19,0.5992155846993918,0.4744586160511571,-0.6467973533694976,0.5177631055049581,0.12694106031576338,2.828551424208063
fixed,cond,NA,hour20,0.6999607599334471,0.5242783360921092,-0.47626935271915083,0.6338824963492703,0.16125542776587082,3.0383167390679553
fixed,cond,NA,hour21,0.846077506491591,0.6064492636661587,-0.23318857502542778,0.8156149771425694,0.2076290379458051,3.4477217352318372
fixed,cond,NA,hour22,0.824171347599443,0.5907341833160086,-0.26979247621924013,0.7873199113752389,0.20225959292666854,3.358349536727064
fixed,cond,NA,hour23,1.7119306994278458,1.0304270443708472,0.8931940063207856,0.37175328727777635,0.5261869069636878,5.569706659093596
fixed,cond,NA,day2,0.8070291401704671,0.12437839565705862,-1.3911050774357738,0.16419356543553223,0.5966271621982377,1.09162987264043
fixed,cond,NA,day3,0.6871330071070321,0.11091022905394957,-2.3246830682881305,0.020088913304092883,0.5007814781798259,0.9428299368660104
fixed,cond,NA,day4,0.7149694801585151,0.1134446019607746,-2.1145412202541527,0.034469068007483714,0.5238740483527136,0.9757714839387683
fixed,cond,NA,day5,0.8478783056120012,0.1293358904884926,-1.0817980858493252,0.27934225734751084,0.6287683953073897,1.1433424874607865
fixed,cond,NA,day6,1.046777209325463,0.15199068254365836,0.3148521434305834,0.7528739188607776,0.7875187579153535,1.3913859383664102
fixed,cond,NA,day7,0.99454432273554,0.14711857154900593,-0.03698219648087228,0.9704992011793652,0.7442342259975756,1.329041819542328
fixed,cond,NA,week2,0.3758201695233498,0.28152524356130476,-1.3064347115500807,0.19140476799688627,0.08656627597471139,1.6315914971532337
fixed,cond,NA,week3,1.3249539283381586,0.8587402084345824,0.43413883394919106,0.6641876268619626,0.371974288869798,4.719420037209067
fixed,cond,NA,week4,1.0510100381617815,0.7230563096970546,0.07231729453027327,0.9423494016867692,0.27290498024098037,4.047643613324415
fixed,cond,NA,week5,0.9871267547182211,0.690857510802853,-0.018513263579417242,0.9852293965731168,0.2504061505326877,3.891355015871815
fixed,cond,NA,week6,1.814659606856231,1.229396883020659,0.8795791450360959,0.3790873406641662,0.48097504553023795,6.846487191711462
fixed,cond,NA,week7,1.549876133468184,1.0272681369340486,0.6610902955380858,0.5085544084142013,0.4227805372352415,5.681709107999251
fixed,cond,NA,week8,0.8202794032286224,0.579459823284985,-0.2804435445425028,0.7791372330748902,0.2054272436534277,3.2754092757836486
fixed,cond,NA,week9,1.4545317928866048,0.9852746173192117,0.5531349977197502,0.5801709734108066,0.38559735967777087,5.4867147904900095
fixed,cond,NA,week10,0.560370011925088,0.47527360341222097,-0.6828545928724651,0.49469872878628507,0.10630035397561226,2.954031087581941
fixed,cond,NA,week11,0.7096134664031973,0.5469544265896886,-0.44505017578819067,0.6562834940388378,0.1566514617171402,3.2144690268515057
fixed,cond,NA,week12,1.2372625875119414,0.9094838038406201,0.2896311867421959,0.772098405575264,0.2929293160264551,5.225897944330341
fixed,cond,NA,week13,0.21132562092792273,0.2531809449468546,-1.2973924968591153,0.1944961728446461,0.02019114473437982,2.2117873279631963
fixed,cond,NA,week14,0.6092360672788842,0.5171542565150123,-0.5837844270557753,0.5593653568775564,0.11540836248257258,3.2161325027854026
fixed,cond,NA,week15,0.24754160462551814,0.2271342901628591,-1.5216187680386626,0.12810463213486878,0.040984501851122894,1.4951223817033532
fixed,cond,NA,week16,1.9238368981941065,1.206877757877488,1.0430285782878947,0.29693505707583223,0.5625812374733318,6.578869262465527
fixed,cond,NA,week17,3.2342190255439482,2.003073575337268,1.8952303409551772,0.058061892158015674,0.9607010678991106,10.888061910938712
fixed,cond,NA,week18,1.1423665187496193,0.8222575215967441,0.1849192854570084,0.853292344249289,0.2786916339683813,4.682599346732387
fixed,cond,NA,week19,1.5166566927224345,1.136650242501836,0.5557560103816074,0.5783776612200693,0.3491072309018517,6.588942651338113
fixed,cond,NA,week20,1.5925427679909834,1.0540671613356634,0.7030491804906619,0.4820251009706055,0.43521166153495705,5.827491981569228
fixed,cond,NA,week21,0.6208182599123787,0.46934675051715086,-0.6305669617549519,0.528323706717776,0.1410733393111614,2.7320209029045133
