effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),46.430957799490905,5.386792020353571,33.080998246623736,5.576368280275426e-240,36.987380980971324,58.28565810829382
fixed,cond,NA,year2020,1.4270469272129191,0.1638817101615485,3.0965517422835065,0.0019578568962419734,1.1394269404489368,1.7872694248088108
fixed,cond,NA,year2021,1.4851941647752842,0.16324924231970578,3.598558140542017,3.1998632043379215e-4,1.197349816788838,1.8422366430875434
fixed,cond,NA,year2022,1.585153014845932,0.15145352664201636,4.821609640208018,1.4240441354996048e-6,1.314447048700951,1.9116099678251954
fixed,cond,NA,year2023,1.6081252973079905,0.1949240653312294,3.919324269085174,8.879757815511655e-5,1.2680724056441457,2.039368541048145
fixed,cond,NA,year2024,2.0356280405754954,0.3405748068635072,4.248503764729717,2.152030309615339e-5,1.4665148119345492,2.8255981363808886
fixed,cond,NA,hour1,0.6682405392263997,0.012400708287898745,-21.72234741115158,1.261649598377823e-104,0.6443722913357159,0.6929928928817652
fixed,cond,NA,hour2,0.44977364341330384,0.00842346616121884,-42.66343671240449,0,0.43356328725005777,0.46659008328950907
fixed,cond,NA,hour3,0.3475812277799117,0.006586935337504372,-55.76324030297905,0,0.3349078906236523,0.3607341400049375
fixed,cond,NA,hour4,0.3643208899135464,0.006922738720236653,-53.13824327056134,0,0.35100212461210073,0.3781450353728785
fixed,cond,NA,hour5,0.6042338414868155,0.011273057575997116,-27.00326709117105,1.352942873219633e-160,0.5825381412330234,0.6267375633553057
fixed,cond,NA,hour6,3.0555991732618626,0.05508449787053086,61.9599009502406,0,2.9495206163852776,3.1654928111948424
fixed,cond,NA,hour7,4.2508343298277795,0.07688229744784177,80.01123146763072,0,4.102787335027109,4.404223525156951
fixed,cond,NA,hour8,4.314722927365817,0.07827266208749495,80.59349990451558,0,4.164006594135506,4.4708944424237425
fixed,cond,NA,hour9,4.345162920343588,0.07957727914751789,80.21534849630942,0,4.1919603532165635,4.503964544855854
fixed,cond,NA,hour10,4.3607967085103105,0.07908982552210582,81.1981571588589,0,4.208506268243954,4.5185979824830405
fixed,cond,NA,hour11,4.213683924039074,0.07634759438151226,79.38296988209689,0,4.066671234262383,4.36601121381915
fixed,cond,NA,hour12,4.144325810519396,0.07552814740878189,78.0126945290046,0,3.998905970836451,4.295033829001151
fixed,cond,NA,hour13,4.169032131395007,0.07522599767559679,79.12238138233522,0,4.0241685755870344,4.319110540757735
fixed,cond,NA,hour14,4.219844625290839,0.07587537127167539,80.07506326123608,0,4.073721540068291,4.371209098719463
fixed,cond,NA,hour15,4.455016462133919,0.08035734660546946,82.8291611733707,0,4.300270429887294,4.615331059168853
fixed,cond,NA,hour16,5.125685293996236,0.09239834197578838,90.65881444706906,0,4.947749733428569,5.310019938070617
fixed,cond,NA,hour17,5.999092989645162,0.10862136978205247,98.9494493647651,0,5.789932282979973,6.2158096052699925
fixed,cond,NA,hour18,5.642868097627695,0.10217545576060838,95.56479449914191,0,5.446119743095694,5.846724249424002
fixed,cond,NA,hour19,2.4088274325442622,0.043479917640077206,48.70516947976892,0,2.325098172145104,2.4955718727457095
fixed,cond,NA,hour20,2.3281849303836246,0.04221070243708997,46.6119556795576,0,2.2469061369256504,2.4124038743701037
fixed,cond,NA,hour21,2.150166154633147,0.03899372404329726,42.21318296898646,0,2.075082171152911,2.227966948393782
fixed,cond,NA,hour22,1.8756665689776348,0.03406992276985678,34.626639539656885,1.003972367863329e-262,1.8100654131891016,1.9436452695827444
fixed,cond,NA,hour23,1.4489624850975822,0.026483581458592323,20.289722193036226,1.5848817151091759e-91,1.397974357839333,1.5018102953369425
fixed,cond,NA,day2,0.9735364463369229,0.009506659627185424,-2.746523436726101,0.006023058248699752,0.9550809113242796,0.9923486074412036
fixed,cond,NA,day3,0.963710436321883,0.009404145961412144,-3.7880084706049972,1.5185967336522852e-4,0.9454537924241796,0.9823196146840714
fixed,cond,NA,day4,0.955542132786843,0.009422704225853127,-4.611694851045836,3.993990219081601e-6,0.9372512985278381,0.9741899199979707
fixed,cond,NA,day5,1.0114275651022573,0.010155134309484188,1.1317046201497447,0.2577586384906143,0.991718429861531,1.0315283941950293
fixed,cond,NA,day6,1.0779857842564224,0.010914994147609967,7.416455830174449,1.202959744652731e-13,1.0568036671913783,1.0995924665432637
fixed,cond,NA,day7,1.0730508940084198,0.010891035038629674,6.946668737690364,3.740125222643488e-12,1.0519157734010949,1.0946106620394085
fixed,cond,NA,week2,0.9736919165023913,0.03742013421669685,-0.6937161276411763,0.4878602499159726,0.9030439357504432,1.0498669120392623
fixed,cond,NA,week3,0.9139089357338732,0.04366138434188123,-1.884366579821216,0.05951540716418984,0.8322184558742551,1.003618144873755
fixed,cond,NA,week4,0.8650224332639767,0.05220007769519633,-2.4028338310609896,0.016268578029822768,0.7685308743369543,0.9736288222584307
fixed,cond,NA,week5,0.8138753119259868,0.056861744319891556,-2.9477828990749884,0.0032006175192722057,0.7097220813186171,0.9333132514799871
fixed,cond,NA,week6,0.8882487238967992,0.07659858373371659,-1.3741842264645203,0.16938449637834266,0.7501200797155788,1.0518126588525003
fixed,cond,NA,week7,0.9644002159337112,0.08701716387272704,-0.4017420689174845,0.6878738604459605,0.8080792833633004,1.150961045087013
fixed,cond,NA,week8,0.9398053614924894,0.08898781453073437,-0.6556566741348212,0.5120450514297377,0.7806201856418548,1.1314518042648372
fixed,cond,NA,week9,0.8994816189503997,0.09481102352277151,-1.0050316449448462,0.314881612373361,0.7315942664183059,1.105896013634187
