effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),0.04522005288123259,0.01776685302286265,-7.880460861296033,3.2617578149536583e-15,0.02093610897634,0.0976711185871439
fixed,cond,NA,year2020,0.5515644240147481,0.0817358532436736,-4.015116513928703,5.941643493851095e-5,0.4125317969048828,0.7374542183686883
fixed,cond,NA,year2021,0.35091034339042987,0.05688276904713718,-6.4603380268611925,1.0446935833314598e-10,0.25539706879668106,0.48214362709236236
fixed,cond,NA,year2022,0.3510830191776528,0.04826828452988587,-7.613488475520354,2.6679512665195276e-14,0.2681533727109132,0.45965965338715936
fixed,cond,NA,year2023,0.2955386947567901,0.04302303878616138,-8.373386185131318,5.598575535250676e-17,0.22217782225729135,0.3931225862741607
fixed,cond,NA,year2024,0.363539246835861,0.116846911455956,-3.1481682551748107,0.001642970946541055,0.1936254718992739,0.6825588735491194
fixed,cond,NA,hour1,0.8951143589689144,0.3014019763491601,-0.3290690651022408,0.7421034857441345,0.46266092866121383,1.7317859927157058
fixed,cond,NA,hour2,1.8061477888822783,0.5247268070276865,2.034940556673169,0.04185685453203216,1.0220213591996317,3.1918802928336287
fixed,cond,NA,hour3,2.0259536510437233,0.5776502143731418,2.4762483435216844,0.013277118889821077,1.1585921724641033,3.542651412401599
fixed,cond,NA,hour4,0.7545909052918135,0.26617428778706237,-0.7982639856145565,0.4247173128357677,0.3779713276974088,1.5064831446817233
fixed,cond,NA,hour5,0.9452454244889967,0.31821510019938315,-0.1672686478961652,0.8671586719204791,0.48864018516893126,1.828521148354774
fixed,cond,NA,hour6,8.512308266797866,2.1466299441599084,8.49201797379928,2.0307959517596994e-17,5.192682071186223,13.954136039074424
fixed,cond,NA,hour7,6.823267748438399,1.735045857539215,7.551952410986772,4.2878117394828096e-14,4.145202244767774,11.231534679796514
fixed,cond,NA,hour8,7.155565997877435,1.8188078415544986,7.742088051141583,9.779722041283178e-15,4.347953198089035,11.776144410313224
fixed,cond,NA,hour9,6.949443583843623,1.773693303681104,7.595799885488789,3.0589694128658326e-14,4.214048002549779,11.460421451251564
fixed,cond,NA,hour10,6.903521931614472,1.7578329383036415,7.587651230133072,3.25756312447086e-14,4.191124846094532,11.371318395511972
fixed,cond,NA,hour11,6.829942025048181,1.742818373703007,7.529458235672059,5.095127920957086e-14,4.14202932472311,11.262138533661306
fixed,cond,NA,hour12,4.898396371687125,1.2707107347221682,6.124997911762008,9.068479588032772e-10,2.9460536478222394,8.144551960855997
fixed,cond,NA,hour13,6.0952247071187,1.5666300038108796,7.032389872297333,2.030255419763871e-12,3.683061440385844,10.0871964347079
fixed,cond,NA,hour14,5.97602941752449,1.5358619101457185,6.956149241334086,3.496994087297953e-12,3.6111933887041645,9.889508468537953
fixed,cond,NA,hour15,5.264040586675159,1.3627642065956236,6.415665454012391,1.4020904407342034e-10,3.169265747380621,8.743389007711201
fixed,cond,NA,hour16,3.1747540623044297,0.8538373210061327,4.295398643977863,1.7437969552210208e-5,1.8740572769630006,5.3782045404994685
fixed,cond,NA,hour17,3.5169415444238186,0.9444464774882743,4.683035741402753,2.8265720389191025e-6,2.0776949991313844,5.953173026871226
fixed,cond,NA,hour18,0.8662728641269637,0.29585173221801064,-0.4203392348050081,0.6742376517318645,0.44355775264501124,1.6918398351686954
fixed,cond,NA,hour19,0.3494724484175099,0.15662057540655933,-2.345867144809014,0.018982872497177637,0.14518976966902117,0.8411818028318558
fixed,cond,NA,hour20,0.10497486296422852,0.07816958784475413,-3.02696936690245,0.0024701899005027247,0.024391450752812693,0.45178624125454364
fixed,cond,NA,hour21,0.1537966395515322,0.09603498773260202,-2.9981405510276975,0.0027163237012897356,0.04523060935371144,0.5229513083135816
fixed,cond,NA,hour22,0.3022728805866853,0.14318533963800528,-2.52572546689588,0.011545966726726089,0.11945071174551518,0.7649087477421662
fixed,cond,NA,hour23,0.7543997000447554,0.26628534991035724,-0.7984468144661087,0.42461124557246993,0.37770034661001567,1.5068000666021242
fixed,cond,NA,day2,1.0024898696437956,0.11251368881957355,0.022157008857611144,0.9823227111249718,0.8045370231336505,1.2491481558226378
fixed,cond,NA,day3,1.0722667665879737,0.11803123625804467,0.6338770018796284,0.5261610955453018,0.8641828980980878,1.3304544920518973
fixed,cond,NA,day4,1.1130984782846944,0.12166510353359487,0.9802792225025986,0.3269483079859147,0.8984514829434105,1.3790262978927499
fixed,cond,NA,day5,0.8510719176074817,0.09946485829858873,-1.3798109816128687,0.16764485053442735,0.6768403679638733,1.0701539731134024
fixed,cond,NA,day6,0.8767762053590766,0.10042641718549342,-1.1480957302808132,0.2509290466191825,0.7004734411641529,1.0974527642422232
fixed,cond,NA,day7,1.276046368591064,0.13721143172613268,2.26699323013343,0.023390639280573163,1.0335654363579416,1.575414847977303
fixed,cond,NA,week2,0.6196429589954155,0.22611286839548353,-1.311594773381631,0.18965689747344022,0.30306166009804664,1.2669283092700545
fixed,cond,NA,week3,0.7113320758307824,0.2653122727497053,-0.9132295888844608,0.36112180514923375,0.3424456687852322,1.4775871568201033
fixed,cond,NA,week4,0.7527505288508369,0.3011825823774423,-0.7098593291445852,0.4777913734270756,0.3436191095167033,1.649015852122365
fixed,cond,NA,week5,0.6308066134991325,0.2877170216206773,-1.010186649017918,0.3124058745171356,0.2580209374451322,1.5421887369851928
fixed,cond,NA,week6,1.038644303052711,0.484701378276554,0.081249113563197,0.9352438416174871,0.4161394414927025,2.5923569859041344
fixed,cond,NA,week7,0.734012312723447,0.293343023001057,-0.773763903721193,0.43907042204224056,0.3353717244863939,1.6064982104699814
fixed,cond,NA,week8,0.6169934244211189,0.2584762087726795,-1.1526949466036407,0.2490356163534948,0.2714487467726248,1.4024042855418704
fixed,cond,NA,week9,1.3400064132280873,0.6940829948884041,0.5650413218575652,0.5720456583768161,0.48552332001642856,3.6983129614281878
fixed,cond,NA,week10,0.021143817530921476,0.09306762660152094,-0.8761282991533085,0.3809602899361325,3.78873698738803e-6,117.9973751857366
fixed,cond,NA,week11,0.4368143389885361,0.26209182068985937,-1.3803947677086663,0.16746513031065943,0.13476269605378238,1.4158722876087513
fixed,cond,NA,week12,2.652034921346532,1.065083754941658,2.428543190766312,0.015159619362038643,1.2070581241172293,5.826802441005264
fixed,cond,NA,week13,1.0216561349528375,0.4592130642440244,0.04766622750286629,0.9619822500419887,0.42335769391012534,2.4654831436897298
fixed,cond,NA,week14,1.021439753360236,0.48662318628542983,0.04452718316115245,0.9644841844311988,0.4015065190738655,2.598560970196042
fixed,cond,NA,week15,0.6925723804532091,0.3198118675244669,-0.7955029610204695,0.42632098922539086,0.2801576521524833,1.7120949525432156
fixed,cond,NA,week16,1.0208033848227291,0.39224859228512854,0.05358410587388629,0.957266519993018,0.4806886077252572,2.1678057971807188
fixed,cond,NA,week17,0.975849363185391,0.3630094009731309,-0.06571905217578426,0.9476015037605752,0.47069711117723556,2.023131132561301
fixed,cond,NA,week18,0.4681416015945521,0.18191289859427817,-1.9531996029580558,0.05079594811670029,0.21858125410968451,1.002631996216561
