site,super_category,fold,marginal_R2,conditional_R2
AD,people,1,0.9320818354975904,0.9935684476704754
AD,people,2,0.9331773400199018,0.9935459673556106
AD,people,3,0.9246981465864632,0.9935452356816947
AD,people,4,0.9328339678511823,0.9935009719456173
AD,people,5,0.9367877498163474,0.9935538999296426
AD,small_vehicles,1,0.9063667926009293,0.9946793604162129
AD,small_vehicles,2,0.9021455994443073,0.9946639736606172
AD,small_vehicles,3,0.9025778533269836,0.9946526660752052
AD,small_vehicles,4,0.9028317153184253,0.9946650206638477
AD,small_vehicles,5,0.9012795229308014,0.9946328916383889
AD,large_vehicles,1,0.8848094081066816,0.9679623781158292
AD,large_vehicles,2,0.8835022042009661,0.9680156890387625
AD,large_vehicles,3,0.8824617184467104,0.9675127661437067
AD,large_vehicles,4,0.8830831760272366,0.9675784583212964
AD,large_vehicles,5,0.8786978322141257,0.9677710718589918
AD,market,1,0.8900130013290248,0.9931189370908673
AD,market,2,0.885548661566464,0.9932686806760465
AD,market,3,0.8918218699789894,0.9933066875803592
AD,market,4,0.8920332741919325,0.9932663006195447
AD,market,5,0.8895089677203561,0.993035208405148
AD,two_wheelers,1,0.9508896096863112,0.9646395005695333
AD,two_wheelers,2,0.9508112430039459,0.9646084560573458
AD,two_wheelers,3,0.9507571184860002,0.9646382930031988
AD,two_wheelers,4,0.9516945163319184,0.9645856537608847
AD,two_wheelers,5,0.951233897749659,0.9643136607667947
AD,refuse,1,0.4198561585585332,0.8761242986911432
AD,refuse,2,0.41850850744658125,0.8747274141555443
AD,refuse,3,0.413348600011915,0.8745118555535923
AD,refuse,4,0.4134362968063588,0.878980501145582
AD,refuse,5,0.421383472630664,0.8745039860447977
AD,animal,1,0.4025528888736711,0.5029295690598753
AD,animal,2,0.4161327774204162,0.5143676135141998
AD,animal,3,0.40504642107141303,0.5052746796120458
AD,animal,4,0.40725701322140473,0.5060459336268869
AD,animal,5,0.40062846388408874,0.4992619038746904
ASH,people,1,0.8991973351557578,0.9408863471819642
ASH,people,2,0.8992877264990631,0.9408500108139551
ASH,people,3,0.9014819333392051,0.9406793353315852
ASH,people,4,0.9013519530022754,0.9399496600890684
ASH,people,5,0.9025861802280396,0.9416667887305968
ASH,small_vehicles,1,0.5620711541098442,0.8930285691061318
ASH,small_vehicles,2,0.5656967311862369,0.8887463497689396
ASH,small_vehicles,3,0.5872573055274517,0.9013661758847331
ASH,small_vehicles,4,0.5779109678658506,0.8892087984607313
ASH,small_vehicles,5,0.567234712082055,0.8919252080102029
ASH,large_vehicles,1,0.38433523067015885,0.9396756826865802
ASH,large_vehicles,2,0.3903934984498836,0.940494076722264
ASH,large_vehicles,3,0.38873011550019976,0.9409448008635273
ASH,large_vehicles,4,0.41700231390499853,0.9420818691545365
ASH,large_vehicles,5,0.44132545613724783,0.9399965432051847
ASH,market,1,0.49470582090798054,0.6948628300365487
ASH,market,2,0.4801727261523649,0.7036177531680273
ASH,market,3,0.49528534646632216,0.7118536026539111
ASH,market,4,0.4920410287738287,0.7107749573077062
ASH,market,5,0.4891983476000133,0.7109393439922345
ASH,two_wheelers,1,0.6606468883542209,0.6817850513580558
ASH,two_wheelers,2,0.6730777805711868,0.6958166818592731
ASH,two_wheelers,3,0.6546182445057488,0.6797794501531621
ASH,two_wheelers,4,0.6473351197180705,0.6747511276649202
ASH,two_wheelers,5,0.6659824618291955,0.6912335795728719
ASH,refuse,1,0.777845551598871,0.9855195573155079
ASH,refuse,2,0.7475338619943425,0.9859929448362015
ASH,refuse,3,0.7567168937357801,0.9859315140606274
ASH,refuse,4,0.7569100300335172,0.9860270324160656
ASH,refuse,5,0.7487708977639093,0.9856702051452452
ASH,animal,1,0.45654709477285044,0.5249079803875271
ASH,animal,2,0.44798939554952877,0.5112422919710896
ASH,animal,3,0.44675177664723553,0.5111627735602045
ASH,animal,4,0.4472940794792565,0.5166188046669372
ASH,animal,5,0.44949658201022874,0.5108557939061095
EL,people,1,0.8318517411554612,0.9044755772176121
EL,people,2,0.8301134316216872,0.905860871187378
EL,people,3,0.8288878844821242,0.9050912159772516
EL,people,4,0.8300890584989177,0.9047726611408581
EL,people,5,0.8311104832859949,0.9051606775018614
EL,small_vehicles,1,0.8550625561061492,0.9809746489260411
EL,small_vehicles,2,0.8586408496084379,0.9808141316235671
EL,small_vehicles,3,0.8650792132732891,0.9806573445226482
EL,small_vehicles,4,0.8524017533402652,0.9810880755742261
EL,small_vehicles,5,0.8632907988999949,0.9808078666279664
EL,large_vehicles,1,0.8302286977330174,0.8938593127361283
EL,large_vehicles,2,0.8382595186149226,0.8973066711424424
EL,large_vehicles,3,0.8292538171873338,0.8929709891988522
EL,large_vehicles,4,0.8312192439805036,0.8946880444577718
EL,large_vehicles,5,0.8299389936580119,0.8924293220521542
EL,market,1,0.8275895079017346,0.9532290255901684
EL,market,2,0.8455296734368758,0.9600333281745606
EL,market,3,0.8272137606695692,0.9554239955087663
EL,market,4,0.8235582545030476,0.9540531808922583
EL,market,5,0.8271014267693418,0.9549501324125533
EL,two_wheelers,1,0.9081269561210875,0.9366387975225169
EL,two_wheelers,2,0.9084136057719756,0.9365963598602202
EL,two_wheelers,3,0.9076925813588069,0.9355939727420948
EL,two_wheelers,4,0.9098262041555804,0.9377885215400439
EL,two_wheelers,5,0.9108374017283353,0.937863355232329
EL,refuse,1,0.4628164515705321,0.9659758796576441
EL,refuse,2,0.4713213895649922,0.9639404446049001
EL,refuse,3,0.44932439038177147,0.9660780913027385
