effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),0.7475657274957155,0.27565061240326827,-0.7890117625785132,0.43010513170426035,0.36289838771058136,1.5399751992612762
fixed,cond,NA,year2020,2.8430119775232425,0.7652484869726099,3.8818253772846782,1.0367531557445457e-4,1.6774990429257386,4.818313988569251
fixed,cond,NA,year2021,7.206261847288498,1.7304151359727549,8.22462139568891,1.9580838333408543e-16,4.5010507377933235,11.537352684263459
fixed,cond,NA,year2022,2.922515148524391,0.7483924747797629,4.187957106115563,2.8147669760387182e-5,1.7692230774552677,4.827596306080002
fixed,cond,NA,year2023,1.9376205849725054,0.5652628719957793,2.2673696899071003,0.02336765147267116,1.093823762396441,3.432338609177585
fixed,cond,NA,year2024,0.2345773622892497,0.1515611214773217,-2.244177779247847,0.02482096514346484,0.06611839246453081,0.8322425401993987
fixed,cond,NA,hour1,1.0208303820577571,0.0575303552645314,0.36582154698760283,0.7144982405276009,0.9140772654543026,1.1400509654008935
fixed,cond,NA,hour2,1.0353440834524397,0.05848820333479405,0.6148496996780266,0.5386539839127829,0.9268276940259333,1.1565659701899014
fixed,cond,NA,hour3,1.0416380627319763,0.05905906631156564,0.7195023965127334,0.47183142615725476,0.9320843031549609,1.1640683681287565
fixed,cond,NA,hour4,0.9936570711561346,0.0560940439630208,-0.11271731107902035,0.9102546764599408,0.8895787487266021,1.1099122775492867
fixed,cond,NA,hour5,0.9872139864538211,0.0553869211359053,-0.2293668178188954,0.8185838242658042,0.8844132847800682,1.1019638350326253
fixed,cond,NA,hour6,1.5299060173761805,0.08284111127816932,7.852691467035292,4.072025474422665e-15,1.3758593039901772,1.7012004172343458
fixed,cond,NA,hour7,1.284672100647414,0.070906077683199,4.538607725269043,5.662686532925286e-6,1.1529517964205962,1.4314409425489811
fixed,cond,NA,hour8,1.2442114129507589,0.06951257716828187,3.9109841863220436,9.192079115384913e-5,1.1151636036304615,1.3881927594096002
fixed,cond,NA,hour9,1.3046273344458812,0.07334576189835654,4.729968606086968,2.2455455904867635e-6,1.1685093053553868,1.4566015640463452
fixed,cond,NA,hour10,1.3475588311576838,0.07581258132139018,5.302149411886584,1.1444711061382833e-7,1.2068681244789077,1.504650563387052
fixed,cond,NA,hour11,1.3825967937339998,0.07773934916047952,5.761700522890099,8.327065413030766e-9,1.2383259884593243,1.5436758267682322
