effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),0.1617838568504356,0.021347972155157713,-13.804043342070678,2.409499421946952e-43,0.12491541206816296,0.2095339230288075
fixed,cond,year2020,1.173553817046918,0.10224108421980567,1.8369480234057851,0.06621756882996038,0.9893399619607052,1.392068059978044
fixed,cond,year2021,1.2644831669101213,0.11613990734988387,2.5549186389136342,0.010621262126663587,1.0561658563768,1.5138888175046405
fixed,cond,year2022,1.5234471583041758,0.13488415592414751,4.754703245905029,1.987381186866025e-6,1.2807461148897106,1.8121399840005983
fixed,cond,year2023,0.8010780206304524,0.07217791593159197,-2.461648351511163,0.01383001891221564,0.6713990486700327,0.9558041471884593
fixed,cond,year2024,0.6287289579788101,0.10238178842134417,-2.8497727626899954,0.004375047419477884,0.4569349665015006,0.8651123936251052
fixed,cond,hour1,0.38243724685937436,0.04017236627491956,-9.150447408904405,5.669823505176663e-20,0.3112772606611271,0.46986486412382855
fixed,cond,hour2,0.3371287798352922,0.03673197766740039,-9.979229831711374,1.8791970881918974e-23,0.27230328661396286,0.4173868615635174
fixed,cond,hour3,0.2471629127953817,0.030133324098188207,-11.46443316356044,1.9905863041896504e-30,0.19462897375310032,0.3138767280301931
fixed,cond,hour4,0.3210389482225371,0.035545025687697976,-10.261974602710001,1.0454671476412266e-24,0.25841264852511797,0.3988427302768606
fixed,cond,hour5,0.5344934855963577,0.05056482423636471,-6.621714310828306,3.5505677586537915e-11,0.4440337474325328,0.6433819226507124
fixed,cond,hour6,3.3610600901354672,0.224585495641221,18.142163121190098,1.4808628055185842e-73,2.948486383789199,3.831364116724742
fixed,cond,hour7,7.65512359787534,0.47957053335528915,32.48958693051277,1.496113755138832e-231,6.770597295961081,8.655206437060668
fixed,cond,hour8,10.811163025942033,0.6649558297807504,38.70457077637774,0,9.583365783420215,12.196262629952779
fixed,cond,hour9,13.748962409900171,0.8374040460115459,43.03242489488278,0,12.201860072084127,15.492225466617743
fixed,cond,hour10,14.848849401734725,0.9024580043522856,44.39103308750882,0,13.181351134405976,16.727293454756612
fixed,cond,hour11,14.475360522354643,0.8809079726477673,43.91451600032608,0,12.847805003103838,16.30909421504471
fixed,cond,hour12,14.345493517795227,0.8728628682721628,43.77354466922195,0,12.732786713045408,16.162462225041352
fixed,cond,hour13,14.395905389720532,0.8755543216230663,43.85001585681059,0,12.778185266806341,16.218429116702012
fixed,cond,hour14,13.957840588064705,0.8499013924574886,43.291428825842495,0,12.38762514405054,15.727091481727163
fixed,cond,hour15,13.191665697968652,0.80460670168339,42.292745142023875,0,11.705280392401379,14.86679840663449
fixed,cond,hour16,13.05495690224894,0.7964384689192344,42.11295351719501,0,11.58367954664659,14.713105540710188
fixed,cond,hour17,14.294059544209697,0.8691048049165471,43.746126809922465,0,12.688228340009797,16.10312588788535
fixed,cond,hour18,12.435080936453119,0.7593942410170259,41.27354176660747,0,11.032319830501882,14.016203325489096
fixed,cond,hour19,5.3461694735521474,0.3408902704814391,26.29061037925646,2.455651980578607e-152,4.718100256191217,6.057846694214564
fixed,cond,hour20,4.752488460849513,0.3053593780328879,24.258476939176955,5.381465633000274e-130,4.19014665602072,5.3902997734111
fixed,cond,hour21,3.740848729270858,0.24535836865996366,20.114857242590134,5.469629716531493e-90,3.289582062320202,4.25402040446962
fixed,cond,hour22,2.203115703518369,0.15392982780756842,11.305025970020733,1.2391749591548144e-29,1.9211645990074817,2.5264460971208718
fixed,cond,hour23,1.0819470345385953,0.08582697550380491,0.9928878220781877,0.32076462507213727,0.926154064842646,1.2639467125221195
fixed,cond,day2,1.0548969438546991,0.02053850447276889,2.7449389203128782,0.006052216094135912,1.0154005952196592,1.0959295940862168
fixed,cond,day3,1.0791963407048089,0.021091096559244012,3.8998784881566793,9.624097746129974e-5,1.0386402447442344,1.1213360426616716
fixed,cond,day4,1.0483312484426857,0.020754808345105923,2.384065807845321,0.01712254014710748,1.008431694345891,1.0898094661475848
fixed,cond,day5,0.9826222364630238,0.02003491754413093,-0.8597933005855464,0.38990299289109964,0.9441287832242495,1.0226851217205801
fixed,cond,day6,1.005876668585771,0.020019685449872163,0.2944053487278611,0.7684481802360905,0.9673942586860993,1.0458898875205278
fixed,cond,day7,0.6086152001160168,0.013345780084477602,-22.645321572573245,1.5513657844922714e-113,0.5830120819976485,0.6353426854261197
fixed,cond,week2,1.2955217532729837,0.0990154428265795,3.3876340681078885,7.049825297289801e-4,1.1152910571594274,1.5048776751408912
fixed,cond,week3,1.3565610265486046,0.13172499575539795,3.1405363558821326,0.0016863877491053686,1.1214652828571214,1.6409405149504384
fixed,cond,week4,1.2919101647539402,0.1415625551106873,2.337386806321863,0.019419080534264048,1.0422236374373404,1.6014143355052206
fixed,cond,week5,1.2574959049927805,0.1481154658921635,1.9452420846467886,0.05174584890408113,0.9982674682449212,1.5840403512835368
fixed,cond,week6,1.2606431033501697,0.15726203586645732,1.8567269778059987,0.06335000729419431,0.98720401848675,1.6098202643668398
fixed,cond,week7,1.2118923710108296,0.15458124037850837,1.5066848281133927,0.13189146227838633,0.9438222827881785,1.5561013399424748
fixed,cond,week8,1.2270780567309156,0.15932961537122367,1.5760037718809377,0.115024933948445,0.9513671639138067,1.582691325099105
fixed,cond,week9,0.9282318803596767,0.12333776375927762,-0.5604842049849115,0.5751492103424712,0.7154084008832757,1.20436721549855
fixed,cond,week10,1.0319188835075448,0.14018697197601324,0.231283660545767,0.8170944395922385,0.7906953362346577,1.3467343657424027
fixed,cond,week11,0.9579049788467796,0.1323173939840173,-0.3113447450014305,0.7555385548037666,0.7307085728549785,1.2557426894751365
fixed,cond,week12,0.930626965859176,0.12907854084307777,-0.518359334540061,0.6042075817712608,0.7091097345415663,1.2213434781630252
fixed,cond,week13,0.8898043961286786,0.12353972396258762,-0.8409269589151069,0.4003888544976916,0.677820051354406,1.16808563244457
fixed,cond,week14,0.8688534855788262,0.12147861212282833,-1.0054781587408193,0.31466666134298793,0.6605959991799125,1.1427655940085066
fixed,cond,week15,0.7112004787108167,0.09986602850100747,-2.4270293139899897,0.015223025781667553,0.5400913335279363,0.9365196023689426
fixed,cond,week16,1.0908051532225038,0.15006735153463885,0.6317731652134541,0.5275351109500195,0.8329966585946572,1.428404147867973
fixed,cond,week17,0.9329173683358707,0.12735669972568522,-0.508654201402763,0.6109946297861245,0.713907376823696,1.2191144739461928
fixed,cond,week18,1.004361519988902,0.13836682521823168,0.03159006945701845,0.9747989628641998,0.7666964823926893,1.3156993490909963
fixed,cond,week19,1.0476146770280137,0.14545308805616197,0.3350267857768252,0.7376048805590131,0.7980294352840864,1.375258183470159
fixed,cond,week20,1.0798453891509545,0.14798442848509707,0.5605415818587045,0.5751100853043986,0.8254884745232294,1.412577038273068
fixed,cond,week21,0.9696899949015962,0.13179039352466176,-0.22646524915628574,0.8208395843098223,0.7429272109097221,1.2656673122267956
fixed,cond,week22,0.9470324687055593,0.128234127443221,-0.40191568216806334,0.6877460810189183,0.7262846223977633,1.234874688412938
fixed,cond,week23,0.9889794878011964,0.13580034916109554,-0.08070348940860433,0.9356777617243106,0.7556239637805017,1.294401017138249
fixed,cond,week24,0.9652718864245188,0.13300286526887783,-0.25652070111436054,0.7975487978908721,0.7368249353322698,1.2645470722314498
fixed,cond,week25,0.8497664911521956,0.11498178577133154,-1.2031176617031747,0.22893079166660205,0.6518139322445419,1.1078362301930702
fixed,cond,week26,0.924393568861008,0.12249816035930795,-0.5932609897729405,0.5530065015558621,0.7129481825561148,1.19854919482081
fixed,cond,week27,0.7690835316770485,0.10114739092258937,-1.9963664581184062,0.045894049009243404,0.5943280454188654,0.9952239058144677
fixed,cond,week28,0.7638191024519775,0.1011202991958344,-2.0351148545740725,0.04183931765926683,0.5892530658384622,0.9901002728604947
fixed,cond,week29,0.9000815519774421,0.11759771154753747,-0.8057257197556945,0.42040101611721914,0.6967395020492354,1.1627685782524662
fixed,cond,week30,0.7516408792472862,0.09808454901949987,-2.1878158700531563,0.02868301740329983,0.5820144719692744,0.9707044043837092
fixed,cond,week31,0.7795771427485002,0.10204166320520616,-1.9023360956501334,0.05712722963266344,0.6031735069232937,1.0075716431842596
fixed,cond,week32,0.8311494125359573,0.1091419988985035,-1.4084175932406728,0.15900745269361322,0.6425456194446555,1.0751133072168872
fixed,cond,week33,0.9609181550734217,0.12583192116417377,-0.3044378668452211,0.7607943224311132,0.7433987601012034,1.242083993554153
fixed,cond,week34,0.8873011137541617,0.11671525999982092,-0.9090103121882858,0.3633446824843459,0.6856528582876086,1.1482534593899822
fixed,cond,week35,0.7586156337128294,0.1004340081552988,-2.0866954346530986,0.036915674219840156,0.5852349091921575,0.9833618444052138
fixed,cond,week36,0.8713566396423881,0.11658466631148287,-1.0292025013457433,0.3033845271580596,0.6703598026565689,1.1326192149946843
fixed,cond,week37,0.8786924670744678,0.11794425569808181,-0.9634448152669469,0.3353243454135095,0.6754336166230837,1.1431181876223886
fixed,cond,week38,0.8207767871765794,0.1088273764458641,-1.4895771101521393,0.13633546429789317,0.6329416122998978,1.0643549440840212
fixed,cond,week39,1.1479679099174358,0.1495978053073264,1.0589188184402494,0.28963675313916865,0.8892116556322849,1.482020972007105
fixed,cond,week40,1.1547945119512462,0.14642229370837276,1.135078630538999,0.2563423742939015,0.9006924462817226,1.4805834892231384
fixed,cond,week41,0.9382303139770626,0.11877922014514611,-0.5036352193281088,0.6145177385517822,0.7320622538360867,1.2024607435402572
fixed,cond,week42,1.187024043162999,0.15125494992123956,1.3455065467974516,0.1784617085383695,0.9246902923821555,1.523781627919061
fixed,cond,week43,1.1577077833216731,0.14895812231669756,1.1381524019657474,0.25505685001822015,0.8996589258087875,1.4897727050934026
fixed,cond,week44,1.1797201207552943,0.15147305106720477,1.287231398082883,0.19801364652942216,0.9172482292332524,1.5172987191027574
fixed,cond,week45,1.0093932606627058,0.12821470599948806,0.07360497201992419,0.9413247147737225,0.7869360724138986,1.2947363710827577
fixed,cond,week46,0.8396072532285871,0.10618428200338773,-1.3823234535658708,0.16687240774612627,0.6552779912013187,1.075788213765105
fixed,cond,week47,0.9160157425013439,0.1162867806536581,-0.6910027403614717,0.4895638189256422,0.7142400830285869,1.1747938269612694
fixed,cond,week48,0.8731715993459109,0.1108671582024609,-1.068145973878,0.28545467055637525,0.6808038379829328,1.1198947470143517
fixed,cond,week49,0.9755872565354566,0.11718674426852226,-0.2057595987233995,0.8369787014169312,0.7709398318438935,1.234558724042036
fixed,cond,week50,0.915762476413425,0.10284925834579864,-0.7835301831923878,0.433315836310497,0.7348258446186178,1.1412512493243916
fixed,cond,week51,1.0075063266274333,0.10219690856089385,0.07372462607764124,0.9412295033318364,0.8258586603293185,1.229107408996034
fixed,cond,week52,0.8957042373742223,0.07564617583915274,-1.3041948719925902,0.19216714787398503,0.7590613907880969,1.0569449198531389
fixed,cond,week53,0.879926937256711,0.1143119215515403,-0.9846487160247791,0.324796651513403,0.6821288647546219,1.1350808548301203
fixed,zi,(Intercept),0.010623525638274074,0.001130481221046717,-42.7079810578424,0,0.008623622987785856,0.013087225305062136
