effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),6.1818015810953035,0.44169358658096475,25.494664980495006,2.2589584793777e-143,5.37398164836641,7.11105345877929
fixed,cond,year2020,0.9792756309808658,0.05026654550538103,-0.4079874595204538,0.6832828816895631,0.8855487769332845,1.0829225745802373
fixed,cond,year2021,0.9405238430017324,0.05268956497556438,-1.094548865240788,0.27371432827454406,0.8427217730949602,1.0496763314967417
fixed,cond,year2022,1.0536578133825927,0.05899217504409551,0.9335528803061756,0.35053458090397815,0.9441533426566319,1.175862794255806
fixed,cond,year2023,0.9740340239486249,0.05652241115449437,-0.4533759838006272,0.6502780269485023,0.8693198299905281,1.0913615991250165
fixed,cond,year2024,1.0831626398814347,0.0992087947987578,0.8721866919032347,0.3831065383684591,0.9051709491236306,1.2961543955545949
fixed,cond,hour1,0.8366405099211023,0.022571552935445476,-6.6111476821560125,3.813518021989239e-11,0.7935503675114011,0.8820704664735544
fixed,cond,hour2,0.7891985004586358,0.021846598970283744,-8.552031609777329,1.2094064458864576e-17,0.7475208037250036,0.8331999190156135
fixed,cond,hour3,0.7828774222382009,0.022020060728522965,-8.702612936569933,3.2432861134826196e-18,0.7408869569648313,0.8272477366333545
fixed,cond,hour4,0.7880548505982118,0.021606437582987293,-8.687451614878611,3.706602038879675e-18,0.7468247273766897,0.8315611746451043
fixed,cond,hour5,0.973412979602507,0.023715607736779665,-1.106040009061135,0.2687092026202946,0.9280235686656759,1.02102237577975
fixed,cond,hour6,4.255245976080158,0.09159273140026862,67.27875998534532,0,4.079461550343861,4.43860497114383
fixed,cond,hour7,12.39383250471843,0.2647302182134283,117.84730367604698,0,11.88568176640117,12.923708304999094
fixed,cond,hour8,20.87628241145681,0.44285745964466744,143.24012477428357,0,20.026094576379027,21.762564121561372
fixed,cond,hour9,28.810925968156884,0.6088018962204732,159.04427227589517,0,27.642067890820098,30.029209769008702
fixed,cond,hour10,35.48534719018558,0.7479799268198529,169.32467398483752,0,34.04920358547866,36.982065147187186
fixed,cond,hour11,39.79765077646839,0.836125695432288,175.34074186336812,0,38.19215666534729,41.47063548162507
fixed,cond,hour12,41.95982636387,0.8821176857489875,177.7447797556608,0,40.26604256171093,43.72485887551075
fixed,cond,hour13,42.888787928491915,0.8970320296779737,179.70623194415128,0,41.166186193899755,44.68347204453285
fixed,cond,hour14,43.23644468896132,0.9106211429659076,178.84277736776684,0,41.48799598105714,45.058579117563305
fixed,cond,hour15,42.33876803024128,0.8876075348974406,178.66957108203903,0,40.634345952659835,44.114682697415084
fixed,cond,hour16,40.20644932441319,0.843333229138696,176.11511189251704,0,38.587061466415804,41.89379822777062
fixed,cond,hour17,32.71221028459162,0.6875270652318128,165.9454081493259,0,31.392059446709673,34.08787829036498
fixed,cond,hour18,14.940618217478935,0.3156793116415511,127.98013234098495,0,14.334534307660677,15.572328192145655
fixed,cond,hour19,3.070102329061042,0.06692414931059912,51.45776615111869,0,2.9416959940269605,3.2041136575785973
fixed,cond,hour20,1.9965343216437277,0.04439950098088934,31.091103087936744,3.177037676231799e-212,1.911382111404128,2.0854800689607265
fixed,cond,hour21,1.6323055815439578,0.037129031212715775,21.54160963687809,6.346290450914686e-103,1.5611323310937377,1.7067236764437839
fixed,cond,hour22,1.3342225636109502,0.03094014760126777,12.43437632894208,1.7006291860909497e-35,1.2749384511679267,1.3962633628453534
fixed,cond,hour23,1.06371137865493,0.02580303739280474,2.5461796611172467,0.010890911955504696,1.0143217465038696,1.115505904295088
fixed,cond,day2,1.008865177607313,0.009543380457429614,0.933040207812242,0.3507992087949757,0.9903328243499485,1.027744331565221
fixed,cond,day3,1.2476701606597338,0.011737157732510401,23.52203915809952,2.4270822338807644e-122,1.2248765331647438,1.2708879529095487
fixed,cond,day4,1.0084813349560255,0.009679099586438209,0.8799579081633803,0.3788821122998254,0.989687964929705,1.027631575803718
fixed,cond,day5,1.0497889551708424,0.01019085732720319,5.005305266283212,5.57735717611182e-7,1.0300040564665953,1.0699538933654968
fixed,cond,day6,1.0096977154498699,0.009572877572765844,1.0179370775761931,0.30870785974857645,0.9911084704498097,1.028635620601644
fixed,cond,day7,0.8772500686175306,0.008353126395124385,-13.753828055927556,4.830447699851016e-43,0.8610300667569353,0.8937756213183524
fixed,cond,week2,0.9876909159779681,0.03592302532775062,-0.34053408298012855,0.733454360283579,0.9197340187714182,1.0606689821134552
fixed,cond,week3,0.9758911210107534,0.045444249931357004,-0.5240684120762924,0.6002309579799294,0.8907657850307048,1.06915139318558
fixed,cond,week4,1.0864503402746,0.05961245724547103,1.5111592103702347,0.13074789201165404,0.9756752586372557,1.2098024741669122
fixed,cond,week5,1.1104114169435892,0.06859375390906916,1.6954028470548976,0.08999902620594823,0.9837900102965669,1.2533299809651184
fixed,cond,week6,0.9882985875939803,0.06500312122686841,-0.17895574942788833,0.8579724475527785,0.8687649753817762,1.1242788624288556
fixed,cond,week7,1.0031835233112278,0.0698813714023685,0.04562854575852329,0.9636063166362516,0.875157107738617,1.1499388767390362
fixed,cond,week8,0.9982581343533932,0.07067637650164525,-0.02462417858959819,0.9803547334194264,0.8689164992042683,1.1468527801178876
fixed,cond,week9,1.070857670499236,0.07691817694027896,0.9531010712311899,0.3405388634326531,0.9302317550171707,1.2327424260483169
fixed,cond,week10,1.0922908919511007,0.07966272994086145,1.2104080597794198,0.2261223507171871,0.9468008957216569,1.2601375833405228
fixed,cond,week11,1.0287207511515866,0.07596929003936674,0.3834351896305783,0.7013971158509522,0.8900977517469484,1.1889327680840451
fixed,cond,week12,1.124142385710096,0.08225796465430901,1.5992082460934585,0.10977433868955358,0.9739474489078932,1.2974992693568779
fixed,cond,week13,1.0386064800269101,0.07486677046008954,0.5254975022889544,0.5992373891742049,0.9017644906391445,1.1962141241438047
fixed,cond,week14,0.6559394281364959,0.04934488269025318,-5.6054650996799715,2.076964723079519e-8,0.5660173113633011,0.7601473042365499
fixed,cond,week15,0.9213777680472987,0.06652275573986637,-1.1341556842295952,0.25672924930564356,0.7998004457847327,1.0614360068515316
fixed,cond,week16,0.9392264849789593,0.06582421042641029,-0.8946284996779158,0.37098571168208316,0.8186819394660502,1.0775202768748913
fixed,cond,week17,1.084234093258309,0.0758881716847285,1.1554655347293712,0.247899838476935,0.9452472021714368,1.2436572848701848
fixed,cond,week18,1.1362341381055636,0.0802676695107148,1.8079402417458974,0.07061580173054491,0.9893179581705022,1.3049677365444057
fixed,cond,week19,1.3141871889176033,0.09435708603597175,3.8053324141572142,1.4161387189079571e-4,1.1416736170507036,1.512768572139519
fixed,cond,week20,1.445877448264061,0.10200749769718513,5.226269570352771,1.729641372649535e-7,1.259153619993073,1.6602911370020863
fixed,cond,week21,1.3622879209574592,0.09636038864682707,4.370805707804931,1.2378890694498023e-5,1.1859320857265836,1.5648690189957957
fixed,cond,week22,1.1572006854297145,0.08242367025703122,2.049845595731442,0.04037950058811231,1.0064225135521099,1.3305678363977353
fixed,cond,week23,1.067113892960139,0.07638978659366769,0.9074154499398182,0.36418714229366755,0.9274215044253127,1.2278473758856512
fixed,cond,week24,1.060923458259595,0.07607535149471338,0.8247442920526658,0.40951677987430823,0.9218222223093905,1.2210148085448609
fixed,cond,week25,1.0409165949170447,0.07461944159374144,0.5594050157583796,0.5758853390315357,0.9044747716438973,1.1979409393635192
fixed,cond,week26,0.9960679248308895,0.07125824764513043,-0.05507200273398373,0.9560811008654528,0.8657537529905146,1.1459971238354942
fixed,cond,week27,1.036765512852332,0.07420304657208858,0.5044702657625556,0.6139309518548564,0.9010701859764614,1.192895676017893
fixed,cond,week28,1.0439731964260741,0.07456340022410303,0.6025228125812941,0.5468261827001041,0.9075994481156296,1.2008381418905645
fixed,cond,week29,0.992790156540982,0.07088610162192689,-0.1013427129387774,0.9192784106855609,0.8631393454868078,1.1419156131374988
fixed,cond,week30,1.0722643510158494,0.07644159849251231,0.9787171321262013,0.32771976464416946,0.9324376697352844,1.233059190740171
fixed,cond,week31,1.0418779930289943,0.07410718525580766,0.5767711372625866,0.5640940696615164,0.906300465886368,1.1977371668859174
fixed,cond,week32,1.0039169817580602,0.0713561954347237,0.05500073414169404,0.9561378789193345,0.873365998759544,1.1539827605994262
fixed,cond,week33,1.0044791931287567,0.07130330410928531,0.06295935126750694,0.949798873060705,0.8740134344578043,1.1544198403020196
fixed,cond,week34,1.0481218127714294,0.07459088150881005,0.6604229350236442,0.5089824581465425,0.9116643065598444,1.2050042175641043
fixed,cond,week35,0.9559643446881536,0.06808977264413858,-0.6322760439604216,0.5272065145756549,0.8314072075121771,1.0991819893522705
fixed,cond,week36,1.021561433935434,0.0728551891870783,0.29911704356067015,0.7648507423978921,0.8882985195350206,1.1748165063367275
fixed,cond,week37,1.0593207577482537,0.07554734654302087,0.8080553735189011,0.4190587060662194,0.9211333967301707,1.2182388259721855
fixed,cond,week38,1.0345932536572169,0.07366771189963095,0.4776151814992831,0.6329241234770804,0.8998295440577823,1.1895399607420445
fixed,cond,week39,1.1114003675538209,0.07890170712602068,1.4877626124223473,0.1368135087918452,0.9670326519563152,1.2773206514794782
fixed,cond,week40,1.0847605609674393,0.07667246623824321,1.1510695321656212,0.24970363122609276,0.9444298703220941,1.2459426703955088
fixed,cond,week41,0.9863264118176678,0.06936758512902948,-0.19576399593580637,0.8447948918390773,0.8593227443364493,1.1321005955688066
fixed,cond,week42,1.0116148352317176,0.07073495367404228,0.16515212325814502,0.8688242478072301,0.8820572710859794,1.160201960130026
fixed,cond,week43,1.0162767665154966,0.07069322251274877,0.2321088158082742,0.816453497820725,0.8867507639621457,1.1647223866426608
fixed,cond,week44,1.044051653709719,0.07211049020154592,0.6241531022852135,0.5325270427110678,0.9118664854113772,1.1953985293386888
fixed,cond,week45,1.0769613300710246,0.07380291305881778,1.0819311972581935,0.27928310125806116,0.9416039101884381,1.2317766461231414
fixed,cond,week46,1.0493680520046123,0.07107705617165654,0.7114402940763115,0.4768114370244021,0.9189105413199152,1.1983465844087922
fixed,cond,week47,1.0783875815171464,0.07197883983267361,1.1306464091663286,0.2582039458093337,0.9461499315152005,1.2291072875818485
fixed,cond,week48,1.0368647479334374,0.06709480887407417,0.5594479520094247,0.5758560431737453,0.913358846210791,1.1770713230262564
fixed,cond,week49,1.03576812011882,0.06392521717448103,0.569420140688268,0.5690710518543232,0.9177583523024397,1.1689521495097617
fixed,cond,week50,0.9767735606309349,0.05611285802947131,-0.40907901537633473,0.6824816755624912,0.8727599167153621,1.0931833262214263
fixed,cond,week51,1.1129681014860067,0.05814311972981322,2.048762345981974,0.04048535940081675,1.0046497359619846,1.2329650330712252
fixed,cond,week52,1.0807234861546464,0.04581235558325109,1.8313254587520655,0.06705197988418564,0.9945617957857046,1.174349606505406
fixed,cond,week53,1.042569380249317,0.07091561575191765,0.6128814603732327,0.5399547227779031,0.9124439560992897,1.191252246636796
fixed,zi,(Intercept),0.07546982177520191,0.0020281952907154808,-96.15233402672209,0,0.07159750961218443,0.07955156582445502
