effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),0.17357534544746817,0.02381243729561971,-12.764562284625109,2.5860022613193415e-37,0.1326519031832755,0.22712377149675486
fixed,cond,year2020,1.1097744276349246,0.09617423469181823,1.2018866300473505,0.2294074551762701,0.9364156865818468,1.3152270918571134
fixed,cond,year2021,1.2817366667483805,0.11327915418053819,2.8085260707325603,0.004976885256019743,1.0778792274242608,1.5241493119902312
fixed,cond,year2022,1.4036463141167888,0.12337836653653243,3.8575569326063115,1.1452600849454958e-4,1.1815126460993401,1.667542858418117
fixed,cond,year2023,0.7577398701940389,0.06681590782984628,-3.1460847047726728,0.0016547207481862906,0.6374747358790018,0.9006940645105992
fixed,cond,year2024,0.5679727461377201,0.09301494091118984,-3.4541963579388737,5.51935353893613e-4,0.412030296769454,0.7829352425890311
fixed,cond,hour1,0.3826415893584232,0.044721600007049354,-8.219454130900596,2.0443153069350983e-16,0.3043036636935636,0.4811463132898094
fixed,cond,hour2,0.2827051920192764,0.03627242719952351,-9.846481619286342,7.098549991116884e-23,0.21984700758492287,0.36353565360121376
fixed,cond,hour3,0.2182740965542512,0.03143521471594875,-10.568210896994563,4.1840022392099575e-26,0.16459421747159036,0.2894608447274161
fixed,cond,hour4,0.29876129976049964,0.03776244097369121,-9.558084964993524,1.1995572852729958e-21,0.23320361485293548,0.38274841618931094
fixed,cond,hour5,0.5058822265652426,0.054765892338495555,-6.2946869311812,3.0802088426514365e-10,0.40916632753182536,0.6254591591110391
fixed,cond,hour6,3.2254467681229477,0.2385723057389164,15.832636933418403,1.8529038140530612e-56,2.7901669691498476,3.728632361082202
fixed,cond,hour7,7.3301404782983495,0.5060418154544377,28.854534140423056,4.444848553341084e-183,6.40249064673822,8.392196474189532
fixed,cond,hour8,10.385940631297785,0.7029451558361963,34.579946969700295,5.0582891494861856e-262,9.095665729901318,11.859248789479484
fixed,cond,hour9,12.882204020396475,0.8648469673596022,38.070249992558296,0,11.293920962409844,14.693849990226003
fixed,cond,hour10,14.010712156385226,0.9380136456413791,39.42990492181347,0,12.287753261355693,15.975260159758712
fixed,cond,hour11,14.021496455045709,0.9415909976167922,39.32179262085671,0,12.292304182478368,15.993938965413765
fixed,cond,hour12,13.754949140235217,0.9210358575267791,39.148536353288485,0,12.063192477324307,15.683959798047011
fixed,cond,hour13,13.70276001479291,0.9178575284720972,39.07829498717961,0,12.01687859889625,15.62515843675525
fixed,cond,hour14,13.345237244829418,0.8947029385161,38.64929641507609,0,11.701978847360456,15.219251328672
fixed,cond,hour15,12.747409274794489,0.8556340737648478,37.920811563973956,0,11.176026294582247,14.539733437983164
fixed,cond,hour16,12.312326393751933,0.8273571437438346,37.36154094730843,1.6469647697678306e-305,10.79298398134485,14.045548616425473
fixed,cond,hour17,13.558727656518146,0.9085524857306417,38.905860018714314,0,11.889977778815348,15.461685386088817
fixed,cond,hour18,11.976378954938017,0.805004384993201,36.93965707284747,1.0676039384716751e-298,10.498110980881082,13.662805921322443
fixed,cond,hour19,5.209014387361113,0.36578461447191607,23.50265253549765,3.83180647983025e-122,4.539237838948469,5.977618236902238
fixed,cond,hour20,4.641365395252511,0.32780285419634575,21.7342090100135,9.744757275468715e-105,4.041368694552695,5.330439848580021
fixed,cond,hour21,3.6360397065007417,0.26366297320664395,17.80206667325467,6.8108426739858816e-71,3.1543129439820063,4.191335793892433
fixed,cond,hour22,2.0977308034519138,0.16209343676098364,9.587783954930488,8.99971633845484e-22,1.8029209736534408,2.4407473139734384
fixed,cond,hour23,1.0112224239720746,0.08990394345852921,0.12552465094296597,0.900108210746813,0.8495121537856999,1.2037153161223808
fixed,cond,day2,1.062374397868091,0.023375081990573594,2.7499561890936848,0.0059603233125393364,1.0175338893303727,1.1091909302287057
fixed,cond,day3,1.095861445728551,0.02405049479111259,4.17105731511423,3.0318958506753863e-5,1.049722775480285,1.144028057964933
fixed,cond,day4,1.0619758347983759,0.023626064498820425,2.70285588526167,0.006874654593279374,1.0166646492993738,1.1093064704009494
fixed,cond,day5,0.9841247576318025,0.0228292797767557,-0.6898403583581446,0.49029458564962297,0.9403821353825469,1.0299021027126043
