effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),1.0222246318760941,0.19820261529410207,0.11336777495599316,0.9097389868326948,0.6990431356888505,1.494819338987585
fixed,cond,NA,year2020,1.0314576035978147,0.14347701939312982,0.22266482768661425,0.8237963775649293,0.7853227915480947,1.3547356570697353
fixed,cond,NA,year2021,1.345098978644487,0.21214525821718258,1.8797415972082845,0.06014330345298367,0.9874272546304601,1.8323286640771939
fixed,cond,NA,year2022,1.6093937666084952,0.2567519346153209,2.9828098511866523,0.002856153797652853,1.1772462201553344,2.200175504200401
fixed,cond,NA,year2023,0.7261717189205505,0.12437314638917124,-1.8681867798570673,0.06173604084632745,0.519101198105666,1.0158430904886622
fixed,cond,NA,year2024,0.2839113846499383,0.08648639967836651,-4.133261080625838,3.576520594590376e-5,0.15627368570982555,0.5157981266501684
fixed,cond,NA,hour1,0.9750983355976214,0.04657993744051483,-0.5278884691824719,0.5975767483497331,0.8879468331357525,1.0708037109918802
fixed,cond,NA,hour2,0.9536604046034044,0.04540218234056854,-0.9966247018980356,0.31894671119677315,0.8686992861698818,1.046930948128435
fixed,cond,NA,hour3,0.9152034425911514,0.04387025169360775,-1.848522957056735,0.064526726465357,0.8331348908340414,1.0053562160770704
fixed,cond,NA,hour4,0.9417847816895898,0.04525425573425274,-1.2482105309625566,0.21195396839421138,0.8571366813990344,1.0347924599077922
fixed,cond,NA,hour5,1.0579835057305937,0.05007227092485067,1.190937969872762,0.2336779371556418,0.9642579055659611,1.1608192081567832
fixed,cond,NA,hour6,9.076190325367786,0.38771470097652083,51.6331733573847,0,8.347225654483958,9.868815607979695
fixed,cond,NA,hour7,4.179637110775395,0.18288030563630203,32.687057645235726,2.3853328796644348e-234,3.836137764323583,4.553894424813812
fixed,cond,NA,hour8,3.153851981071982,0.14218513929405285,25.47799194955892,3.4573085004831616e-143,2.887131595318982,3.44521265834878
fixed,cond,NA,hour9,3.120946168351238,0.1384956488672142,25.647461765874603,4.5129024418915915e-145,2.860969384314059,3.404547087833165
fixed,cond,NA,hour10,3.01310096462381,0.1334888697266177,24.896152634242952,8.189380020503553e-137,2.762504891738312,3.286429446756235
fixed,cond,NA,hour11,3.0481648916543893,0.13429154828636858,25.297950116259997,3.364525260256192e-141,2.796001987648079,3.3230696000076922
fixed,cond,NA,hour12,3.081593449854263,0.13689231416712114,25.335020163042532,1.314352109191689e-141,2.824637876891332,3.361924113485231
fixed,cond,NA,hour13,3.1238790043674642,0.13845699137219925,25.699923162389364,1.1711960655984702e-145,2.863961221827008,3.4073855328608604
fixed,cond,NA,hour14,2.952413617101755,0.1323930893844393,24.142883401788215,8.869143128277485e-129,2.704004088436797,3.2236438560590632
fixed,cond,NA,hour15,2.6834205171282877,0.12033214562971538,22.012270268388683,2.1971017480937454e-107,2.457641079627387,2.929941939624797
fixed,cond,NA,hour16,2.462525392135644,0.11104422570568444,19.98480204717958,7.468282722818531e-89,2.2542233504839038,2.6900756331936084
fixed,cond,NA,hour17,4.104157736092591,0.17888094013480865,32.3962572135103,3.0988958054613065e-230,3.768115188636241,4.47016873940759
fixed,cond,NA,hour18,9.82567118922269,0.41847072588322803,53.651646922742415,0,9.038782836260774,10.681063597569489
fixed,cond,NA,hour19,1.1727230375109554,0.05517209096001044,3.386641937687501,7.075366598962371e-4,1.069423468960075,1.2860006934823172
fixed,cond,NA,hour20,1.0646082481307453,0.050227591342421336,1.3269959602124288,0.18451001901126887,0.97057843612651,1.1677476850931012
fixed,cond,NA,hour21,1.0218759630550351,0.04859745711374452,0.4550344249971271,0.6490844728474834,0.9309310308306354,1.121705528429885
fixed,cond,NA,hour22,0.9977730366831817,0.04732419925150586,-0.04700516493508418,0.962509111057851,0.9091999945579418,1.0949747455905128
fixed,cond,NA,hour23,0.9770691884010203,0.04645917682741698,-0.4878663191173566,0.6256445326197628,0.8901251832659683,1.0725055496350067
fixed,cond,NA,day2,0.9776684759408072,0.02238872942667702,-0.9862238288585982,0.32402328853449053,0.9347575701776236,1.0225492462893795
fixed,cond,NA,day3,0.9611530866422633,0.022015184707857325,-1.7298245584418241,0.08366162529370004,0.9189583267840937,1.0052852550940512
fixed,cond,NA,day4,0.9975298726690593,0.023093178542590905,-0.10683128989119116,0.914922823773869,0.9532795699198785,1.0438342310753426
fixed,cond,NA,day5,1.0060743925165956,0.023695447890017974,0.25712974172956626,0.7970786186465677,0.9606877913888163,1.0536052319498854
fixed,cond,NA,day6,0.9685458975202365,0.022472880323666927,-1.3774003169961926,0.16838851493627677,0.9254863793474098,1.013608818602767
fixed,cond,NA,day7,1.066778593377396,0.0244263264472656,2.82319347239979,0.004754786891503696,1.0199622388845557,1.1157438225681822
fixed,cond,NA,week2,1.1060833508110226,0.10614630396449068,1.0506361521914271,0.2934257303770909,0.9164346848907234,1.3349782577109914
fixed,cond,NA,week3,1.5560693960799925,0.18586840146133768,3.701739208925584,2.141266483526679e-4,1.2312753163441446,1.9665398414760216
fixed,cond,NA,week4,1.5179866460084939,0.22018568341072656,2.877501693402115,0.004008377588888997,1.142352673583805,2.0171384115827258
fixed,cond,NA,week5,1.0888124579573528,0.1736373582065459,0.533551393093656,0.5936519451264861,0.7965416762352934,1.4883245961545133
fixed,cond,NA,week6,1.203536415441235,0.20425638824857792,1.0916292807003085,0.2749960806453365,0.8629762318762795,1.6784933927366856
fixed,cond,NA,week7,1.245849415644754,0.21798659221557493,1.2563138606412965,0.20900219852246135,0.8841594645143493,1.755498672759143
fixed,cond,NA,week8,1.0057923081950295,0.1794853361572075,0.03236504686417795,0.9741809364381638,0.7089407771171525,1.4269431239911812
fixed,cond,NA,week9,1.1281500922991068,0.20559912813383277,0.661634328066845,0.5082056018095313,0.7892963595778361,1.6124775128004047
fixed,cond,NA,week10,1.2284783594671846,0.2276064071308851,1.1106529532682032,0.26671776022383614,0.8543997050481652,1.7663384839231764
fixed,cond,NA,week11,1.0847299966703912,0.20503607010875058,0.4302769226914336,0.6669942120882372,0.7489058373686701,1.571144337465369
fixed,cond,NA,week12,1.262864990770771,0.2416211103151306,1.2198071041600034,0.2225380076735448,0.86795748449953,1.83744942971953
fixed,cond,NA,week13,1.1440644409312084,0.22065144429907751,0.6978266291198719,0.4852856235731192,0.7839392669889104,1.669623528402429
fixed,cond,NA,week14,1.0847995679493603,0.21062021828794122,0.4192262348973022,0.6750508005174854,0.7414531525699164,1.587140196982508
fixed,cond,NA,week15,0.9378829666890631,0.18125896636471545,-0.33182653513685023,0.740020246323335,0.6421582647372996,1.3697938771609888
fixed,cond,NA,week16,1.0410241255712946,0.20048801913212763,0.20876229137501381,0.8346338098169782,0.7137238222813729,1.5184181838815474
fixed,cond,NA,week17,0.9935273710223818,0.18963855001557775,-0.03402069975888088,0.9728606442336044,0.6834513207741886,1.4442822875117112
fixed,cond,NA,week18,1.15198005519927,0.22230895209637275,0.7331451450502037,0.46346990797652027,0.7891875105917642,1.6815497328155031
