effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),2.4251964740987395,0.3129377931694542,6.865620000359317,6.6203086279722135e-12,1.8832641376493071,3.1230764821563217
fixed,cond,NA,year2020,0.7817619670751058,0.05569889571059815,-3.4556104366425164,5.490482198737957e-4,0.6798736643463973,0.8989196158269714
fixed,cond,NA,year2021,0.886020578648231,0.06477494811760491,-1.655298444475305,0.09786397432521529,0.7677404116421003,1.022523308508745
fixed,cond,NA,year2022,0.8400550788374975,0.06444468434982295,-2.2718920763970547,0.023093029603572943,0.7227830815944207,0.9763545293893077
fixed,cond,NA,year2023,0.6185539427437465,0.04595171936954479,-6.46624986203309,1.004649098764252e-10,0.5347400539100867,0.715504621892729
fixed,cond,NA,year2024,0.48535800652637096,0.07927725297599145,-4.425607626576433,9.617119266388496e-6,0.3523943275587125,0.6684908810287362
fixed,cond,NA,hour1,0.50689450249184,0.019424009024606996,-17.731183873512204,2.4090769828681645e-70,0.4702186542386685,0.5464309727832154
fixed,cond,NA,hour2,0.35547502492876515,0.014724930776717228,-24.969076281075928,1.3254413891347286e-137,0.32775517616971295,0.38553927606829064
fixed,cond,NA,hour3,0.32706761897050696,0.013939930209858809,-26.221577370476492,1.5082740917699886e-151,0.30085590310814864,0.35556299967490773
fixed,cond,NA,hour4,0.36032260643637465,0.01485199458661441,-24.76443734833286,2.1673061182746888e-135,0.33235802656309105,0.39064012400030496
fixed,cond,NA,hour5,0.42273791545496103,0.01683533940533318,-21.619912300708982,1.1669884401497236e-103,0.3909961660684139,0.4570565153110395
fixed,cond,NA,hour6,2.2685023722600914,0.0688051877921545,27.006326390443856,1.2455203473612895e-160,2.1375768039534613,2.4074470697061803
fixed,cond,NA,hour7,3.5245781346506044,0.10332698349795977,42.97159413266221,0,3.3277692881380125,3.733026526670058
fixed,cond,NA,hour8,4.122736311069002,0.11963219910140688,48.815674301151965,0,3.894804592412427,4.364007047675528
fixed,cond,NA,hour9,4.470825951164334,0.13013078653653887,51.451229658427636,0,4.222912996593493,4.733293037703705
fixed,cond,NA,hour10,4.850987809472715,0.1397286262103105,54.82480266897322,0,4.584711775281233,5.132728921919937
fixed,cond,NA,hour11,5.109712506648448,0.14650418543868143,56.89033720324918,0,4.830488621706333,5.405076783179898
fixed,cond,NA,hour12,5.443991591328525,0.15612195657333353,59.08785812572213,0,5.1464388673552115,5.758747982891392
fixed,cond,NA,hour13,5.275369913231813,0.15102283772137032,58.091860476365845,0,4.987521643097216,5.579830968743324
fixed,cond,NA,hour14,5.1847740676451,0.1488621053874727,57.31961701616656,0,4.901067129343492,5.4849038838049955
fixed,cond,NA,hour15,5.093255946418012,0.14560859241974766,56.943064531896574,0,4.8157165654163165,5.38679047725057
fixed,cond,NA,hour16,4.93616484163321,0.14178093507272974,55.58592848747067,0,4.665956476829177,5.222021136453875
fixed,cond,NA,hour17,4.938127839678697,0.14132702890100166,55.80052498053038,0,4.6687575147287115,5.223039852483482
fixed,cond,NA,hour18,3.6306339614378924,0.10562106643007878,44.32227406945336,0,3.429411689807421,3.843663040259367
fixed,cond,NA,hour19,0.6546184661691371,0.023582847916757743,-11.761243487165352,6.18170876544912e-32,0.6099910087185607,0.7025109061031225
fixed,cond,NA,hour20,0.6615504397034433,0.024015477571467388,-11.381500303517525,5.170252334396407e-30,0.6161164533605357,0.7103348431691988
fixed,cond,NA,hour21,0.8349999043987711,0.028719571664931203,-5.242774781545504,1.581795711647263e-7,0.7805659519769393,0.8932298911835644
fixed,cond,NA,hour22,1.048671487903589,0.034813623882528046,1.4315425171124763,0.15227479071194236,0.982610523829286,1.1191737345294153
fixed,cond,NA,hour23,1.3370281839215032,0.042977323824562534,9.035904743588334,1.6265130268217136e-19,1.2553927313475786,1.4239722120117093
fixed,cond,NA,day2,0.9846186135993599,0.014854403087591981,-1.0274718931995954,0.3041983137130538,0.9559307431736137,1.0141674186853222
fixed,cond,NA,day3,1.0226124938906447,0.015379525233961865,1.4867982219339184,0.13706811127983773,0.9929091089806167,1.0532044707847052
fixed,cond,NA,day4,0.995785688707215,0.015097604560705509,-0.2785487303651661,0.7805911630798243,0.9666302641405033,1.0258204968533566
fixed,cond,NA,day5,0.9615899618265761,0.014651893363164071,-2.5705034471030452,0.010155081611755724,0.9332973503956662,0.990740254746929
fixed,cond,NA,day6,0.9207140240280652,0.014116012843385798,-5.387946051192687,7.12674360742495e-8,0.8934587007544491,0.9488007820911373
fixed,cond,NA,day7,0.8278336359113353,0.013061022500969424,-11.975588175996842,4.770423836167706e-33,0.802626255292526,0.8538326826804502
fixed,cond,NA,week2,1.0994914849271642,0.1298116408357298,0.8033511704762164,0.421771789580228,0.8723577461654344,1.3857635021195625
fixed,cond,NA,week3,1.0214541679193938,0.14903528744037736,0.1454868880902617,0.884326467394851,0.7674044433271817,1.3596072139434596
fixed,cond,NA,week4,1.0535008938207702,0.16578011061373132,0.3312050222256322,0.7404896269275996,0.7739071444773603,1.4341050359868193
fixed,cond,NA,week5,1.0053434160737968,0.1636532196238708,0.032737924581481864,0.9738835806469034,0.7307233018219346,1.3831711425143882
fixed,cond,NA,week6,0.7931263666992581,0.1276022779491089,-1.440609495005193,0.14969503644490778,0.5786243083370037,1.0871465724651055
fixed,cond,NA,week7,1.0305221398142428,0.15644066939031587,0.19805126373844806,0.843004955353235,0.7653125108545656,1.3876369007237306
fixed,cond,NA,week8,0.9614613500218023,0.1424415852983741,-0.2652758192951872,0.790796990814024,0.7191597293313347,1.2854000159954024
fixed,cond,NA,week9,0.9545023582598252,0.1430060420122594,-0.3108019725399259,0.7559511700334802,0.7116193722117149,1.2802837970696963
fixed,cond,NA,week10,1.0716602329646003,0.1698363565411687,0.4367062790320751,0.6623243749579095,0.7855231315967739,1.4620265256647702
fixed,cond,NA,week11,1.0434017802771278,0.17669425968467847,0.250887039239426,0.8019014451953477,0.7486957185496154,1.4541117948350244
fixed,cond,NA,week12,1.1530033929858847,0.19053111579175644,0.8615564159302553,0.3889316635252898,0.8340105027980207,1.5940048953543193
fixed,cond,NA,week13,1.059604167748921,0.16691303485881082,0.36753402522166034,0.713220716535772,0.778142306204817,1.4428736021137993
fixed,cond,NA,week14,0.8066314600857933,0.12089784483043457,-1.4337372120207421,0.1516472687373284,0.6013082351454924,1.08206452925546
fixed,cond,NA,week15,0.7491507425413336,0.1113333066392769,-1.9434077831327077,0.051966907621216814,0.5598476553687555,1.0024634910376962
