effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),17.31009044448863,3.8463486057687666,12.831931220249649,1.086223888386259e-37,11.198505486979318,26.75707321345441
fixed,cond,NA,year2020,0.35654421541556497,0.04370709151211764,-8.41289077539254,4.00027434848325e-17,0.2803939055590442,0.45337567980603477
fixed,cond,NA,year2021,0.3445992477155093,0.03888342187847753,-9.441730283500167,3.666736000234392e-21,0.2762279379350628,0.42989366830089076
fixed,cond,NA,year2022,0.2905360707210976,0.03715156676759629,-9.666095317078247,4.201016074675121e-22,0.2261282437317102,0.37328909912821107
fixed,cond,NA,year2023,0.5573282285253361,0.07396337982030854,-4.405079965155711,1.0574486266249937e-5,0.4296823832696773,0.7228938546364405
fixed,cond,NA,year2024,0.08170952580458718,0.022807836049304687,-8.97272441072506,2.8926917837892467e-19,0.047279637200387456,0.1412118832239217
fixed,cond,NA,hour1,1.0362811932047757,0.04774585197503302,0.7735025316461338,0.43922503105559096,0.9468019981476731,1.1342167776270584
fixed,cond,NA,hour2,1.0593096419413075,0.048610825546978584,1.2555779975567496,0.20926901275206497,0.9681931480200456,1.1590010937431137
fixed,cond,NA,hour3,1.0398143835340057,0.047972805023164616,0.8462432361168172,0.39741706681922573,0.949915216651129,1.1382215309866932
fixed,cond,NA,hour4,0.9975716224509296,0.046552422032526186,-0.05210097659399458,0.9584482348153427,0.9103787943598313,1.093115468071901
fixed,cond,NA,hour5,0.9692734401076012,0.044960364983775196,-0.6728056711534763,0.5010709293424939,0.8850397719403073,1.0615240483920183
fixed,cond,NA,hour6,1.0185428745272498,0.04515833648236488,0.4144027925265938,0.6785791441499778,0.9337707372339379,1.1110110285993307
fixed,cond,NA,hour7,1.1936176520377397,0.052710914221806036,4.007839486676253,6.127674242018292e-5,1.094650882736012,1.3015319511688328
fixed,cond,NA,hour8,1.0882240693668659,0.04770281797058824,1.9287363748357178,0.05376359807348136,0.9986320594095305,1.185853802700458
fixed,cond,NA,hour9,1.1401792584618056,0.05008616835749293,2.9863530097815043,0.002823265283172509,1.0461194475045796,1.2426962757719135
fixed,cond,NA,hour10,1.2773958091611501,0.05553305150822256,5.631537987007341,1.7860962419070892e-8,1.173061154641465,1.3910102186967355
fixed,cond,NA,hour11,1.334318374909211,0.0581655278000566,6.616373912718018,3.681165676005012e-11,1.2250503517262965,1.4533325288315495
fixed,cond,NA,hour12,1.4000432509407224,0.0613154921060476,7.6835220502583965,1.547733108015299e-14,1.2848804383180918,1.5255280149415802
fixed,cond,NA,hour13,1.3932721913241943,0.061298801126997766,7.538251723137692,4.76313768691109e-14,1.2781630628387068,1.5187478464649433
fixed,cond,NA,hour14,1.3734219533413683,0.059551016615210325,7.3179977343490314,2.51698112545344e-13,1.2615260785107127,1.4952428602561
fixed,cond,NA,hour15,1.3595643998794356,0.05920055978374091,7.054151556293571,1.736570256650285e-12,1.2483468211690625,1.4806905629707212
fixed,cond,NA,hour16,1.3105423472602566,0.05750416661147498,6.163456991455612,7.117371632598858e-10,1.2025465989387607,1.4282367481460794
fixed,cond,NA,hour17,1.3133894483781798,0.05731608873910487,6.2468432536077065,4.188309910038579e-10,1.205722136769235,1.4306711227292397
fixed,cond,NA,hour18,1.1810867047626976,0.05137216764707952,3.826470961564686,1.2999347610844e-4,1.0845715101604956,1.2861907131976755
fixed,cond,NA,hour19,0.9086481023290092,0.04058496334804829,-2.1447872742160023,0.031969859147049445,0.8324853958995961,0.9917788082923774
fixed,cond,NA,hour20,0.998517753318945,0.044395736119222595,-0.03336238431321798,0.973385605922538,0.9151872792332573,1.0894357103918995
fixed,cond,NA,hour21,0.9140639843850618,0.041201736581351914,-1.9934341765160077,0.04621392461227645,0.8367744405768339,0.9984924575061472
fixed,cond,NA,hour22,0.8330312278342968,0.03753706059683502,-4.054169362993176,5.0312756416230855e-5,0.7626151917119172,0.9099491251798415
fixed,cond,NA,hour23,0.9236408573022457,0.04194835163242066,-1.7489747708610301,0.0802953805340108,0.8449766537728172,1.009628407446388
fixed,cond,NA,day2,0.9716843479245737,0.022362301276657857,-1.2481240348828377,0.21198563766883863,0.9288288402426497,1.0165171785093865
fixed,cond,NA,day3,0.9712114897439871,0.02281375503613614,-1.2435518069377318,0.21366456260081199,0.9275110447224112,1.0169709171420536
fixed,cond,NA,day4,0.9678943230704172,0.02291851368714554,-1.378129673331957,0.16816325547711322,0.9240012663199744,1.013872442364736
fixed,cond,NA,day5,0.9449625994365539,0.022474406652805957,-2.380230412452877,0.01730181578765158,0.901924466813664,0.9900544304874388
fixed,cond,NA,day6,1.1654331055481018,0.027186445335983658,6.562807110875485,5.280413589748538e-11,1.1133484000078235,1.2199544396865782
fixed,cond,NA,day7,1.3072589981062104,0.030457900711128503,11.49971811508052,1.3234694143476392e-30,1.2489051237639923,1.3683394003375005
fixed,cond,NA,week2,0.5506076348583855,0.12401919279568238,-2.6493128944056616,0.00806556193516033,0.3540927907750117,0.8561845241209011
fixed,cond,NA,week3,0.9326116752819574,0.22969451413633651,-0.28326726343126146,0.7769719699751928,0.5755154323599302,1.5112792602375675
fixed,cond,NA,week4,0.6224136511649746,0.159146227344702,-1.8543805275277063,0.06368473865048044,0.3770801186077594,1.0273645680044161
fixed,cond,NA,week5,0.6813188081571765,0.18361292961483391,-1.4238595077755238,0.15448714540842132,0.40174887747646776,1.1554365036798526
fixed,cond,NA,week6,1.5048101919530876,0.4721114861025792,1.302586235742993,0.19271605941653003,0.813635870101199,2.78312915767128
fixed,cond,NA,week7,0.9169631508109609,0.24862529459565463,-0.31971684314724946,0.7491829904572959,0.5389608066579353,1.5600789696732307
fixed,cond,NA,week8,0.6200042458886871,0.16094362167394669,-1.841514297277748,0.06554622736788389,0.37276554110437576,1.0312253213672578
fixed,cond,NA,week9,0.863570903062865,0.22546544550624567,-0.5618064994758527,0.5742478633510698,0.517680743114633,1.4405687569716605
fixed,cond,NA,week10,0.6374029181042538,0.17837518219208848,-1.609285010121405,0.10755403526275953,0.36830532586906317,1.1031132364136822
fixed,cond,NA,week11,0.48870801723671325,0.1606007307320729,-2.1787577533722735,0.02934966887568316,0.2566403839057321,0.9306233199805669
