effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),0.03949964757899314,0.013279865614769789,-9.611668842827072,7.13825158644441e-22,0.02043701434121519,0.07634295953485577
fixed,cond,NA,year2020,1.1473556053128948,0.1902343652876962,0.8290578611228556,0.4070716668246895,0.8290233142000295,1.587922634375139
fixed,cond,NA,year2021,1.8793871625844405,0.2976757078699812,3.9835005162639643,6.790752398435882e-5,1.3778268255970982,2.5635268825285915
fixed,cond,NA,year2022,1.6409001493013524,0.2712223985547886,2.996240493805878,0.0027333077334139935,1.1868288156823157,2.2686955897925634
fixed,cond,NA,year2023,1.208378255243976,0.2000001256999716,1.1436034816840928,0.2527881171127901,0.87361386752093,1.6714226525387577
fixed,cond,NA,year2024,0.8156368923297932,0.3248112843041421,-0.5117291000992557,0.6088406169192833,0.37369962075488566,1.780209299612208
fixed,cond,NA,hour1,1.0437606514986466,0.13717250481165522,0.325899711251907,0.7445002341692146,0.8067422586632008,1.3504143187219573
fixed,cond,NA,hour2,1.1079573974058554,0.1445042028027773,0.786037545685906,0.43184549127530675,0.8580369225784283,1.4306722265254868
fixed,cond,NA,hour3,0.9322343189408835,0.126718958183717,-0.5162281207576332,0.6056950920622646,0.7142018059944599,1.2168280983287156
fixed,cond,NA,hour4,0.8963559178163717,0.12222257908829695,-0.8024476102843459,0.4222940820136585,0.686143469348874,1.170970747804216
fixed,cond,NA,hour5,0.7616697637963137,0.10941162959629892,-1.8952158145315894,0.05806381584316991,0.5747700213623154,1.0093442725257087
fixed,cond,NA,hour6,5.156323573520754,0.5503029984814297,15.36885111359748,2.6482359085141225e-53,4.183084217057334,6.355997492574849
fixed,cond,NA,hour7,2.8942832228636135,0.3246601399737499,9.474102009710581,2.6906496627490093e-21,2.3230538776361316,3.6059755026748834
fixed,cond,NA,hour8,1.084362904516919,0.14350151445909154,0.6120172569364585,0.540526340082619,0.8366215587733635,1.4054657047283892
fixed,cond,NA,hour9,0.5610246877089412,0.0883133273589644,-3.6717772424646005,2.4086958948922583e-4,0.41208864609229406,0.7637888187495023
fixed,cond,NA,hour10,0.2810005359054446,0.05540336069742656,-6.438268566991622,1.2084404063965946e-10,0.19093270659078548,0.41355565837329294
fixed,cond,NA,hour11,0.2591224436381887,0.053005311086388056,-6.601849549995332,4.060594976049492e-11,0.1735344852872268,0.3869227530533294
fixed,cond,NA,hour12,0.2703145656336474,0.05423255697358554,-6.5203844072332835,7.012743337870627e-11,0.18242944743164424,0.4005382103735558
fixed,cond,NA,hour13,0.3253905433904375,0.0599611462598662,-6.092702853782661,1.1102002493007028e-9,0.2267515559542639,0.4669383867393622
fixed,cond,NA,hour14,0.2549406973626846,0.05185025903836609,-6.719998275122016,1.817267128024023e-11,0.17112773305437481,0.37980260716198616
fixed,cond,NA,hour15,0.31081122448556775,0.05838632489913503,-6.220712336603526,4.949027996131548e-10,0.21507864380217112,0.4491548559097006
fixed,cond,NA,hour16,0.2860923994988103,0.05583135959340182,-6.412661314280755,1.4300097897235994e-10,0.19516101411118592,0.4193914518416903
fixed,cond,NA,hour17,0.18494930164314002,0.04275726753961748,-7.300140068883451,2.8746830595224983e-13,0.11756248478123009,0.29096224226579576
fixed,cond,NA,hour18,0.12945104373975913,0.034143205245719746,-7.751366908382509,9.090859460013927e-15,0.07719655348067661,0.21707669539298396
fixed,cond,NA,hour19,0.06844878813187616,0.024437111366852164,-7.511404274575553,5.849643801022693e-14,0.033999747759364665,0.13780209870621762
fixed,cond,NA,hour20,0.05994549440487268,0.022679578094231725,-7.43866471014808,1.0170810561792281e-13,0.02855721150928338,0.12583379502149428
fixed,cond,NA,hour21,0.21324647031599883,0.04637850666221858,-7.1052565344169665,1.2009924685148486e-12,0.13923739726533366,0.3265937025207091
fixed,cond,NA,hour22,0.3867731567390669,0.06693343667452673,-5.489070672841677,4.0405394548438756e-8,0.27551848645784904,0.542952586220703
fixed,cond,NA,hour23,0.5630791426631783,0.08690807490228036,-3.721128434789064,1.983345287210267e-4,0.4160938587360876,0.7619870234696199
fixed,cond,NA,day2,0.9229253779972629,0.0829845722894486,-0.8920330229146218,0.37237523241286,0.773804131121438,1.1007840603240637
fixed,cond,NA,day3,1.0045599117661714,0.08837225496463173,0.051716371833780916,0.9587546918595373,0.8454631721048127,1.1935950016786236
fixed,cond,NA,day4,1.1341791272963337,0.09751731569248231,1.4643915567094101,0.14308699375462422,0.9582854536912522,1.3423581541801464
fixed,cond,NA,day5,1.016272354788382,0.08862662771222789,0.1850915197667172,0.8531572529336138,0.8566016489119489,1.2057057097881991
fixed,cond,NA,day6,0.9158160339441118,0.08149031714516616,-0.9882971980802772,0.3230071172627294,0.7692498036339693,1.0903077310738043
fixed,cond,NA,day7,1.046929064154096,0.09132206907732782,0.5257590057012397,0.5990556607411082,0.8824055048493834,1.2421278645101568
fixed,cond,NA,week2,1.7099236446364616,0.5914259904398868,1.5509740197459438,0.12090791015365215,0.8680891388801846,3.368132072540991
fixed,cond,NA,week3,1.7505109346215668,0.7049780360291424,1.39029092408281,0.16444055274362232,0.7949923963151471,3.854487849736541
fixed,cond,NA,week4,1.0435164171622582,0.4330158780595756,0.10265169384458002,0.9182394137508129,0.4626856985001416,2.3534907528308286
fixed,cond,NA,week5,2.059892149739739,0.8263860008958304,1.8013235116423343,0.07165190411402265,0.9383396766049094,4.521982576620806
fixed,cond,NA,week6,0.6104508782241816,0.27979669822814385,-1.0768267847603157,0.28155765684008094,0.24860354807773158,1.4989740798395885
fixed,cond,NA,week7,1.454139870525305,0.6038266649986449,0.9016679589498847,0.36723327846847653,0.644388259782762,3.2814420979119086
fixed,cond,NA,week8,0.9241832127218382,0.39212333008765293,-0.18582718453121444,0.8525802856454892,0.4023465364390917,2.1228332626796615
fixed,cond,NA,week9,1.056138173837278,0.43429292566399325,0.13282563903174388,0.894331277001799,0.4717365058081137,2.3645145722304104
fixed,cond,NA,week10,1.589359559496599,0.6578778457431167,1.1193564048760647,0.2629881214652575,0.7061344286663856,3.5773129121235168
fixed,cond,NA,week11,1.2465373252548808,0.5067519608900725,0.5420776090471482,0.5877650428941468,0.5619119592888004,2.7653002887147533
fixed,cond,NA,week12,3.360952031166577,1.3227085218522505,3.0802157670078834,0.002068506833704543,1.5540696004418864,7.268656791556068
fixed,cond,NA,week13,1.6160529799087628,0.6825674464754719,1.1364210412017282,0.2557803938213162,0.7062137247120146,3.6980692140144718
fixed,cond,NA,week14,3.4989461708961147,1.3619766930225252,3.2176002303643725,0.0012926785237552525,1.63156419662712,7.503611768471854
fixed,cond,NA,week15,0.918144824027744,0.3692128728238908,-0.21236988922783215,0.8318184749121038,0.4174631708960053,2.0193156586235363
fixed,cond,NA,week16,1.4704757846019652,0.5604777444901273,1.011627844717823,0.31171602718623365,0.6966569820261956,3.103821663872248
fixed,cond,NA,week17,1.4644461774770776,0.5972913999508712,0.9353101893011705,0.3496284657293747,0.6584168987345815,3.257210759397213
fixed,cond,NA,week18,0.6555519140698356,0.2767125820354407,-1.0004062906373112,0.31711392692577317,0.28662203155731364,1.4993554741959592
fixed,cond,NA,week19,1.061282937789921,0.4412553010990914,0.14305439888667906,0.8862472188518508,0.4698103169898606,2.3973962114338025
fixed,cond,NA,week20,1.3267318815407878,0.5246602231734271,0.714923445945399,0.47465634849747895,0.6111852775998421,2.8800063581525217
fixed,cond,NA,week21,1.2694647143756392,0.48599018332312927,0.6232396432670335,0.533127054051524,0.5994520808153977,2.6883561048828857
fixed,cond,NA,week22,1.8440922969517182,0.704028386698962,1.6030047356928887,0.10893360855853507,0.8725999052179295,3.8971771362126764
fixed,cond,NA,week23,1.4081125405275996,0.5630834760586887,0.8558709257671554,0.3920691784248475,0.643064299326404,3.0833323026453363
