effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),0.0425950487622572,0.014316209698905343,-9.390104773270952,5.994060184503388e-21,0.02204296469720671,0.08230917229064844
fixed,cond,year2020,0.5487765902541734,0.08437398902887155,-3.9028734170749964,9.505742251351526e-5,0.4059980786130614,0.7417664316042613
fixed,cond,year2021,0.38265469701801175,0.057430167697814075,-6.400584200401852,1.5478356294511223e-10,0.28513840520587197,0.513521204006969
fixed,cond,year2022,0.43163953606256855,0.06594767403254298,-5.499029300767584,3.818876798302878e-8,0.3199419031483,0.5823328774972918
fixed,cond,year2023,0.2721460125402917,0.042160317287034635,-8.400679748480858,4.4390148970071075e-17,0.20087945926958145,0.36869599515492024
fixed,cond,year2024,0.22402047907250563,0.0838227557999011,-3.9981819089462936,6.38308882454818e-5,0.10759443036308533,0.46642911602878856
fixed,cond,hour1,1.2008981880369258,0.27322349058917506,0.8046458626794525,0.4210240684556786,0.7688546811043596,1.8757204624922121
fixed,cond,hour2,1.383388882594084,0.30616546274214906,1.4663958770805925,0.14254046890234062,0.8965203434891194,2.1346585321609437
fixed,cond,hour3,1.1674898437389014,0.26558196978661447,0.6807420724447929,0.49603470973456554,0.7475164907333309,1.8234146699510512
fixed,cond,hour4,1.198050420471715,0.2720335133173895,0.7957932100349202,0.42615223895482274,0.7677119490266028,1.8696137422536279
fixed,cond,hour5,1.0223747905400322,0.23848350610793434,0.09486299587295256,0.9244236489414593,0.6472249165454699,1.6149721458666095
fixed,cond,hour6,5.019735731029337,0.9315207390524863,8.694092666093148,3.49612273199112e-18,3.4891686571476934,7.221705020694285
fixed,cond,hour7,4.946802963286817,0.9202009703643113,8.594491262142203,8.363449232632458e-18,3.4354582252376926,7.123026377621035
fixed,cond,hour8,6.393122859535019,1.1635492227289035,10.193524640310525,2.1193792764381882e-24,4.475012521747963,9.133386710869896
fixed,cond,hour9,6.113924330846814,1.1157801151650386,9.921023664072958,3.372790845409665e-23,4.275405579399301,8.743046718990485
fixed,cond,hour10,2.9472103339735733,0.5776844714030548,5.514288835014895,3.501930823715993e-8,2.0070888786974885,4.327685158774574
fixed,cond,hour11,1.982626863386563,0.4084875800763238,3.3218996756293526,8.94068342102884e-4,1.3239297492053106,2.969046720025372
fixed,cond,hour12,2.056694716684102,0.42055611977018637,3.526480478115316,4.2112221005751154e-4,1.3775736373150573,3.0706112857100805
fixed,cond,hour13,1.8046107002138059,0.3747538580512995,2.842779820327628,0.004472195404838328,1.2012103167137271,2.7111153925447686
fixed,cond,hour14,2.1739042620935023,0.4379781174192856,3.854280377544774,1.1607052107234744e-4,1.4646983844433812,3.2265071027194647
fixed,cond,hour15,2.7697568266024666,0.5440586883867042,5.186418704260347,2.14376539955503e-7,1.8846970458844183,4.07044352049217
fixed,cond,hour16,2.809276064483841,0.5500818682671581,5.275172232353482,1.326314641630266e-7,1.913909488691883,4.123513704859605
fixed,cond,hour17,2.0469159313585448,0.4188342954839262,3.5008498037729976,4.637771437477302e-4,1.3706592230685064,3.0568245990929337
fixed,cond,hour18,1.3665654283641193,0.2983500489021927,1.4304646917014452,0.1525836926339907,0.8908307177719157,2.0963590867980773
fixed,cond,hour19,0.3611420523962672,0.11437157534603828,-3.2159858362117855,0.0012999724791754553,0.19413664165891167,0.6718133212489369
fixed,cond,hour20,0.9443186057299262,0.22445062819063236,-0.2410400203818219,0.8095240990042465,0.5926529808229852,1.5046539171867552
