effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),1.1504979281708014,0.17926945012760087,0.8997286541399604,0.3682646705874675,0.8477200551391387,1.5614181529633069
fixed,cond,year2020,1.2463516025707937,0.12721058956711678,2.157621120991206,0.03095730119648111,1.0203790208410284,1.5223679490689948
fixed,cond,year2021,1.3940087140091453,0.13732139115836345,3.3721387332737573,7.458686711202918e-4,1.1492515401852794,1.6908920517262422
fixed,cond,year2022,1.3126074752692056,0.11746539066732725,3.0396162253628916,0.0023687978362799387,1.1014397642056035,1.5642601984460234
fixed,cond,year2023,0.9315679995609696,0.08689848745885585,-0.7599121276228811,0.44730711188656913,0.7759126181836217,1.11844931693153
fixed,cond,year2024,0.6324260457927487,0.10593154370433057,-2.735469885534923,0.0062291285720503815,0.4554421756504079,0.8781854750844565
fixed,cond,hour1,0.6717808701408322,0.0909359105857095,-2.938882247977145,0.0032939819395558538,0.5152338222140713,0.8758926879991784
fixed,cond,hour2,0.48610606077730306,0.07160561679687649,-4.896852307187731,9.738397463081746e-7,0.36420441544584015,0.6488089992955246
fixed,cond,hour3,0.4898685928315748,0.07219575010677994,-4.84210074416648,1.28473594611439e-6,0.36697070379762475,0.6539247840752034
fixed,cond,hour4,0.3512545597572476,0.056092056529119735,-6.55169422145288,5.688793649534245e-11,0.25685798607307536,0.48034233872392296
fixed,cond,hour5,0.3493614911133317,0.05887581238155928,-6.240344448248284,4.3660838420327845e-10,0.25108866266356134,0.48609702317174064
fixed,cond,hour6,4.111006037197217,0.458177741974193,12.684153399911125,7.239181389621711e-37,3.30430734368183,5.114648511793912
fixed,cond,hour7,6.195053726480694,0.6768441154890737,16.692523924425743,1.4855554866766319e-62,5.000881558710877,7.674385050598069
fixed,cond,hour8,8.00897028091256,0.8638322130747625,19.28981179927565,6.541097851432039e-83,6.4828759589247715,9.894313167019051
fixed,cond,hour9,8.442345598622227,0.9079794041406283,19.834943003569872,1.4868484592736582e-87,6.837791954513002,10.423423187003397
fixed,cond,hour10,9.527770461592004,1.0152489109834975,21.15501162161051,2.4812824590954615e-99,7.731966383338621,11.74066278461851
fixed,cond,hour11,10.493258502011397,1.114881442777025,22.125087142775836,1.8128741843647696e-108,8.520643995632371,12.922553042525351
fixed,cond,hour12,9.239449430915391,0.9908353374435971,20.73377026534111,1.7178975414572892e-95,7.487960347853691,11.400624712297256
fixed,cond,hour13,9.774048174894295,1.0487099822404782,21.247245030411936,3.495851716934856e-100,7.9203523501875734,12.061586846308934
fixed,cond,hour14,8.97654211515864,0.9585619189165362,20.551673583723613,7.435514171820593e-94,7.281374001179374,11.066360323225446
fixed,cond,hour15,7.974350416518589,0.8557646730026724,19.347126173463753,2.155295697871865e-83,6.461731602535026,9.84105631073919
fixed,cond,hour16,7.595876043752336,0.8219984197030045,18.73658084791426,2.491309916614555e-78,6.1441795087130995,9.390567575415023
fixed,cond,hour17,8.004487655681174,0.8531258507255532,19.515705743840634,8.074638057611897e-85,6.49548636072827,9.864053139627961
fixed,cond,hour18,5.462411946961162,0.5988371718649105,15.487644160864395,4.204157409802668e-54,4.406241765172158,6.771744690486411
fixed,cond,hour19,0.9170432143465737,0.11949942561474886,-0.6645769837171225,0.506321094625648,0.7103463774887886,1.183884768937769
fixed,cond,hour20,1.149167792460129,0.14372992953861163,1.1116544546568812,0.26628674952117737,0.8993341105008225,1.4684049007017823
fixed,cond,hour21,1.447064314683482,0.1768465876275054,3.023771387534592,0.00249645007735816,1.1388381013064772,1.83871186644365
fixed,cond,hour22,1.1627929370718437,0.1456437151755132,1.2041579008086627,0.22852855421567486,0.9096755815447519,1.4863402315451157
fixed,cond,hour23,1.0113948023364512,0.12703085441401205,0.09021019309376282,0.9281201844376917,0.7906969865437602,1.2936933662343948
fixed,cond,day2,0.8715711677639374,0.11335079148858544,-1.0569332198722072,0.29054206603863714,0.675462436750017,1.1246166465338598
fixed,cond,day3,0.8505574190641906,0.11128784278918806,-1.2370990035733056,0.21605032966425436,0.6581600486811363,1.099197565356373
fixed,cond,day4,0.8161127918677757,0.10541741848957502,-1.573139732642615,0.11568646655881401,0.6335783769685691,1.0512355112826977
