effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),0.016532327096146653,0.016665271467948026,-4.06971109794309,4.7071471999648144e-5,0.002292384832091144,0.11922860219095963
fixed,cond,NA,year2020,1.33603152920935,0.23527171972297994,1.645132886237944,0.09994241005778,0.9460678896591498,1.8867358955439961
fixed,cond,NA,year2021,0.6929260069738621,0.12750297965895988,-1.9935806483777867,0.04619790191833703,0.48312569261137334,0.9938334029504221
fixed,cond,NA,year2022,0.3902706265574329,0.0813269000776585,-4.5152518298398565,6.32415680435361e-6,0.259410443723784,0.5871435234724383
fixed,cond,NA,year2023,0.6441983294449316,0.12250040094255955,-2.312525788196704,0.020748725868774215,0.4437675847175932,0.935155026980474
fixed,cond,NA,year2024,1.806152578233139,1.6377102557476702,0.652005125968031,0.5143978656196302,0.30544723583514416,10.680034890277682
fixed,cond,NA,hour1,0.13474842940730009,0.3906650381527009,-0.6913401815835951,0.48935178612364155,4.588862978292613e-4,39.56783916544377
fixed,cond,NA,hour2,0.11441201803552109,0.3545442823406037,-0.699600726691474,0.4841766886104023,2.634730248950709e-4,49.68292247820659
fixed,cond,NA,hour3,0.29601701148898024,0.6097708874241005,-0.5909643593496317,0.5545443015354272,0.0052228908805712435,16.777312238482587
fixed,cond,NA,hour4,0.1004538511678937,0.31438155283103125,-0.7342945495257871,0.46276923907337053,2.177891505298669e-4,46.333695640534145
fixed,cond,NA,hour5,0.2503769922402433,0.5676656567127647,-0.6107801873391724,0.5413451115796202,0.0029424770689908007,21.304715983656443
fixed,cond,NA,hour6,14.519857329557418,14.361364211296927,2.7050443966539364,0.006829526110850146,2.0895472254627974,100.89566500417715
fixed,cond,NA,hour7,9.128078379952091,9.214497354654057,2.1906158098553825,0.028479606093457628,1.262173826436774,66.01453236102472
fixed,cond,NA,hour8,15.448081890149163,15.432027687184023,2.7403326985477277,0.006137702045237015,2.1805076719705054,109.44388646387786
fixed,cond,NA,hour9,24.18943476262489,23.86805045787299,3.228814450341162,0.0012430451751828074,3.497303826184374,167.3085277162414
fixed,cond,NA,hour10,27.856335780314925,27.30325939969348,3.394456000308175,6.876508882377305e-4,4.0796481698403,190.20646163613407
fixed,cond,NA,hour11,20.27901094904184,19.88523973757352,3.069182796915693,0.0021464521132697817,2.967382834275877,138.58619127980236
fixed,cond,NA,hour12,25.892025855352255,25.212537859443355,3.341629892160613,8.328803625326784e-4,3.8397476917288227,174.59402458612786
fixed,cond,NA,hour13,27.31243488294084,26.57211095022859,3.3994877412089815,6.751220615146805e-4,4.057245888432542,183.8609538952735
fixed,cond,NA,hour14,27.149534479388382,26.456148223387608,3.387884875633503,7.043382115641191e-4,4.020685729729334,183.32624631597818
fixed,cond,NA,hour15,20.066732479657723,19.652637355167112,3.062255752910378,0.0021967567147350366,2.943339978028063,136.80844055260243
fixed,cond,NA,hour16,18.724813870055986,18.407841644991098,2.9802998788505657,0.0028796632606871713,2.726622669384779,128.59082351404086
fixed,cond,NA,hour17,16.612323382962632,16.35829677627376,2.853783293144518,0.004320199005990836,2.411265010142175,114.45000322210753
fixed,cond,NA,hour18,8.132460618117053,8.301404381146689,2.0532101427160803,0.04005220114858396,1.0998603906578082,60.13210064385484
fixed,cond,NA,hour19,0.200041037686323,0.5174826162271946,-0.6220742071409616,0.5338930741767527,0.0012564954129825343,31.847642534272556
fixed,cond,NA,hour20,0.15252733697370277,0.4138432098836652,-0.6930502724992267,0.4882780030413895,7.478835108107123e-4,31.107235536013423
fixed,cond,NA,hour21,0.24428443922851406,0.5625240847951568,-0.6120624374053852,0.5404964484932115,0.0026779230722207485,22.284018487395297
fixed,cond,NA,hour22,0.22892243054365216,0.5459585475678478,-0.6182096386878081,0.5364371572075624,0.002136251705848227,24.531509588756528
fixed,cond,NA,hour23,0.08861169219200063,0.3363099066893258,-0.6385469930232732,0.5231176738842689,5.210831970026939e-5,150.68672408351097
fixed,cond,NA,day2,1.9357544177598403,2.2804883135007663,0.5606519580347621,0.5750348238137406,0.1923358581533044,19.482301437987793
fixed,cond,NA,day3,1.4638420544947284,1.8616120536217289,0.29964259943922794,0.7644497866700375,0.12105857746317228,17.700799112390264
fixed,cond,NA,day4,0.40158582551271244,0.7448241320488442,-0.4919018990988493,0.6227886957040407,0.010593725689564713,15.223272716187662
fixed,cond,NA,day5,0.8370905078270664,1.2585923052375572,-0.11827023916767958,0.9058535375709754,0.043950489843549,15.943406337188458
fixed,cond,NA,day6,8.252032276448114,8.390699195778982,2.0755814932499943,0.03793267454908767,1.1247494976306016,60.543291492899186
fixed,cond,NA,day7,0.5684034277997788,0.9746442426405183,-0.3294583192189144,0.74180929341364,0.019728636989870974,16.376319200379353
fixed,cond,NA,week2,0.1311695593915849,0.08356607636732054,-3.1883758817145256,0.0014307441826149874,0.03763100864677343,0.4572147792391887
fixed,cond,NA,week3,0.1986415693659147,0.11731300326626014,-2.736739070718372,0.006205148920688262,0.06242674326874584,0.6320764309341846
fixed,cond,NA,week4,0.20756557793383723,0.12548981274516108,-2.600665356025297,0.00930431665313707,0.06346534716879274,0.678850287045982
fixed,cond,NA,week5,0.23743093491181022,0.13338891361116487,-2.559409375693223,0.010485018932346468,0.07894625027464826,0.7140737990338633
fixed,cond,NA,week6,0.32257108414586355,0.16864632655420211,-2.1640979322786493,0.030456834179280974,0.11577132454655986,0.898772686022013
fixed,cond,NA,week7,0.3303590372380867,0.1680820565923299,-2.176897952077178,0.029488182271152224,0.12187279029240022,0.8955000802314534
