effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),0.9916892725292626,0.16881261080606447,-0.04902534987360588,0.9608990939480047,0.7103589468592679,1.3844375686373283
fixed,cond,year2020,1.1564207671513145,0.1347688274864344,1.2470411303303666,0.21238241674196429,0.9202740684629165,1.453163830784093
fixed,cond,year2021,0.7898824823552177,0.08833944260483062,-2.1090290515551735,0.03494207407451807,0.6344029513352233,0.9834669504902094
fixed,cond,year2022,0.672347244206133,0.0672266629046962,-3.9702794354793327,7.178838668037955e-5,0.5526926394107695,0.8179063453305924
fixed,cond,year2023,0.6878729893966474,0.07145298561245507,-3.601926643250204,3.158675063143739e-4,0.5611635769259202,0.8431930884280177
fixed,cond,year2024,0.5406590825262111,0.08728422033918809,-3.809246928468486,1.3939069659914076e-4,0.39400812951591385,0.741893939795671
fixed,cond,hour1,0.5596825845893961,0.09437203044364476,-3.4420329617243195,5.773598934306027e-4,0.4021746513163098,0.7788770238686679
fixed,cond,hour2,0.46761105625057364,0.08380001283625316,-4.241524054731178,2.2200709025387004e-5,0.32911067574015174,0.6643968611350046
fixed,cond,hour3,0.42218548385929344,0.07724248722185932,-4.713144279495393,2.4392335776607264e-6,0.29496372514453983,0.604279670980434
fixed,cond,hour4,0.42300784803430425,0.07817736770320516,-4.655323735937496,3.2347203863820557e-6,0.2944660815792171,0.607661291714767
fixed,cond,hour5,0.5926602730766378,0.0991735168354511,-3.1262449221795885,0.0017705402665391156,0.42694210476830996,0.8227021775561042
fixed,cond,hour6,13.98489261472457,1.6873182021497963,21.864183104649467,5.697606810682224e-106,11.039748502939782,17.715731603242357
fixed,cond,hour7,24.848428056260232,2.976403063353958,26.821936117440277,1.793052569587472e-158,19.64897953015331,31.423737600195018
fixed,cond,hour8,35.733887218911626,4.27281226734159,29.90721960275901,1.5853098431739389e-196,28.26828367803025,45.17114340289058
fixed,cond,hour9,50.45716799904677,6.009312054388458,32.92371104948521,1.006407980917745e-237,39.952786346027224,63.723360379273956
fixed,cond,hour10,70.75870871455808,8.405099602447137,35.856903214507994,1.4355575858810988e-281,56.062131540252444,89.3079645991843
fixed,cond,hour11,95.02310878102317,11.286390888910487,38.34234124059519,0,75.28831578998667,119.93084328778502
fixed,cond,hour12,116.34233521307397,13.773070708418532,40.1788849455243,0,92.25058638357326,146.72577696743505
fixed,cond,hour13,129.05924491296344,15.254868164096218,41.118872421150776,0,102.3709340778909,162.70525269243927
fixed,cond,hour14,130.92332561185785,15.499935119033655,41.1743913585061,0,103.81109712626441,165.11642458050724
fixed,cond,hour15,127.33684610041618,15.068628548702296,40.95799401617797,0,100.97774421849603,160.57669440224083
fixed,cond,hour16,101.882260028093,12.05340315449104,39.0831539239635,0,80.7970145196649,128.47003036115404
fixed,cond,hour17,58.154395340216816,6.911171368351209,34.189169412180355,3.5028513657386605e-256,46.070639972885715,73.40756931912877
fixed,cond,hour18,20.568330309369866,2.4727373472307326,25.151697111855828,1.3540537042760022e-139,16.250512568535278,26.03340724984128
fixed,cond,hour19,1.6970974571991686,0.23818139484892395,3.768673000864042,1.6411771989147805e-4,1.288972858169767,2.234445637064414
fixed,cond,hour20,1.469024484363475,0.21329391978461804,2.6488551964146834,0.008076492851309063,1.1051963906293192,1.9526239444471496
fixed,cond,hour21,0.9666909665909976,0.1474156995368048,-0.22214746211865008,0.8241990913542555,0.716941201837843,1.303442210453403
fixed,cond,hour22,0.6883482136693817,0.11431218572680672,-2.2488488717060005,0.02452211282892914,0.49710871605339224,0.9531582286940581
fixed,cond,hour23,0.572114571090263,0.09815382654552496,-3.2548698962207943,0.0011344432254211847,0.4087409204385923,0.800788631836949
fixed,cond,day2,0.7308968844194068,0.11957313973460712,-1.9161800739801504,0.05534217876079744,0.5303974049118142,1.007188667793002
fixed,cond,day3,0.7437835973037843,0.1192556880223801,-1.8461490530089757,0.06487056604574148,0.5432101633097711,1.0184162171183124
fixed,cond,day4,0.7530086506353466,0.12135876849775565,-1.7601728708900612,0.07837850030352349,0.5490550906803973,1.0327233779564877
fixed,cond,day5,0.8397025393217934,0.13599601585861187,-1.0787256450289473,0.2807100499006702,0.6113178854627422,1.1534103145203027
