effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),0.5407859315504744,0.21328519958447453,-1.5586561695680177,0.11907778093386663,0.24963915920680566,1.1714885785232274
fixed,cond,NA,year2020,0.3253520585437574,0.05847843944342409,-6.247101067029767,4.1814051573445737e-10,0.22874914628392695,0.46275128768031765
fixed,cond,NA,year2021,0.21890355318426316,0.04960431450774952,-6.703885618620854,2.0294914545507346e-11,0.1404001428481867,0.3413014020114611
fixed,cond,NA,year2022,0.25280933770414,0.06262504398573418,-5.551183256851339,2.8374244638110995e-8,0.15557379466284374,0.41081829603061276
fixed,cond,NA,year2023,0.35213929167204977,0.08374460571217181,-4.388793759663432,1.1398109660983194e-5,0.22094518463789806,0.5612345928358524
fixed,cond,NA,year2024,0.8585558786856011,1.1472070960110479,-0.11413177901384938,0.9091333308025186,0.06257320121282747,11.780094074434151
fixed,cond,NA,hour1,0.5751099094479559,0.15278617707096734,-2.082304959582846,0.03731462319019961,0.3416779717786886,0.9680208713000386
fixed,cond,NA,hour2,0.7816092854103852,0.18849563134207417,-1.0217147194575675,0.3069159423596178,0.48720413574940813,1.2539160286479056
fixed,cond,NA,hour3,0.8877669012877972,0.21312702925799698,-0.49587872619091344,0.6199799763966164,0.5545621178017847,1.4211754566759573
fixed,cond,NA,hour4,0.950530409906685,0.2267547911997269,-0.21267589511337684,0.8315797695517939,0.5955342284222517,1.5171387588435241
fixed,cond,NA,hour5,0.7310285436257051,0.18067419859094727,-1.2676589760667751,0.204919760935804,0.45035946861361253,1.1866137360021007
fixed,cond,NA,hour6,13.137054610788603,2.6069050693509865,12.978475789588058,1.620738368653505e-38,8.904024609453119,19.38249403125156
fixed,cond,NA,hour7,10.471655543238123,2.1165290472390654,11.620197517835125,3.2538312279132123e-31,7.046454505689041,15.561807676143792
fixed,cond,NA,hour8,10.767117542858294,2.271936595829949,11.262647304368592,2.0063931165549915e-29,7.120164307186664,16.28204282655574
fixed,cond,NA,hour9,11.315652817296424,2.312430679202577,11.872308084757206,1.6485570136419402e-32,7.581074850832813,16.889953100452807
fixed,cond,NA,hour10,11.743374141545287,2.3722400841479443,12.194097316488923,3.3418664763804604e-34,7.903955662563048,17.447825129068967
fixed,cond,NA,hour11,14.602648391710412,2.9189476703901382,13.413280321359215,5.055236990623332e-41,9.869236045504,21.606266084705155
fixed,cond,NA,hour12,16.519104025917873,3.2811100409080876,14.119647393072876,2.874258639937881e-45,11.192224857588203,24.381282657494673
fixed,cond,NA,hour13,13.758220412419703,2.726377083204001,13.229663990012645,5.915121510796179e-40,9.330076129895486,20.2880047580965
fixed,cond,NA,hour14,12.26862027201769,2.4416994136248866,12.59695626229212,2.1945076327535586e-36,8.305957226234334,18.121817784414976
fixed,cond,NA,hour15,10.608053206825623,2.107714340381501,11.885918619352088,1.400864047472537e-32,7.186384248741561,15.658888941062278
fixed,cond,NA,hour16,10.136715918706154,2.017806646812356,11.635553512591848,2.718210545016275e-31,6.862111495150521,14.973963872368826
fixed,cond,NA,hour17,11.412871571998867,2.266600409712248,12.259503438645787,1.494126482462264e-34,7.73296414990369,16.843946899787724
fixed,cond,NA,hour18,11.706281195153998,2.322502687174645,12.399951847869456,2.614806782778018e-35,7.93491492469913,17.270130898752164
fixed,cond,NA,hour19,0.6122411644856002,0.15707437692803128,-1.9123633340246435,0.055829607502401395,0.3702894508685609,1.012287124603336
fixed,cond,NA,hour20,0.8854732887058867,0.21936373861696803,-0.4909779623074872,0.6234420344050262,0.5448815167854212,1.4389604360912631
fixed,cond,NA,hour21,0.7534472483465252,0.19235710471704923,-1.108865241121714,0.26748832059287575,0.4568133765546668,1.242701692149367
fixed,cond,NA,hour22,0.7332067199799247,0.18370587636378263,-1.238579214740445,0.21550136948648133,0.4487007622189092,1.1981082705659476
fixed,cond,NA,hour23,0.7119780799116169,0.17553256404285972,-1.3778911110985461,0.16823690977833064,0.43914669160795944,1.154313116691245
fixed,cond,NA,day2,0.7750064707765238,0.19437520686507598,-1.0162647551376165,0.30950332736256997,0.4740455184595782,1.2670408354397278
fixed,cond,NA,day3,1.045135598832129,0.2535645451884881,0.18196243285458022,0.8556122079019575,0.6496197434177775,1.6814581622771236
fixed,cond,NA,day4,0.9750075447655708,0.2330594767904276,-0.10588502706129775,0.9156735739525471,0.6102984722696523,1.5576635950184043
fixed,cond,NA,day5,0.9615880832656755,0.23074593040991775,-0.16322951963169996,0.8703377245872224,0.6008026919066219,1.539027128763709
fixed,cond,NA,day6,1.2361443457223213,0.28481777762581617,0.9200937670621854,0.3575237612445534,0.7869468155437584,1.9417485569281119
fixed,cond,NA,day7,0.8857791764661493,0.22900991257227804,-0.469123915366254,0.638981065603321,0.5336484804452358,1.4702651243500873
fixed,cond,NA,week2,0.7432320552109639,0.26118009157990923,-0.8444435884159638,0.3984215737354693,0.3732524353141587,1.479947176843401
