effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),4.458353967199003,0.46177418644502233,14.43185197267026,3.262029913086366e-47,3.6392451578971614,5.461824975903636
fixed,cond,year2020,1.0075705719334411,0.0655727279065762,0.11588898177908151,0.9077405281229005,0.8869093809740882,1.1446473328665145
fixed,cond,year2021,0.7769598250076499,0.06877646958981969,-2.8509566993804816,0.00435879048009384,0.6532060789524851,0.924159448491338
fixed,cond,year2022,0.7789785151205082,0.0717375128466819,-2.712205493770905,0.006683714403035265,0.6503345393461428,0.9330698130064661
fixed,cond,year2023,0.6911149172451246,0.07326022272765279,-3.485272340653097,4.916363798317072e-4,0.5614620267745736,0.8507072714830408
fixed,cond,year2024,0.7241760471976931,0.12316873563929767,-1.8974510127936708,0.05776843834565428,0.5188845872820506,1.0106890052022495
fixed,cond,hour1,0.5366817831013431,0.03601559715203652,-9.273867530346264,1.7951584552856493e-20,0.47053777070720687,0.6121237321287492
fixed,cond,hour2,0.4405381188371968,0.031741042823333454,-11.377533569350737,5.41084034087635e-30,0.382519780111639,0.5073563361663949
fixed,cond,hour3,0.45146068103335124,0.0327316887006779,-10.96893540999569,5.390330387463389e-28,0.391657396148685,0.5203955000551612
fixed,cond,hour4,0.5758446476201237,0.03809744316937835,-8.342256943006692,7.288586965596396e-17,0.5058135845057967,0.65557167373575
fixed,cond,hour5,1.4731736015865127,0.08359971372838612,6.827002126718845,8.670741075227342e-12,1.318104701655557,1.6464856378143
fixed,cond,hour6,14.133247565622016,0.6913460605538069,54.144128942900224,0,12.841162545586679,15.555342909338952
fixed,cond,hour7,23.195476203885868,1.1371423260149152,64.13057041141593,0,21.070445621929558,25.53482379912592
fixed,cond,hour8,24.757187187306343,1.2086518153565622,65.7333075615766,0,22.498078971775186,27.243140100817403
fixed,cond,hour9,25.86307640707558,1.2688341085669896,66.30325959707591,0,23.492028132502647,28.4734343695412
fixed,cond,hour10,26.18939562117721,1.2731117475223048,67.17215762568098,0,23.809325879611976,28.807386083528794
fixed,cond,hour11,26.559306086588865,1.3031451252657966,66.83680947312303,0,24.124155045205963,29.240267212645666
fixed,cond,hour12,26.40830299326148,1.2845669952162437,67.30072717739876,0,24.006889148612544,29.049930737244594
fixed,cond,hour13,26.28102369880474,1.2819012411024637,67.01658955267057,0,23.884903305907606,28.9175215746552
fixed,cond,hour14,25.48285742439616,1.2393088767331872,66.58037070248218,0,23.16602944029016,28.031390713106546
fixed,cond,hour15,25.279906952233034,1.2362110264969046,66.05211221065198,0,22.96946722023014,27.822747884665866
fixed,cond,hour16,26.31679937343961,1.2818260898475624,67.13968082677982,0,23.9206596348992,28.952961157117777
fixed,cond,hour17,31.852418330544733,1.5435636791798626,71.42227460976866,0,28.966318700630055,35.02607852899008
fixed,cond,hour18,24.19012530514835,1.1897443302881767,64.77727594130238,0,21.967135219199815,26.638073487494736
fixed,cond,hour19,4.051220924799511,0.20915118335944627,27.0987336262383,1.0190617897272095e-161,3.661349583839543,4.482606920129773
fixed,cond,hour20,2.5788305973877947,0.13600700382012385,17.962451165590583,3.8349261990010547e-72,2.3255764306101994,2.8596640224284195
fixed,cond,hour21,2.0052101660473696,0.11041867874699682,12.634843447475298,1.3566389028475791e-36,1.80006309787035,2.2337371477570964
fixed,cond,hour22,1.2626346510384194,0.07241135152909953,4.06631093841674,4.776319959053198e-5,1.1283966753519128,1.4128420411250453
fixed,cond,hour23,0.8332092554183719,0.05168178280330154,-2.941773077739156,0.0032633896873243235,0.7378299639253327,0.9409182294812486
fixed,cond,day2,0.719642502784925,0.04629409975093328,-5.1143212342828654,3.1487112133544617e-7,0.6343947851195846,0.8163455059248768
fixed,cond,day3,0.7435162287719451,0.047492306588467474,-4.6397399778007085,3.4884782920674464e-6,0.6560239823674517,0.8426770930725094
fixed,cond,day4,0.7449746622907535,0.04749590173104877,-4.617752495381514,3.879185344175865e-6,0.657465698270905,0.8441311066338595
fixed,cond,day5,0.7698886154100646,0.04922316321744875,-4.090211188183223,4.309805789596723e-5,0.6792129490235909,0.8726695817417923
fixed,cond,day6,0.6925030936146468,0.044778574955714204,-5.682519356794882,1.3272488605403043e-8,0.6100724278192706,0.7860714774146825
fixed,cond,day7,0.5314178045061775,0.034829654098690044,-9.645973442939692,5.112381372306488e-22,0.46735565373756727,0.604261188856279
fixed,cond,week2,1.0453386762241046,0.03210040181501718,1.4439471536681106,0.14875384119750285,0.9842789711806108,1.1101862175306514
fixed,cond,week3,1.0930455063164797,0.044840069641903235,2.168727689187217,0.030103363918170326,1.0086009026848128,1.1845601919434408
fixed,cond,week4,1.133553239873274,0.060015653036793265,2.3676992066466984,0.01789908132249226,1.021822119295817,1.2575015977464918
fixed,cond,week5,1.2024036262244249,0.0714585777016254,3.10151895032175,0.0019253054873329758,1.0701965845372283,1.3509429026843929
fixed,cond,week6,1.0754214464462086,0.06866875687435708,1.1387525141165327,0.25480639277807965,0.9489143686315096,1.2187941564678422
fixed,cond,week7,1.0619950050935902,0.07043382755256304,0.9069245971195108,0.36444667279840376,0.9325431347454375,1.2094168610780747
fixed,cond,week8,1.1136916763577656,0.07609074317037569,1.5760483329543225,0.11501466483934482,0.9741107606536104,1.273273225270959
fixed,cond,week9,1.1877587783280004,0.08360033345010702,2.444672757995524,0.01449836254363449,1.0347048316201914,1.3634525251865013
fixed,cond,week10,1.0085247968589546,0.07309546482152322,0.11712122148614099,0.9067639931558964,0.8749707381743074,1.1624643219517239
fixed,cond,week11,1.017850843074969,0.0764188675091163,0.2356647029330696,0.8136928614667494,0.8785714324839169,1.1792101364135705
fixed,cond,week12,1.103840656009828,0.08439553943732553,1.29218445882945,0.19629327241906305,0.9502255211824572,1.2822894846519748
fixed,cond,week13,1.0798607501302029,0.08375406074463028,0.9906142577697578,0.3218739729676797,0.9275738921998965,1.2571496993152376
fixed,cond,week14,0.8849169569917642,0.0696091591245444,-1.5542674465834734,0.12012063515963703,0.7584823396038534,1.0324274935400033
fixed,cond,week15,0.9042847466544814,0.0715227129570826,-1.2720571335474473,0.20335282026626483,0.7744279328450845,1.0559160747570009
fixed,cond,week16,0.8883827350748527,0.07048396944765796,-1.491721108567392,0.13577227304094974,0.7604419781131808,1.037848917727174
fixed,cond,week17,0.9587887134453484,0.07624947471376212,-0.5291864608422439,0.5966761078806005,0.8204072889993023,1.120511493933068
