effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),55.07861322327541,8.475380277863927,26.051577239736794,1.2911106303017533e-149,40.73820670305463,74.4670391780328
fixed,cond,NA,year2020,1.7433077172906029,NA,NA,NA,NA,NA
fixed,cond,NA,year2021,1.3724170068171793,0.12668509055225363,3.429533412684471,6.04619984697894e-4,1.1452844542152052,1.6445944356170403
fixed,cond,NA,year2022,1.7189993075849135,NA,NA,NA,NA,NA
fixed,cond,NA,year2023,2.1393913417628343,NA,NA,NA,NA,NA
fixed,cond,NA,year2024,3.0503830726154475,NA,NA,NA,NA,NA
fixed,cond,NA,hour1,0.6509367299040322,0.032144234968450314,-8.694405650734968,3.4864997398077164e-18,0.5908879930283186,0.717087893708221
fixed,cond,NA,hour2,0.41518184734335073,0.020784921278155465,-17.55892617204594,5.082767686056026e-69,0.37637894936879385,0.457985141444601
fixed,cond,NA,hour3,0.3260497454507304,0.016551830716523972,-22.076451192387417,5.322787710316249e-108,0.29517042461138754,0.36015951343515723
fixed,cond,NA,hour4,0.3792441088000323,0.019259790641361,-19.091883576110774,2.9494057806874968e-81,0.3433134714943339,0.41893518897904486
fixed,cond,NA,hour5,0.5407708517161918,0.026625983336780838,-12.48570231475664,8.93513952074403e-36,0.4910238499463808,0.5955578615942765
fixed,cond,NA,hour6,2.916242764030592,0.13796022448408948,22.62422492450286,2.5032302107741284e-113,2.6580028164371807,3.1995721773388808
fixed,cond,NA,hour7,4.055029902076724,0.19229431707750863,29.521786644466257,1.5124720336309726e-191,3.6951245069850605,4.449990108764376
fixed,cond,NA,hour8,4.011142850717041,0.1914177528575424,29.107974517168277,2.8455510231598206e-186,3.65298185241479,4.404420174773844
fixed,cond,NA,hour9,4.165248734125609,0.19930233057614605,29.818401447441953,2.25583929929427e-195,3.792380741809906,4.5747772173463455
fixed,cond,NA,hour10,4.228872103184688,0.20080047834786832,30.367258481366047,1.486994719899862e-202,3.8530687460855786,4.6413288844798855
fixed,cond,NA,hour11,4.017347517105108,0.19237138200827159,29.040760799170403,2.0130970061905577e-185,3.6574590153462316,4.412648509654668
fixed,cond,NA,hour12,3.90287733825633,0.18418455766520234,28.85476944384763,4.414736120677782e-183,3.558074240060535,4.2810943476029495
fixed,cond,NA,hour13,3.9618717249144857,0.19229052586876916,28.36527921919206,5.423995111024008e-177,3.602359993000069,4.357262348898338
fixed,cond,NA,hour14,3.9672640030974327,0.19089512553108562,28.63977813511796,2.149139458681653e-180,3.6102173343725776,4.359622209006979
fixed,cond,NA,hour15,4.368587917032724,0.21118481535132047,30.500393679155863,2.5747402541675125e-204,3.9736771594378792,4.802745573710381
fixed,cond,NA,hour16,5.117611045523413,0.2469063522397434,33.84060686768601,4.9888110370425765e-251,4.655859411075543,5.625157570471644
fixed,cond,NA,hour17,6.092971755560985,0.29115159915476513,37.8181959042848,0,5.5482324327578265,6.691194946137244
fixed,cond,NA,hour18,5.693559366800767,0.2709130744912059,36.55419923118958,1.5292417504748768e-292,5.186586947034396,6.250086732243067
fixed,cond,NA,hour19,2.3106054176376807,0.11153654060719034,17.349956817047968,1.9739255092740735e-67,2.1020205441488224,2.539888304554367
fixed,cond,NA,hour20,2.2544683744726792,0.10701703907102461,17.12521062797579,9.626044275285435e-66,2.054180405662055,2.474284944734136
fixed,cond,NA,hour21,2.0142633985702414,0.09851503988705462,14.317561424799981,1.6998387204848314e-46,1.8301432534570734,2.216906808336304
fixed,cond,NA,hour22,1.7770889491135935,0.08441243948354489,12.104668158837379,9.977203633326067e-34,1.619111474929109,1.9504803603469785
fixed,cond,NA,hour23,1.273737725182349,0.06169095429816056,4.995676702007233,5.86298113286179e-7,1.15838721976197,1.4005746652540625
fixed,cond,NA,day2,0.8738529717095114,0.042254912308934106,-2.788624421890858,0.005293241062914998,0.7948382501252153,0.9607225319682927
fixed,cond,NA,day3,0.8652695734235982,0.04227917906920247,-2.9616651800992195,0.003059803190597209,0.7862481769854014,0.9522329674114551
