effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),0.16149285640758837,0.05223684811782985,-5.63680670836004,1.732323663910964e-8,0.08566861016419669,0.3044282219671341
fixed,cond,year2020,0.47241994564226053,0.09124555278006802,-3.88250772250651,1.033847319615782e-4,0.3235362138929452,0.6898164578092163
fixed,cond,year2021,0.8491494544935602,0.16478732240867777,-0.8426193114680316,0.39944138713553784,0.5804951303204933,1.242137545010264
fixed,cond,year2022,1.8261019099958142,0.3443021243743866,3.193847868133114,0.0014039007933027222,1.2619302093757905,2.6424981040273474
fixed,cond,year2023,0.8747762316443298,0.16666211120921598,-0.7022221627799035,0.4825406262288715,0.6021799703036573,1.270772016983519
fixed,cond,year2024,0.40144377487437755,0.13950393190237811,-2.6263978938593886,0.008629387816268576,0.20315498526382536,0.7932717190085428
fixed,cond,hour1,0.31078370693351703,0.11042239759450626,-3.2891867923689406,0.0010047731672892912,0.15489012911697886,0.6235808120631912
fixed,cond,hour2,0.5496719057214114,0.15649537309389266,-2.101929235428667,0.03555947512340822,0.31460136673308126,0.9603874486526108
fixed,cond,hour3,0.49823194234924056,0.14370235337211465,-2.4154997179284043,0.01571363466094219,0.28308971727372456,0.876877728967718
fixed,cond,hour4,0.75578614620086,0.19832729949714828,-1.0670125430227184,0.28596617198853524,0.4518907890569722,1.2640503250380084
fixed,cond,hour5,0.887709864857947,0.23217653558664875,-0.4554095191100136,0.6488146482570081,0.5316711542564204,1.482173328113368
fixed,cond,hour6,2.1419092172424863,0.5187353101522312,3.145124410195037,0.0016601621410117639,1.3324594330067243,3.443088007982279
fixed,cond,hour7,4.731900120918858,1.0820297671300776,6.7973355073749175,1.0657171803863295e-11,3.022691332596685,7.407596836927674
fixed,cond,hour8,8.842095058136941,1.9573883905869665,9.845545790166772,7.164927213863595e-23,5.729587612346203,13.645422726176765
fixed,cond,hour9,11.54537836111579,2.511275890012198,11.246589233245427,2.4072167688094638e-29,7.538072774449392,17.68300273687091
fixed,cond,hour10,11.738769652855945,2.5386157348389835,11.388639987677836,4.763667730413588e-30,7.683206447651491,17.935052754560868
fixed,cond,hour11,13.231067036759217,2.8469598941517384,12.002320608426837,3.454720252695621e-33,8.6784032588345,20.172044293171837
fixed,cond,hour12,11.897817302810648,2.5745271400575365,11.444128311007944,2.516208845497543e-30,7.785361197173497,18.182593329446757
fixed,cond,hour13,11.421463382163278,2.466997505509493,11.275613103597909,1.731680366399168e-29,7.479371308094994,17.441282216983872
fixed,cond,hour14,9.647678270583583,2.1046619725754376,10.390532757809494,2.7381931222471556e-25,6.291168923146712,14.794976442332615
fixed,cond,hour15,7.823876039112163,1.7137239005320961,9.391899127369177,5.8927999679508456e-21,5.093035731449451,12.018968549033234
fixed,cond,hour16,8.677369160728672,1.9157272053188996,9.787067321473119,1.2795327848533293e-22,5.629449327560632,13.375506407514427
fixed,cond,hour17,10.512775767145959,2.2978031121183533,10.763439316853093,5.122205512885281e-27,6.849647118372448,16.13491212326157
fixed,cond,hour18,8.889702489103186,1.9467766365128643,9.97703257809341,1.9212674150666977e-23,5.787361619578725,13.65506694404901
fixed,cond,hour19,5.554892509965272,1.2572153936221824,7.576154401708203,3.559481610342503e-14,3.5647313394773095,8.656144841982051
fixed,cond,hour20,4.795405005715536,1.0891383649081543,6.902296414131815,5.116852493094669e-12,3.0725526698107224,7.4843010486971515
fixed,cond,hour21,1.3168108739393263,0.32905760500721515,1.1013367073298266,0.27075014083337107,0.8068946229577572,2.1489681903799607
fixed,cond,hour22,1.1585435669894748,0.293323000629339,0.5812552150972896,0.5610684593569067,0.7053472915348107,1.9029252861977617
fixed,cond,hour23,0.9840028649402299,0.25656299918085124,-0.061850279015230665,0.9506820632363672,0.5902815146687844,1.640338743716015
fixed,cond,day2,0.8287417398799064,0.23056235669135636,-0.6752030424531876,0.49954677393502334,0.4804059362669045,1.4296510920664276
fixed,cond,day3,0.9065692790141505,0.23239189790364873,-0.3826441945212581,0.7019835971061283,0.5485322715318504,1.4983035644503828
fixed,cond,day4,0.9172514557259934,0.23587467983309596,-0.33588317623265407,0.7369589642064363,0.5541134788985045,1.5183717145880187
fixed,cond,day5,0.5897088648059162,0.17230987383032423,-1.8074458636451602,0.07069278839320198,0.33259902917536127,1.0455729413669739
fixed,cond,day6,0.5867708892453251,0.1672798834656694,-1.870038314242793,0.06147849748001898,0.33558560691401995,1.025967947886282
fixed,cond,day7,0.25692616039789457,0.0884127135583411,-3.9491385739720317,7.843293886694465e-5,0.13088661203693105,0.5043376925225853
fixed,cond,week2,1.6860489957045999,0.3295316114613056,2.6727985916204666,0.007522139788262192,1.1494926903334166,2.4730572363117256
fixed,cond,week3,1.1373815777828014,0.2785954929173131,0.5255423103267246,0.5992062486313436,0.7037346826881264,1.8382451303071483
fixed,cond,week4,1.4373855655593537,0.38629917562318333,1.350043493011099,0.17700203217670166,0.8488125570077595,2.4340795232362424
fixed,cond,week5,0.7617910342615102,0.21339626140223364,-0.9712934245510463,0.33140218224485535,0.4399400804128474,1.3191014088478454
fixed,cond,week6,0.9965783790145032,0.28464028799370467,-0.012000270856282153,0.9904253989596699,0.5693683872813897,1.7443336997709662
fixed,cond,week7,1.3822727161867088,0.4009176690835346,1.1161439227207413,0.26436053368473283,0.782905265518458,2.440496885212397
fixed,cond,week8,1.4365774823095816,0.4263281653247452,1.2207019877061667,0.22219887490476384,0.803009894081169,2.5700242025540105
fixed,cond,week9,1.9818109879007029,0.5944778838378351,2.280287770737215,0.02259062663175234,1.1008543532463482,3.5677515197008542
fixed,cond,week10,1.1469813778506441,0.3490696121544529,0.45059690919851836,0.6522800946809904,0.6316895510904027,2.082615232221703
fixed,cond,week11,0.8296911544896639,0.2557190703515308,-0.6057615909300852,0.5446730783689734,0.4534899572006266,1.5179771920149594
fixed,cond,week12,0.9333986007840489,0.2866060232299023,-0.22446346120810545,0.8223966952711864,0.5113288013318129,1.7038605016505957
fixed,cond,week13,1.516071851835979,0.4634009274269047,1.3613953865840758,0.17338877326175048,0.8328032593223518,2.7599241888169757
fixed,cond,week14,1.1068613815925257,0.3399028871060857,0.33061765034183466,0.7409333122733333,0.6063176273564435,2.020627576675542
fixed,cond,week15,1.109768098575089,0.34215232852447397,0.33781309942658166,0.7355040377091397,0.6064548851365037,2.0307944791932173
fixed,cond,week16,1.2278160065736627,0.3746118257474855,0.6726783302456594,0.5011519565951699,0.6751932955696435,2.232741580655996
fixed,cond,week17,1.0449706627273574,0.317775960820736,0.1446522793782361,0.88498541830055,0.5757757864852333,1.8965085222263987
fixed,cond,week18,1.3912781020387814,0.417711547557481,1.0998780964282726,0.27138523937089754,0.7724186309956906,2.505965909596804
fixed,cond,week19,1.7022276159792145,0.5096756934583456,1.7765790074604944,0.07563753209755239,0.9465716995260547,3.0611298204384183
fixed,cond,week20,0.8473618388001418,0.2550763845289158,-0.5502132316181971,0.5821731292072345,0.4697174269420922,1.5286256048219327
fixed,cond,week21,1.099205694230513,0.3289829807839268,0.3160390643717594,0.7519728574457367,0.6113945126623075,1.9762250612414973
fixed,cond,week22,0.8953237642763506,0.26882993986306264,-0.36824707742792223,0.7126890100926202,0.4970479781055293,1.6127309197257893
fixed,cond,week23,0.8735572176107653,0.26804130596368836,-0.4405623365301347,0.6595298743787263,0.47875094051995704,1.593944048676081
fixed,cond,week24,1.2977168748443753,0.39368044592517815,0.8590556573093718,0.3903098100185018,0.7160710834937389,2.3518183125608316
fixed,cond,week25,1.4520205670815796,0.42971030176727004,1.2602441643671343,0.20758129536909248,0.812958868315124,2.5934445264094905
fixed,cond,week26,2.1713958372296753,0.6305727755068241,2.670010025921926,0.007584898211332216,1.2289955161297843,3.8364337542794202
fixed,cond,week27,1.2502639760389134,0.3614406271485882,0.7726091828881141,0.4397537082387836,0.7094578993399068,2.203316097029896
fixed,cond,week28,1.0434439520434184,0.30362795119102987,0.14614683473774925,0.8838054745304612,0.5899036625587588,1.845683202462805
fixed,cond,week29,0.8514143281146322,0.24720237418449734,-0.5540215440580798,0.579564101609124,0.48194819816986895,1.5041167512849336
fixed,cond,week30,1.063182091008948,0.3103588416937906,0.20987744939487082,0.8337633230221628,0.5999694274111832,1.8840229301675402
fixed,cond,week31,0.9648822641044071,0.2854013695754788,-0.12086052912896987,0.9038015061186129,0.5403789688632049,1.72286087584383
fixed,cond,week32,1.0344557291200713,0.30465738838776474,0.11502306047760097,0.9084268437355464,0.5807974237263664,1.842464535472007
fixed,cond,week33,0.9764184184625071,0.2832470709312971,-0.0822650142245144,0.9344359746950871,0.5529842729192694,1.7240868766117876
fixed,cond,week34,1.3568412602742288,0.3915866671418433,1.0573722080720072,0.29034175021265235,0.7706742461022721,2.388840959580016
fixed,cond,week35,0.9387950709620321,0.27124392988842333,-0.2185946815242707,0.8269657961433718,0.5328869318900669,1.6538896574863358
fixed,cond,week36,0.8703010100848166,0.25241401064469937,-0.47897046366886653,0.6319596411284398,0.49294096241283614,1.5365406933260959
fixed,cond,week37,0.8723779768509797,0.2560360328411238,-0.46519989966523184,0.6417883105738065,0.4907765192731309,1.55069222875976
fixed,cond,week38,0.9302598038451275,0.2733220713418744,-0.24604583896302226,0.8056467485879144,0.5230106098608416,1.6546190198325603
fixed,cond,week39,0.9362695384059072,0.2773595323193203,-0.2222930815976201,0.8240857374712829,0.5238920613665659,1.6732466727214927
fixed,cond,week40,0.7560330992226251,0.22171286566012768,-0.9536653105573181,0.34025308483115246,0.4255190641822218,1.3432677763067153
fixed,cond,week41,0.9053890426759243,0.26180256792448486,-0.34372127144931336,0.7310559125020174,0.5136905068758258,1.5957649744844897
fixed,cond,week42,0.8665683149835522,0.2509819068912279,-0.49447788721481023,0.62096871937019,0.4912149052698013,1.5287415680535517
fixed,cond,week43,0.8548031334085415,0.25126984993937884,-0.5337091244518748,0.5935427953165621,0.48045746435268555,1.5208180767250818
fixed,cond,week44,0.7625739211137754,0.22394764355907582,-0.9229840664527018,0.35601550873922383,0.4288513031291258,1.3559921140958853
fixed,cond,week45,1.1389812336194374,0.32882973381770375,0.4507512724035442,0.6521688242695014,0.646800444674361,2.005685464842846
fixed,cond,week46,1.1909138749727401,0.3407240925306668,0.6106924558779611,0.5414032013623444,0.6797496568255291,2.086467927363169
fixed,cond,week47,1.4846927142926385,0.42662264850466153,1.3753657468360223,0.1690180827212942,0.8453683696607089,2.6075170718279295
fixed,cond,week48,1.2213434809232702,0.34956802328917225,0.6986034308526704,0.4847998990355516,0.6969639793920424,2.140253933488721
fixed,cond,week49,0.6743848203223605,0.18478349656219645,-1.4377737155436396,0.15049826948902675,0.39416310333795757,1.1538240947207046
fixed,cond,week50,0.8375763233547882,0.21467368764556907,-0.6915353591869227,0.4892291679213138,0.5068255658340778,1.3841726714989546
fixed,cond,week51,0.6828399015095109,0.15966027004393787,-1.6315887909604845,0.10276614111722479,0.4318099408803782,1.0798045319264356
fixed,cond,week52,0.7858956858317471,0.15348727326556164,-1.2336319158857176,0.21734009457208525,0.5359487275145808,1.1524087982691387
fixed,cond,week53,0.49047044709242577,0.1538755294661486,-2.2707078038685955,0.023164672295080294,0.26519478196460977,0.9071115867700101
fixed,cond,hour1:day2,2.9667729831888687,1.33929504146604,2.4089471171101127,0.015998615994434712,1.2246868380286504,7.18693274106492
fixed,cond,hour2:day2,1.1266145062875739,0.4742097165766565,0.2832327894310454,0.776998394664696,0.4937319800922462,2.5707474843749276
fixed,cond,hour3:day2,1.532988673563001,0.6237276192415365,1.0500131661268215,0.29371205947879725,0.6905741011102893,3.4030443213756283
fixed,cond,hour4:day2,1.805883867680943,0.6833942870353692,1.5618625292777075,0.11832037740938324,0.8601468616297796,3.791464794013234
fixed,cond,hour5:day2,1.6709935222619976,0.6218139699230261,1.379703282751413,0.16767802175960353,0.8057933548574059,3.4651804145687843
fixed,cond,hour6:day2,1.8016099520527085,0.6261950541484209,1.693678303538935,0.0903264294798605,0.9115996953617367,3.5605523299866615
fixed,cond,hour7:day2,1.3907615584894335,0.46399917188807277,0.9886758155189946,0.32282177908224546,0.7232137567715328,2.674475830225376
fixed,cond,hour8:day2,1.600421678888467,0.5155598763641035,1.4598221590847418,0.14433895684365916,0.8511935830531034,3.0091269497932585
fixed,cond,hour9:day2,1.318430752095889,0.4206653392383193,0.8664129666460084,0.3862637356845895,0.7054537632565412,2.464030583730838
