effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),0.4341829434422257,0.03801048340124287,-9.529849497494077,1.5751141483725101e-21,0.3657248257917968,0.5154553781467228
fixed,cond,year2020,0.9236199322498924,0.04275156159407795,-1.7165658667252937,0.08605852357348491,0.8435168498784432,1.011329861842392
fixed,cond,year2021,0.7067341663291539,0.03287701421279072,-7.461380540052973,8.562057033054067e-14,0.6451467350413826,0.7742008983815528
fixed,cond,year2022,0.5549756628733866,0.025863308352288446,-12.635153997308205,1.3512933478329813e-36,0.5065306555774063,0.6080539903960218
fixed,cond,year2023,0.4882472809157078,0.02277612659021348,-15.368755628076428,2.652141383786823e-53,0.44558682699641106,0.5349920439266085
fixed,cond,year2024,0.40425988929127454,0.03767332252384587,-9.718736569616679,2.508749007739102e-22,0.3367723735234005,0.48527156898289336
fixed,cond,hour1,0.5518628387969494,0.0470729147836926,-6.969146396446082,3.1886975539746543e-12,0.46690140288241616,0.6522845957730521
fixed,cond,hour2,0.503419897794031,0.043807010679909705,-7.887151177649103,3.0916280315880556e-15,0.42448252348917265,0.5970365785893582
fixed,cond,hour3,0.47848993139072016,0.0423711677310531,-8.324164046179607,8.492592737606327e-17,0.4022511865167542,0.5691782202679966
fixed,cond,hour4,1.0883092098407339,0.07638832343215038,1.2056620468457309,0.22794782460272428,0.9484327593433022,1.2488148733329885
fixed,cond,hour5,2.25749083957562,0.1387534532159998,13.247748342712429,4.6494444921443746e-40,2.0012811668748474,2.5465011988925284
fixed,cond,hour6,6.966873524702777,0.3826574089493754,35.34195762150342,1.332537348533089e-273,6.255837397697494,7.758725750619574
fixed,cond,hour7,11.563382692129908,0.6188424969802431,45.73918341948271,0,10.41191902548585,12.842187780884144
fixed,cond,hour8,12.475134279919457,0.6662185894549837,47.25770718381991,0,11.235383459689341,13.851683465935276
fixed,cond,hour9,11.460402147239973,0.6136376597912737,45.54927351925492,0,10.31865237502941,12.72848552339067
fixed,cond,hour10,10.670743145510102,0.5734676729539999,44.05312893686766,0,9.60393794820746,11.856049038582476
fixed,cond,hour11,10.572617296393172,0.5703254810002181,43.71724457787305,0,9.511863314937688,11.751665556468767
fixed,cond,hour12,10.49306426125653,0.5641395395298932,43.723576349124414,0,9.443633169450518,11.659114200564138
fixed,cond,hour13,10.458357015654233,0.5622553937497431,43.66336346995494,0,9.412429124156368,11.620510499906423
fixed,cond,hour14,10.150527842559006,0.5469160049315319,43.01228893672807,0,9.133251586842068,11.281109964276215
fixed,cond,hour15,10.314274539587265,0.5545882584655932,43.399146051663294,0,9.282616932639074,11.460589190523965
fixed,cond,hour16,11.303366261327636,0.6050962724197115,45.30155172386695,0,10.177496052543605,12.55378417030071
fixed,cond,hour17,12.266443246541852,0.655353067865531,46.921800620433224,0,11.046938567576332,13.620572704392616
fixed,cond,hour18,10.349084686372201,0.5562992666896674,43.47436277269367,0,9.314228752507542,11.498918127479913
fixed,cond,hour19,7.445058998076154,0.40709213696078245,36.71486435584777,4.230230870313015e-295,6.68844045501816,8.28726873740019
fixed,cond,hour20,6.362006454342163,0.35038946512069147,33.59661296946297,1.8798948674252177e-247,5.711023118144824,7.08719353568986
fixed,cond,hour21,4.25873581615767,0.24221535768515617,25.47646252851368,3.594898119175266e-143,3.8095059894030165,4.760940342993486
fixed,cond,hour22,2.0650053825893013,0.1282821030323666,11.672736631387663,1.7567949623741484e-31,1.8282808580334353,2.3323808327291484
fixed,cond,hour23,1.1282713864929121,0.07880628564931856,1.727874447368694,0.08401073641517927,0.9839199466829813,1.2938007059112886
fixed,cond,day2,0.9924954726274448,0.015806466758844714,-0.4729898095293571,0.6362204494933474,0.9619938872333327,1.0239641605405032
fixed,cond,day3,1.0200245193482058,0.016228334112523172,1.2461959984493745,0.21269244778418533,0.9887083649821866,1.0523325754306567
fixed,cond,day4,0.9941980279186132,0.015973157485527682,-0.3621768582699408,0.7172198717629825,0.9633789992652367,1.0260029743965031
fixed,cond,day5,1.0392024870349255,0.01688412298694577,2.3667830172976685,0.017943449239729257,1.0066315592468549,1.0728272913155725
fixed,cond,day6,0.950757535619438,0.015357238070537819,-3.1261902937438295,0.0017708692147122508,0.9211293694996634,0.9813386929874428
fixed,cond,day7,0.600333618860577,0.0106908156374558,-28.65376170684504,1.4390690233511865e-180,0.5797414626357339,0.6216571992206897
fixed,cond,week2,1.0095657661818687,0.06013466472324681,0.1598308226555932,0.8730143432270903,0.8983237811697212,1.1345831621191609
fixed,cond,week3,1.2047664760226346,0.08871073282463655,2.529917431878547,0.011408937145158445,1.042860542735343,1.3918085901887929
fixed,cond,week4,1.233914868384694,0.10041348273949469,2.5829096495757415,0.009797097601746269,1.0520009858325932,1.4472856232314428
fixed,cond,week5,1.1388820718373165,0.09581763092342838,1.5457317999797038,0.12216935391688906,0.9657496689427318,1.3430523615632457
fixed,cond,week6,1.2022915312064975,0.10133962584478423,2.185693697042187,0.028838022339556207,1.0192086274394205,1.418262058517339
fixed,cond,week7,1.1950789569310283,0.10071137733021908,2.114733435234628,0.034452672988398665,1.0131281170347493,1.4097069159224291
fixed,cond,week8,1.2223081869917263,0.10463012815310851,2.3450931971166864,0.019022324090459227,1.0335166735040018,1.4455860677328647
fixed,cond,week9,1.4156807319942792,0.12245486714977438,4.01866823135748,5.852801346455322e-5,1.1949157878904428,1.6772327851472084
fixed,cond,week10,1.1933930420794758,0.10574003215867384,1.9953894171617526,0.046000424262432206,1.003143785243591,1.4197236466334426
fixed,cond,week11,1.2115875726158083,0.10749956016398504,2.163189059354622,0.03052664140134788,1.0181949354438558,1.4417125788168985
fixed,cond,week12,1.2184408723849218,0.10627456071829115,2.265169399415468,0.023502286192130968,1.0269780464104006,1.4455987298728046
fixed,cond,week13,1.1120655258908043,0.09772692585874453,1.208700885513033,0.22677778136638954,0.9361120853279996,1.321091515917641
fixed,cond,week14,0.7468121740108047,0.06819935833593584,-3.196885144062083,0.0013892023006169395,0.6244233394576643,0.893189584705711
fixed,cond,week15,0.8153319532573066,0.07577846385073465,-2.196641598500211,0.0280460528487198,0.6795512455146774,0.9782429189705852
fixed,cond,week16,0.8973904966228292,0.08132331425092176,-1.1946788325241062,0.2322125357628965,0.7513527611593057,1.0718130617985737
fixed,cond,week17,0.9158186897167839,0.08265355691071283,-0.9743589131167802,0.3298783624472835,0.7673397702205246,1.0930280235488479
fixed,cond,week18,0.8044749369913327,0.0731418857120588,-2.3929648968741115,0.016712839988175337,0.673166207160778,0.9613969289647322
fixed,cond,week19,0.9102324611671889,0.08208814675887334,-1.0429295143543618,0.29698093900946537,0.7627598072330664,1.0862176080933919
fixed,cond,week20,0.9255162549903297,0.08255061960203913,-0.8678102624995323,0.3854982109963574,0.7770730860108807,1.1023163119039374
fixed,cond,week21,0.9498856835143651,0.08276027077654931,-0.5901028977806142,0.5551216662125305,0.8007723721024838,1.1267656617279964
fixed,cond,week22,0.855912254561034,0.07428767376319483,-1.7926146820319877,0.07303455713543355,0.7220219989858809,1.0146308402468467
fixed,cond,week23,1.0172804526343597,0.09090923341147288,0.19171767625428499,0.8479633591801498,0.8538333268819247,1.2120158428239436
fixed,cond,week24,0.9867287059611419,0.08696081787173549,-0.15159515009380675,0.8795062588608437,0.830196716093969,1.172774500661293
fixed,cond,week25,1.0105449387832242,0.0865790245952514,0.12243545475689258,0.9025541608854438,0.8543354838526236,1.1953162341979366
fixed,cond,week26,0.9560662964283447,0.08009272559740785,-0.5363054627869318,0.5917474557735785,0.8112975007222336,1.1266677912263925
fixed,cond,week27,1.1281811716870052,0.09318050510229949,1.460243944679741,0.14422304180288417,0.9595664993642092,1.3264247522109125
fixed,cond,week28,1.0842522339066978,0.09113110394932569,0.9624131715556886,0.3358420999003918,0.9195748151475325,1.2784200778085206
fixed,cond,week29,1.122706334245265,0.09332053127275872,1.3924527908345166,0.16378532795133494,0.9539231872523426,1.3213532596739437
fixed,cond,week30,0.9588994949914758,0.07995532814061089,-0.5033318585031812,0.6147309711853042,0.8143251988101714,1.1291413342463084
