effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),6.343710419030191,0.39696358101418316,29.523553673902885,1.4355072579743838e-191,5.611495531563534,7.171468221645248
fixed,cond,NA,year2020,1.0136399707567054,0.04587796361977663,0.2993283481961158,0.764689526830564,0.9275937770742078,1.1076680500773317
fixed,cond,NA,year2021,1.0394686597364116,0.05156520527761395,0.7803226499382938,0.43520098407101915,0.9431605188259166,1.1456110312158259
fixed,cond,NA,year2022,0.8104274556132532,0.039726149077657834,-4.2880204808639695,1.802724748077682e-5,0.7361889615104935,0.8921522803930411
fixed,cond,NA,year2023,0.6618555059796944,0.03307838568674737,-8.257751003755196,1.484428100589068e-16,0.6000972204521008,0.7299695713731477
fixed,cond,NA,year2024,0.6179248704867817,0.05059445196756026,-5.879337590159765,4.119115253039945e-9,0.526309241711205,0.7254882021920173
fixed,cond,NA,hour1,0.5987294255170258,0.013473136385703605,-22.79465981027451,5.179946468025334e-115,0.5728964308865092,0.6257272792313172
fixed,cond,NA,hour2,0.3783417476221922,0.009512957552054365,-38.65591309528214,0,0.36014866188305955,0.39745386598241206
fixed,cond,NA,hour3,0.2817743267431811,0.007628571450804318,-46.78583818955292,0,0.26721236701064205,0.2971298525581
fixed,cond,NA,hour4,0.33322327267610236,0.008593166764731005,-42.61446737195282,0,0.3167995289772968,0.35049846763165327
fixed,cond,NA,hour5,0.5143992447055935,0.011726649935090577,-29.160055707142774,6.229052237422031e-187,0.4919213389071119,0.5379042583140512
fixed,cond,NA,hour6,1.3932350155000774,0.02666608600430664,17.326738099785782,2.9562713088591857e-67,1.341938606411646,1.446492260630333
fixed,cond,NA,hour7,2.6056894134373207,0.04723481434447275,52.83098335728812,0,2.5147362018115214,2.6999322292367465
fixed,cond,NA,hour8,3.262049493178992,0.058039174271062956,66.45343915521882,0,3.1502553815026717,3.37781087794653
fixed,cond,NA,hour9,3.560158186428078,0.06313583869004398,71.60285952225884,0,3.4385400615572994,3.6860778369557607
fixed,cond,NA,hour10,3.6660631677931246,0.06531010810652339,72.92362823357328,0,3.5402666641349594,3.7963296060166525
fixed,cond,NA,hour11,3.660849734046437,0.06519373675512383,72.86999775248812,0,3.5352765928745873,3.790883237334096
fixed,cond,NA,hour12,3.8357429403438306,0.0678499454636074,76.00052435270355,0,3.705038317300411,3.9710585004469703
fixed,cond,NA,hour13,3.892376337781881,0.06862773260957962,77.07987025809749,0,3.76016599016252,4.029235303590801
fixed,cond,NA,hour14,3.9973586872973277,0.07021210486821154,78.88775557329222,0,3.8620872788703706,4.137368039902274
fixed,cond,NA,hour15,4.080894220669027,0.07197695627453884,79.7342328632644,0,3.942232482502379,4.224433164255886
fixed,cond,NA,hour16,4.4068082485825775,0.07713745163116605,84.73135276108108,0,4.258185634765024,4.560618208193049
fixed,cond,NA,hour17,4.8557601825697345,0.08478743545540549,90.49578496166129,0,4.692391321565067,5.024816843870022
