effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,(Intercept),0.0358929117871632,0.022193976411502257,-5.38089472091064,7.411653289961271e-8,0.010682621376123027,0.12059784496720916
fixed,cond,year2020,0.554049334648241,0.06567382612631152,-4.981695252582701,6.302964255738732e-7,0.4391894461462526,0.6989481826526759
fixed,cond,year2021,1.091141898756836,0.11464204129880574,0.830189263127818,0.4064317847773557,0.8880732577512904,1.3406446290674192
fixed,cond,year2022,0.8118084337121494,0.10573557162541743,-1.6007352755917068,0.10943556455892704,0.6289080516449755,1.0479002953172611
fixed,cond,year2023,0.6367797199375894,0.07926938281436155,-3.6255957942120536,2.8829599942895137e-4,0.4989161788579051,0.8127385498943317
fixed,cond,year2024,0.2233373433399125,0.07450325444841085,-4.4937464562974325,6.9980943666523865e-6,0.1161471214769479,0.4294516152949147
fixed,cond,hour1,0.1151164651717487,0.19424452412967536,-1.2811688405608765,0.2001343681390547,0.0042154324883939345,3.14363961233485
fixed,cond,hour2,0.04767852357741851,0.12253695544764989,-1.1841229546906518,0.2363643947186906,3.095127887292794e-4,7.344580557899925
fixed,cond,hour3,0.07614504050281004,0.15941489626737881,-1.230012161192494,0.21869255087351977,0.0012577445923560326,4.609892364803198
fixed,cond,hour4,0.1193836143790687,0.20209801437198618,-1.2555270522220487,0.20928749398470498,0.004325058849877909,3.2953187174811522
fixed,cond,hour5,0.815654055984094,0.6945356033980825,-0.23929906441597348,0.8108736908251174,0.15370975921769314,4.32823226338594
fixed,cond,hour6,8.435266004075588,5.0441510988107385,3.5660193627642407,3.6244460452159155e-4,2.6127278967590977,27.23349517099521
fixed,cond,hour7,15.654498976336567,9.520729882504574,4.52294564689619,6.098490488023587e-6,4.752878202406144,51.56103896709564
fixed,cond,hour8,16.107061743924614,9.399779791605445,4.762417617648513,1.912872983490071e-6,5.1318154867319326,50.55470889266443
fixed,cond,hour9,15.537423985679723,9.010163761361591,4.730553604361116,2.2390839187545575e-6,4.986164553167186,48.41628099847452
fixed,cond,hour10,23.14823452860707,13.32118896699086,5.459712856229897,4.7690526177346955e-8,7.4933183597031086,71.50914135358143
fixed,cond,hour11,18.252747496667663,10.558827239989796,5.020608671112523,5.15080004936414e-7,5.87389541088884,56.71922427483149
fixed,cond,hour12,14.231860814790585,8.269408703413596,4.570153469872876,4.873671783584818e-6,4.556924884323895,44.44792648400725
fixed,cond,hour13,15.77122767076589,9.117370422799961,4.771112393703479,1.8321126671900298e-6,5.0790748094569,48.971836717193035
fixed,cond,hour14,14.807142173436866,8.56654619437698,4.658455200154826,3.1859111973485762e-6,4.764483547341072,46.0178857090882
fixed,cond,hour15,14.210228068015253,8.227153058022301,4.584016478291203,4.561282677322054e-6,4.568666298441271,44.19902189264791
fixed,cond,hour16,20.393750130120857,11.75177306949563,5.2325564832260065,1.6718154284440053e-7,6.591700102984029,63.095261900875386
fixed,cond,hour17,12.979392553462464,7.562043069823566,4.399722823379944,1.0838923189944957e-5,4.143124852806263,40.661248946618315
fixed,cond,hour18,11.821087287330267,6.960201063517663,4.194810731345554,2.730995321097182e-5,3.7279830182650104,37.48356791595978
fixed,cond,hour19,5.562274380600219,3.355906718144378,2.8442096435832203,0.004452174354765241,1.704880580938189,18.147251268505862
fixed,cond,hour20,3.1732981901237918,1.9989239697995924,1.833203423647914,0.06677232494873447,0.9232557368863354,10.906860365041693
fixed,cond,hour21,2.3224634576226966,1.526093047246958,1.2823423869569335,0.19972256496244203,0.6406539512148927,8.419266753548099
