effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),13.454849680267458,2.171390294035707,16.10660407048133,2.2927433439241834e-58,9.806386218403839,18.46072303157356
fixed,cond,NA,year2020,0.5416769347809192,0.048502738861650865,-6.846918156710091,7.545785763672859e-12,0.4544877766288434,0.6455925038293562
fixed,cond,NA,year2021,0.6294157255618845,0.061796170913040946,-4.715444066394224,2.411841452364873e-6,0.5192379650941885,0.7629722443595401
fixed,cond,NA,year2022,0.6899639520865464,0.07000722028646776,-3.657574318937814,2.5461344612661275e-4,0.565534627985433,0.8417703030399548
fixed,cond,NA,year2023,0.9777580554153925,0.10008329743299628,-0.21974433861694945,0.8260702713081531,0.8000229167440945,1.1949792873689538
fixed,cond,NA,year2024,0.9423986778215347,0.18934293753202058,-0.29528200896090123,0.7677784588941106,0.635645081259688,1.397187352098685
fixed,cond,NA,hour1,0.8198716811788781,0.075293696166847,-2.1626327545766397,0.030569436911964572,0.6848177083841274,0.9815598594626819
fixed,cond,NA,hour2,0.8017934151823191,0.07338913459817764,-2.4134309140008843,0.015803123510726307,0.6701175069117923,0.9593432107040117
fixed,cond,NA,hour3,0.7337758465279794,0.06904704920760224,-3.2896633671919946,0.0010030730881548354,0.6101924168567662,0.8823888630432469
fixed,cond,NA,hour4,0.7565433081793548,0.06881599978351394,-3.067196272292424,0.0021607692685928223,0.633005638737951,0.9041906455874471
fixed,cond,NA,hour5,0.7313543087519698,0.06727453805286807,-3.40113067480021,6.710774027861287e-4,0.610701503237572,0.8758437994576141
fixed,cond,NA,hour6,2.826684157373033,0.23192691844728566,12.664419552773117,9.310648592008523e-37,2.4067831153322925,3.3198435183639448
fixed,cond,NA,hour7,6.40475746658067,0.5314571812125211,22.379785369050683,6.1941949633516886e-111,5.443412666946595,7.535882490557332
fixed,cond,NA,hour8,12.481039440253053,1.0541797716331074,29.88557881719193,3.029760840709459e-196,10.576845164784311,14.728053883951217
fixed,cond,NA,hour9,17.081674493703375,1.528703731604965,31.711768271458887,1.069430077289856e-220,14.333531081111815,20.356714745143147
fixed,cond,NA,hour10,22.292161810571166,1.8392214532511535,37.624676276603,0,18.96372067580649,26.204798450900707
fixed,cond,NA,hour11,25.407790406633644,2.075876070009472,39.595629922394956,0,21.648197211469938,29.82030360502202
fixed,cond,NA,hour12,27.231721542307582,2.221638365792854,40.503452870084004,0,23.207680999762097,31.95350100535166
fixed,cond,NA,hour13,27.800628529804765,2.2447713815794974,41.179569801657514,0,23.73143779820397,32.567556724720944
fixed,cond,NA,hour14,27.687433491052275,2.252031734630305,40.829520278666266,0,23.6073879821663,32.472629919944985
fixed,cond,NA,hour15,27.858950323190257,2.2359102333132546,41.455611555405895,0,23.803938189118057,32.60473569305374
fixed,cond,NA,hour16,24.931678236663572,1.9951192307778711,40.18995295695573,0,21.312550143985227,29.165377934463045
fixed,cond,NA,hour17,18.085195819189497,1.455255953810971,35.9787817508997,1.7962864084295387e-283,15.446491141581683,21.174667102093565
fixed,cond,NA,hour18,9.852985765784144,0.7951211415970396,28.34965482185036,8.452401479289751e-177,8.411572069281632,11.541401262586568
fixed,cond,NA,hour19,2.6207064853796584,0.21635516484006193,11.670180204057804,1.810393579237515e-31,2.2291872467646114,3.080989491788633
fixed,cond,NA,hour20,2.1723183021752877,0.1809423365010455,9.313870805249742,1.2325659815950157e-20,1.8451130809345078,2.5575488324952285
fixed,cond,NA,hour21,1.751749747315268,0.14538029265041844,6.755093272801246,1.4274339670809931e-11,1.4887768027174482,2.0611734221126854
fixed,cond,NA,hour22,1.1349877967637252,0.09451852621741731,1.520488268934272,0.1283883048930147,0.964063344692429,1.3362164487371486
fixed,cond,NA,hour23,0.9312364919370583,0.0796805140465163,-0.8326146566443542,0.4050620902416964,0.7874583621276259,1.101266359750319
