effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),24.78343345151427,2.2553785679353986,35.27530593696821,1.404616443764866e-272,20.73476770066533,29.622640702452998
fixed,cond,NA,year2020,1.278637015811832,0.06668044259741102,4.7132586838193316,2.4378639092022285e-6,1.1544029567571932,1.4162408443554086
fixed,cond,NA,year2021,1.5242777763282425,0.11742742151853078,5.471589515067443,4.4601695846358534e-8,1.3106574236806654,1.7727155070646905
fixed,cond,NA,year2022,1.4076819786340875,0.11685476563873222,4.119206584005342,3.801791921952019e-5,1.1963119623914606,1.6563978420895915
fixed,cond,NA,year2023,1.1761794835689225,0.1114631606897231,1.7123178702071615,0.08683810519149392,0.9768045355575583,1.4162487244992328
fixed,cond,NA,year2024,0.6592912806618041,0.10687181710194031,-2.5699389728415,0.010171643182151115,0.47984023104374135,0.9058535834129726
fixed,cond,NA,hour1,0.7033817114952634,0.028764361697921445,-8.604006867577858,7.698037226563971e-18,0.6492047809929735,0.7620797729019815
fixed,cond,NA,hour2,0.6241392297306753,0.02519720385432474,-11.676211459241612,1.6864587050381779e-31,0.5766569297843406,0.6755312525845918
fixed,cond,NA,hour3,0.5783282723566198,0.023904231525069753,-13.248718833357026,4.58971540652797e-40,0.5333243739958116,0.6271297673892161
fixed,cond,NA,hour4,0.6563505531877201,0.0265276782688129,-10.41791622778199,2.0540409637342814e-25,0.606363285361022,0.7104586624391925
fixed,cond,NA,hour5,0.9604972954588904,0.038468652172867455,-1.006325641922636,0.31425894963533413,0.8879834523168311,1.0389327100373453
fixed,cond,NA,hour6,3.5410477899906145,0.13322703004202263,33.60715237032503,1.3188485437799895e-247,3.2893228818376596,3.8120366718125864
fixed,cond,NA,hour7,5.594186660507185,0.21436178707381795,44.93183104453649,0,5.189434600112937,6.030507522325354
fixed,cond,NA,hour8,6.121353412244744,0.2417923535080826,45.86813942635931,0,5.6653291472513105,6.614084834908566
fixed,cond,NA,hour9,6.1870129769565425,0.2627640742265436,42.91125706018391,0,5.692856972383033,6.724063113253484
fixed,cond,NA,hour10,6.208705111866312,0.23972932881096382,47.28999907042892,0,5.756183134630313,6.696802076049756
fixed,cond,NA,hour11,5.977922780193073,0.22838887491041543,46.80159311170219,0,5.546637880054502,6.442742709859427
fixed,cond,NA,hour12,5.7679030799249045,0.21968602158748682,46.00723377524826,0,5.35300520778358,6.214958635017312
fixed,cond,NA,hour13,5.80827334858468,0.21896179585113082,46.6674951212111,0,5.394587357550693,6.253683007776203
fixed,cond,NA,hour14,5.857337952227771,0.22284712136955723,46.46229339492692,0,5.436452987562845,6.310807426293634
fixed,cond,NA,hour15,5.9859643079513605,0.22349030263848854,47.927757232705765,0,5.563574377042091,6.44042233782768
fixed,cond,NA,hour16,6.0791327147798135,0.22611366449990927,48.52424951211154,0,5.651726510782971,6.538861088447546
fixed,cond,NA,hour17,6.456499799338276,0.2418945613268554,49.781756140722585,0,5.999383705715356,6.9484453243326225
fixed,cond,NA,hour18,4.811349187288723,0.18063853117208453,41.84335128609849,0,4.470016720599087,5.178745953084788
fixed,cond,NA,hour19,1.6414832050477002,0.06313317598387802,12.885767830338498,5.413403546878927e-38,1.5222932936249058,1.7700052438893477
fixed,cond,NA,hour20,1.6657630844581959,0.06447971891902463,13.18261220254749,1.1049747590194903e-39,1.5440601986599167,1.797058596518381
fixed,cond,NA,hour21,1.5780729625775902,0.06058652425194121,11.882575054725388,1.4580537007203835e-32,1.463683343576814,1.7014023464479777
fixed,cond,NA,hour22,1.3695530422851196,0.052346985995749905,8.227849483619988,1.906043746688799e-16,1.2707036439754986,1.4760920412286096
fixed,cond,NA,hour23,1.1837020746037143,0.04592692837288105,4.346636432473236,1.3824107691122543e-5,1.0970244346870162,1.277228252277616
