effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),0.04160332675309224,0.023791974929783986,-5.559895892589857,2.699356201241338e-8,0.013562685621700156,0.12761755637506184
fixed,cond,NA,year2020,0.719012907525327,0.10461215630906738,-2.2672802877606397,0.023373108870225635,0.5406196912206104,0.9562721624526637
fixed,cond,NA,year2021,0.5571756481011637,0.08215405926146906,-3.9666690411766012,7.288408844409633e-5,0.41733493001310956,0.7438742374792352
fixed,cond,NA,year2022,0.6881766909690972,0.10278120881048258,-2.5021915703751634,0.012342711790989284,0.5135355455266671,0.9222091092204321
fixed,cond,NA,year2023,0.5543331712743534,0.08447280352366246,-3.8716684049577417,1.0809293694257202e-4,0.4112059395965757,0.7472782739387274
fixed,cond,NA,year2024,0.8857086561487604,0.8104586226082457,-0.132636001537005,0.8944812588444668,0.147369512312292,5.323216527407956
fixed,cond,NA,hour1,1.1156647893132718,0.7399622239067236,0.1650219568409856,0.8689266999249312,0.3040718180075142,4.0934668995949774
fixed,cond,NA,hour2,1.1232308098311123,0.759118827729203,0.17194901699675352,0.8634776104365296,0.2986737889915072,4.224165288872173
fixed,cond,NA,hour3,0.6715480494023984,0.5157046262799082,-0.5184946549330915,0.6041131884217358,0.14907692538679726,3.0251280101602247
fixed,cond,NA,hour4,0.5874777339566168,0.4504028192057827,-0.6937997306435413,0.48780781157362263,0.1307371132131211,2.639878450828173
fixed,cond,NA,hour5,0.2827487583102921,0.28500753463524625,-1.2531853167264215,0.21013827235299395,0.03921021518012091,2.0389293952802396
fixed,cond,NA,hour6,6.904967475760391,3.66150772038509,3.6438709974605175,2.685680664880476e-4,2.442270064021312,19.522237341272497
fixed,cond,NA,hour7,10.36855022183957,5.474681339620778,4.429432039727257,9.448157976167876e-6,3.683634171833133,29.18499196387609
fixed,cond,NA,hour8,10.328384624900103,5.376469146085595,4.48541639417795,7.277167763058637e-6,3.723377653767502,28.650203895361827
fixed,cond,NA,hour9,5.215978795846787,2.8200707124347484,3.0550197608835243,0.002250456937841015,1.8076954022336738,15.050342422238689
fixed,cond,NA,hour10,3.172539831496132,1.8259150406338405,2.0060080478083266,0.04485538936781901,1.0268543256281422,9.801788560682734
fixed,cond,NA,hour11,4.179953333459347,2.3672742401904916,2.5255154198290444,0.011552871141150374,1.3775331513346212,12.683549468824154
fixed,cond,NA,hour12,2.3485058238305214,1.3946579456563146,1.4377042624207859,0.15051798319209267,0.7333417593597246,7.521022134865743
fixed,cond,NA,hour13,1.555892893831868,0.9837139150841758,0.6991685324748018,0.4844467135371908,0.45061658847137787,5.372200578075851
fixed,cond,NA,hour14,3.6105588101522037,2.040134949267783,2.2721346262728996,0.023078380286970866,1.1929044450493724,10.928062994205838
fixed,cond,NA,hour15,2.811206701880427,1.5997343100287575,1.8163654343008029,0.06931433383315412,0.9215339777342243,8.575791356199632
fixed,cond,NA,hour16,4.941636701371989,2.6966438373824952,2.9278008497757795,0.003413686220783839,1.6957873488252067,14.400256792376686
fixed,cond,NA,hour17,7.997662081816176,4.232998811356393,3.9282631377313626,8.55615640014896e-5,2.834258771300911,22.567663694857945
fixed,cond,NA,hour18,4.570611649644636,2.518382092998171,2.7580073992815852,0.005815488153309243,1.5522687483564621,13.458037388168806
fixed,cond,NA,hour19,0.49294468347028325,0.41345935724012617,-0.8433441271923917,0.3990360103372573,0.09524658914965797,2.5512143073155955
fixed,cond,NA,hour20,0.5285061488865292,0.4284000661910222,-0.7867151320294842,0.4314486439022904,0.10791389715325223,2.588348273755697
fixed,cond,NA,hour21,0.4291963117583086,0.36755480350440894,-0.9876942830107206,0.3233023952362017,0.08011330822464144,2.299361717910878
fixed,cond,NA,hour22,0.35961299278598724,0.3332706537943839,-1.1035650983377598,0.2697818381011619,0.05847711939353058,2.2114889707580496
fixed,cond,NA,hour23,0.8427854052365777,0.5981548562277513,-0.2409952376940164,0.8095588075360609,0.20969540631898814,3.3872331862115055
fixed,cond,NA,day2,0.9721264404722805,0.6605672761150899,-0.041602774427301134,0.9668153614852987,0.2566403048995606,3.6823125527190896
