effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),0.029079856203356735,0.020226049277294492,-5.086316373955347,3.65084854019417e-7,0.0074396420131536516,0.11366649568793447
fixed,cond,NA,year2020,0.5840796157295631,0.07006622459496957,-4.482475133708916,7.378224236705238e-6,0.46170211413484064,0.7388941637186465
fixed,cond,NA,year2021,1.0485000350847713,0.11206311671415106,0.4431216735106726,0.6576777292766997,0.8503397649591837,1.2928388967268107
fixed,cond,NA,year2022,0.8879718867861076,0.11714522535578678,-0.9006304185302761,0.3677848557280374,0.685653818744837,1.149988595069598
fixed,cond,NA,year2023,0.5869439532903151,0.07421679243908719,-4.213857207917568,2.51046036170308e-5,0.45810548361656817,0.7520172026415011
fixed,cond,NA,year2024,0.18044493116883795,0.06284043437564672,-4.916917057938433,8.791777867999823e-7,0.09118249085139662,0.35709019221235666
fixed,cond,NA,hour1,0.24113878785039136,0.33459750175874053,-1.0250872196744871,0.30532203530210456,0.015891445138418905,3.6590703047754043
fixed,cond,NA,hour2,0.09265554210791214,0.19127468625140842,-1.1523488572354617,0.2491777478005678,0.0016206241528771896,5.297372292070027
fixed,cond,NA,hour3,0.05321719935442443,0.14030781562107442,-1.1125961089426377,0.26588193234762675,3.032832586252469e-4,9.338037054752196
fixed,cond,NA,hour4,0.19083153399229622,0.2870324306549716,-1.1012223673810424,0.27079988913653075,0.010007964726868657,3.6387692562588727
fixed,cond,NA,hour5,0.6836193092871397,0.6740724385060703,-0.385741026842094,0.6996884749187932,0.09896917859062809,4.7220292891718545
fixed,cond,NA,hour6,9.45835879247681,6.405039194872429,3.3180086990798463,9.066166084019322e-4,2.508399021511088,35.664401987101456
fixed,cond,NA,hour7,13.599159841506472,9.314729927904251,3.81051479228771,1.3867771367018792e-4,3.5520780139303607,52.06449511231599
fixed,cond,NA,hour8,17.17710659250806,11.391278402285042,4.287879888623157,1.803865838419891e-5,4.682327901124819,63.014166696763034
fixed,cond,NA,hour9,17.32478410597481,11.49370114608734,4.299109217340356,1.7148595553984552e-5,4.720186304009676,63.58819864030987
fixed,cond,NA,hour10,25.36332257587534,16.63197439360781,4.930703588261378,8.193397646803106e-7,7.015062611773825,91.70240776015596
fixed,cond,NA,hour11,19.55090471030944,12.862262342651075,4.519054246749799,6.211647941093034e-6,5.384848155675414,70.98396536747956
fixed,cond,NA,hour12,19.79410330354425,13.030463977129779,4.5349882392348855,5.760669530061205e-6,5.4474042880701194,71.92536203884156
fixed,cond,NA,hour13,19.11991942528371,12.602556137514195,4.47668968810563,7.580931298856034e-6,5.253293210529956,69.58898050780272
fixed,cond,NA,hour14,18.35370586932574,12.099014109886586,4.414094500389432,1.014336467076853e-5,5.041967711730943,66.81092351185966
fixed,cond,NA,hour15,22.980163229890447,15.096652091097972,4.771544064233207,1.8281897318074776e-6,6.341067984620212,83.28059300944999
fixed,cond,NA,hour16,22.13691753279013,14.574413087686581,4.704374315061782,2.5464567886869776e-6,6.09125192813229,80.45031196137194
fixed,cond,NA,hour17,14.339600845208755,9.526216379475098,4.008592080597755,6.108182164415081e-5,3.899949411096686,52.72482556179853
fixed,cond,NA,hour18,15.272387004478345,10.137294216682227,4.106937722602183,4.009392748210901e-5,4.158226202631161,56.09262061476364
fixed,cond,NA,hour19,6.517559814269222,4.431256166097646,2.7570435340323236,0.005832658554754872,1.7193226072639562,24.706582553564708
fixed,cond,NA,hour20,3.7042779325662933,2.612875007455661,1.85646415657981,0.06338742743774535,0.9295958549709422,14.760903814622246
fixed,cond,NA,hour21,2.41351812256647,1.7816717201834271,1.1935508440194311,0.23265371215940747,0.5679225672403845,10.25680271214016
fixed,cond,NA,hour22,3.2250055542070633,2.309920634851606,1.6348054411001236,0.10208983979207976,0.7922360758771999,13.128234299543
fixed,cond,NA,hour23,2.867943480243381,2.0978853877865564,1.4403320346971775,0.14977348229094958,0.6837875527793202,12.028735785608859
fixed,cond,NA,day2,0.8164902574529899,0.7282889230096387,-0.22729369275575062,0.8201953772266546,0.1421348199798471,4.69030981015189
fixed,cond,NA,day3,0.7125084846135196,0.6651458841468656,-0.3630998041786564,0.7165303308960231,0.11433269640028149,4.440272613434177
