effect,component,group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,cond,NA,(Intercept),0.5105354376509444,0.08745211383091527,-3.924782632805737,8.68080864039472e-5,0.36493827480463986,0.714220598639514
fixed,cond,NA,year2020,0.664198707988415,0.05201613633006418,-5.224778405899285,1.7436379606749546e-7,0.5696878116744142,0.774388910299541
fixed,cond,NA,year2021,0.7501088854083399,0.06104332397952911,-3.5332935912716277,4.104164275911762e-4,0.6395200101960241,0.8798213206746662
fixed,cond,NA,year2022,0.6899850395456739,0.05730616081572473,-4.467989925095429,7.895802364726041e-6,0.5863322800000602,0.811961699937101
fixed,cond,NA,year2023,0.790700667912345,0.07091856049857083,-2.6182825301635684,0.008837360132643057,0.6632345995960819,0.9426642497508235
fixed,cond,NA,year2024,0.8299149984937435,0.17620561032563975,-0.8780804905799493,0.37990003954202367,0.5474046643971644,1.2582262255353156
fixed,cond,NA,hour1,0.3100459684073718,0.07067397287483758,-5.137316823972701,2.786888925247287e-7,0.1983341309512069,0.4846795761507838
fixed,cond,NA,hour2,0.2891525928523065,0.06777337139499721,-5.293830602150076,1.1978039567064104e-7,0.18264896421394253,0.4577590807209703
fixed,cond,NA,hour3,0.2904681135670418,0.06806487588472951,-5.275768642466116,1.3220078906460612e-7,0.18350078317014124,0.4597894545276504
fixed,cond,NA,hour4,0.37103686784108963,0.07918992875084828,-4.645362558488239,3.39479724508923e-6,0.2442003026820283,0.5637517881236344
fixed,cond,NA,hour5,0.9682590091418007,0.15574603899887002,-0.20053049043993676,0.8410657143284068,0.7064385519544922,1.327115438689501
fixed,cond,NA,hour6,11.885992559882716,1.4063359405908498,20.921116325070837,3.4396775239220287e-97,9.425889411720487,14.988168539079044
fixed,cond,NA,hour7,17.6505427756867,2.053572668134296,24.674358162498496,2.0162419325724236e-134,14.051543881899853,22.171347354766514
fixed,cond,NA,hour8,17.368326732176733,2.0255368478941547,24.477690184241435,2.5532277506829396e-132,13.819386695410133,21.828665781227155
fixed,cond,NA,hour9,15.836139020203886,1.8532065874082693,23.60453590197735,3.462157087331534e-123,12.590367011072125,19.91866470982793
fixed,cond,NA,hour10,14.485218962569938,1.74376232075285,22.20535147678771,3.0490054810672445e-109,11.440778096077233,18.339798799658432
fixed,cond,NA,hour11,14.161756606465302,1.683831651012552,22.29223749862751,4.394710813460091e-110,11.217842424606198,17.87824633200837
fixed,cond,NA,hour12,13.581213811030056,1.6035175386508789,22.094639974309146,3.5589579160530686e-108,10.775520230005501,17.117444415100817
fixed,cond,NA,hour13,13.235094132944417,1.5650551224680265,21.84239575680631,9.181258600119355e-106,10.497167204740771,16.687141710840788
fixed,cond,NA,hour14,13.242098292005165,1.5624254913292048,21.895220229088565,2.885073959913283e-106,10.508099096257089,16.687429911808284
fixed,cond,NA,hour15,14.550696795043077,1.70595265655126,22.838565508469692,1.8985652098307698e-115,11.563444698503922,18.30966314463972
fixed,cond,NA,hour16,16.534706252148563,1.9373443042170275,23.943850890901448,1.0708838729599722e-126,13.14203443137815,20.803210665167228
fixed,cond,NA,hour17,17.714818439588807,2.069644699430002,24.603015444853458,1.1727216323501193e-133,14.089310818320135,22.273253560390373
fixed,cond,NA,hour18,14.06776501474796,1.6471540736420787,22.58050277317573,6.73779595275516e-113,11.183052638279968,17.696600285394474
fixed,cond,NA,hour19,5.823987330248033,0.7206820468925674,14.238982571045293,5.2485629332797986e-46,4.569719558172162,7.422518601219539
fixed,cond,NA,hour20,3.482423584240882,0.44681969224125717,9.7245470009897,2.3695774297968145e-22,2.708110547458595,4.478131083481012
fixed,cond,NA,hour21,2.0342475866647707,0.2850725468425105,5.06738423850718,4.03319627910217e-7,1.5456790356560308,2.6772461477392615
fixed,cond,NA,hour22,1.2956738136566974,0.19508410132893725,1.720383798050052,0.08536270011556939,0.9645702913048169,1.740433690036983
fixed,cond,NA,hour23,0.6740640905541205,0.12272408170388464,-2.1664138881560806,0.03027957362990106,0.4717657640925603,0.9631101549908311
fixed,cond,NA,day2,0.733215897799117,0.13015341810631337,-1.748151939874195,0.08043772111147912,0.5177674926776095,1.038314611072171
fixed,cond,NA,day3,0.7215149130787996,0.12557858807116992,-1.8753521699759454,0.06074429060166178,0.5129735358174801,1.0148355294108884
fixed,cond,NA,day4,0.7635291740911363,0.12920438614943527,-1.5943977500793414,0.11084697604562113,0.5480060256321397,1.06381457943973
fixed,cond,NA,day5,0.7613108344718191,0.13133923943096007,-1.580790178442639,0.11392602095951732,0.5428940408091243,1.0676009370453867
fixed,cond,NA,day6,0.816663400657741,0.13655998942315836,-1.2111704236799623,0.22583009552508515,0.5884475234593458,1.1333875721884024
fixed,cond,NA,day7,0.6872823860525936,0.12068669580254761,-2.1355940334568118,0.03271251817825885,0.4871518270824724,0.9696301069156794
fixed,cond,NA,week2,0.8817407678019566,0.08892194681958274,-1.2479866973385663,0.21203592882660582,0.7236004018087064,1.0744421640184743
fixed,cond,NA,week3,0.8974894809011887,0.11204258802784706,-0.8663399386684383,0.3863037704091106,0.702692576105397,1.1462870047562164
fixed,cond,NA,week4,0.9749279859865959,0.13394365155073507,-0.18481690333927095,0.8533726493072002,0.7447790390192656,1.2761967349557666
fixed,cond,NA,week5,1.0511043415761314,0.1557642075180207,0.3363319233595319,0.7366205792963889,0.7861500000423165,1.4053556405529768
fixed,cond,NA,week6,0.9646197183968339,0.15012256468826785,-0.23145677534420048,0.8169599620105186,0.7110247199187413,1.3086622378281412
fixed,cond,NA,week7,0.9470521421260479,0.14248922654607596,-0.36157613524562715,0.7176688010139487,0.7051896284482021,1.2718674860253085
fixed,cond,NA,week8,1.1610034606196749,0.17341151871745308,0.999472442008992,0.31756588238620226,0.8663534086107386,1.5558651032866186
fixed,cond,NA,week9,1.0237728329576679,0.15521073734593466,0.15497119729890216,0.8768440241761516,0.76059911051398,1.3780068882724577
fixed,cond,NA,week10,1.0287473667765457,0.1588547935057369,0.18354289541591248,0.8543720647188989,0.7600983925968794,1.392347563101558
fixed,cond,NA,week11,1.027617855661242,0.16676241677019282,0.16787814647187357,0.8666791427044382,0.7476497040986927,1.4124240957827139
fixed,cond,NA,week12,0.9903736453926214,0.16451624818587754,-0.058230551498664525,0.9535649854262228,0.7151570872312647,1.3715028138581387
fixed,cond,NA,week13,0.9054568260806382,0.15603206074478773,-0.5763306731582523,0.5643916940119804,0.645929591297812,1.269259180785886
fixed,cond,NA,week14,0.7837882371394302,0.13015123151178945,-1.4670907613268374,0.14235136701281212,0.5660479940190122,1.085286066144953
